seed,contrast,overlap_gain_delta,nonoverlap_gain_delta,overlap_minus_nonoverlap_gain_delta,overlap_true_delta,nonoverlap_true_delta,overlap_minus_nonoverlap_true_delta,overlap_excess,nonoverlap_excess
43022,RSminusC,-0.7817380314733411,-0.047023890390875615,-0.7347141410824655,0.04628271093400874,-0.5285477931830033,0.574830504117012,0.7817380314733411,0.04702389039087562
43022,RSminusR,-0.5174939545950971,0.7381482103526427,-1.2556421649477398,0.14492390214601747,-1.0122974034580503,1.1572213056040677,0.5174939545950971,-0.7381482103526427
43022,RminusC,-0.26424407687824397,-0.7851721007435183,0.5209280238652743,-0.09864119121200872,0.4837496102750471,-0.5823908014870558,0.26424407687824397,0.7851721007435183
43022,VminusC,0.5703449258657444,0.6710659184934417,-0.10072099262769729,-0.9520558076001726,-1.155048790917572,0.20299298331739934,-0.5703449258657444,-0.6710659184934417
43022,VminusR,0.8345890027439884,1.4562380192369602,-0.6216490164929718,-0.853414616388164,-1.6387984011926189,0.7853837848044549,-0.8345890027439884,-1.4562380192369602
43122,RminusC,-0.2862529049301978,-1.0550364341236653,0.7687835291934675,-0.0717100367942969,0.7087538935712394,-0.7804639303655363,0.2862529049301978,1.0550364341236653
43122,VminusC,0.6642811635614307,0.8890517222888946,-0.22477055872746388,-0.9900084702883213,-1.3517099837965383,0.361701513508217,-0.6642811635614307,-0.8890517222888946
43122,VminusR,0.9505340684916286,1.94408815641256,-0.9935540879209315,-0.9182984334940244,-2.0604638773677775,1.1421654438737532,-0.9505340684916286,-1.94408815641256
43222,RminusC,-0.7105420049873233,-0.8492515962581236,0.1387095912708003,0.20386240574262593,0.42259602470636537,-0.21873361896373944,0.7105420049873233,0.8492515962581236
43222,VminusC,0.419874619312884,0.8485271321882975,-0.42865251287541345,-0.8736881839700367,-1.377077653403558,0.5033894694335214,-0.419874619312884,-0.8485271321882975
43222,VminusR,1.1304166243002074,1.697778728446421,-0.5673621041462136,-1.0775505897126625,-1.7996736781099234,0.7221230883972609,-1.1304166243002074,-1.697778728446421
