seed,contrast,token_class,n_pairs_min,gain_delta,true_delta,unrel_delta,excess_true_cost
43022,RSminusC,nonoverlap,1465,-0.047023890390875615,-0.5285477931830033,-0.5755716835738789,0.04702389039087562
43022,RSminusC,overlap,1619,-0.7817380314733411,0.04628271093400874,-0.7354553205393323,0.7817380314733411
43022,RSminusR,nonoverlap,1465,0.7381482103526427,-1.0122974034580503,-0.2741491931054076,-0.7381482103526427
43022,RSminusR,overlap,1619,-0.5174939545950971,0.14492390214601747,-0.3725700524490794,0.5174939545950971
43022,RminusC,nonoverlap,1465,-0.7851721007435183,0.4837496102750471,-0.30142249046847125,0.7851721007435183
43022,RminusC,overlap,1619,-0.26424407687824397,-0.09864119121200872,-0.3628852680902528,0.26424407687824397
43022,VminusC,nonoverlap,1465,0.6710659184934417,-1.155048790917572,-0.4839828724241302,-0.6710659184934417
43022,VminusC,overlap,1619,0.5703449258657444,-0.9520558076001726,-0.3817108817344283,-0.5703449258657444
43022,VminusR,nonoverlap,1465,1.4562380192369602,-1.6387984011926189,-0.18256038195565893,-1.4562380192369602
43022,VminusR,overlap,1619,0.8345890027439884,-0.853414616388164,-0.01882561364417559,-0.8345890027439884
43122,RminusC,nonoverlap,1465,-1.0550364341236653,0.7087538935712394,-0.3462825405524262,1.0550364341236653
43122,RminusC,overlap,1619,-0.2862529049301978,-0.0717100367942969,-0.35796294172449467,0.2862529049301978
43122,VminusC,nonoverlap,1465,0.8890517222888946,-1.3517099837965383,-0.4626582615076436,-0.8890517222888946
43122,VminusC,overlap,1619,0.6642811635614307,-0.9900084702883213,-0.32572730672689065,-0.6642811635614307
43122,VminusR,nonoverlap,1465,1.94408815641256,-2.0604638773677775,-0.11637572095521743,-1.94408815641256
43122,VminusR,overlap,1619,0.9505340684916286,-0.9182984334940244,0.03223563499760404,-0.9505340684916286
43222,RminusC,nonoverlap,1465,-0.8492515962581236,0.42259602470636537,-0.4266555715517583,0.8492515962581236
43222,RminusC,overlap,1619,-0.7105420049873233,0.20386240574262593,-0.5066795992446974,0.7105420049873233
43222,VminusC,nonoverlap,1465,0.8485271321882975,-1.377077653403558,-0.5285505212152608,-0.8485271321882975
43222,VminusC,overlap,1619,0.419874619312884,-0.8736881839700367,-0.4538135646571528,-0.419874619312884
43222,VminusR,nonoverlap,1465,1.697778728446421,-1.7996736781099234,-0.1018949496635025,-1.697778728446421
43222,VminusR,overlap,1619,1.1304166243002074,-1.0775505897126625,0.052866034587544734,-1.1304166243002074
