seed,contrast,mean_gain_delta,mean_gain_delta_sd,norm_gain_delta,norm_gain_delta_sd,repeated_nll_delta,repeated_nll_delta_sd,control_nll_delta,control_nll_delta_sd
43022,RminusC,0.499579045860654,0.03644685813576514,0.049671619290841,0.0026926084059067518,-0.18812281752979118,0.008992767028092792,0.31145622833086267,0.02749129743379406
43022,VminusC,0.32710675671031836,0.033206170783612786,0.009061117925833565,0.0028434243144116,-0.009299425387592783,0.00931163077728991,0.317807331322725,0.024308063800371243
43022,VminusR,-0.17247228915033563,0.02370196389249215,-0.040610501365007434,0.0012570361036712472,0.17882339214219842,0.004652543928996947,0.006351102991862294,0.0194213718555996
43022,RSminusC,-0.2005041727565402,0.02953720670513191,-0.030681194636578257,0.004311030583332467,0.11407654289573589,0.01474664125579188,-0.08642762986080399,0.016123030896244128
43022,RSminusR,-0.7000832186171942,0.06568786797481435,-0.08035281392741926,0.007001425438656132,0.3021993604255271,0.023630987153843413,-0.39788385819166666,0.042361613700869626
43122,RminusC,0.6678323688991968,0.029240017373930404,0.053104890090060954,0.0010156681518748614,-0.18982805617533416,0.0027994484324801987,0.4780043127238625,0.028413708135490923
43122,VminusC,0.31033876047431913,0.02333761439852564,0.011930500933375185,0.0011309880067592445,-0.021109099215422995,0.007944425659548556,0.28922966125889626,0.030312682489982663
43122,VminusR,-0.3574936084248777,0.010940315433694314,-0.041174389156685774,0.0018019786010995786,0.16871895695991115,0.00874572230467714,-0.18877465146496628,0.00909383898477979
43222,RminusC,0.5593732318344024,0.026463958590514886,0.06027729297443348,0.00026396712694707394,-0.22784200364235804,0.0013694948287665007,0.3315312281920442,0.0274585689390469
43222,VminusC,0.31470481642211084,0.029756307969933393,0.01510002538091774,0.0009730201035226693,-0.03485606024786345,0.0025407975854635383,0.2798487561742477,0.02879147390947329
43222,VminusR,-0.24466841541229156,0.004451936440775117,-0.04517726759351574,0.0007292210056887213,0.19298594339449457,0.0025848016209573392,-0.051682472017796556,0.0044793176957385675
