seed,checkpoint,token_class,contrast,n_pairs,gain_delta,true_delta,unrel_delta,excess_true_cost
43022,chck_100M,nonoverlap,RminusC,1465,-0.6986275099434035,0.4021489562164776,-0.2964785537269259,0.6986275099434035
43022,chck_100M,nonoverlap,VminusC,1465,0.6992774323372761,-1.1768072532953968,-0.47752982095812063,-0.6992774323372761
43022,chck_100M,nonoverlap,VminusR,1465,1.3979049422806797,-1.5789562095118743,-0.18105126723119475,-1.3979049422806797
43022,chck_100M,nonoverlap,RSminusC,1465,-0.05197002652574827,-0.5353611034344335,-0.5873311299601818,0.05197002652574827
43022,chck_100M,nonoverlap,RSminusR,1465,0.6466574834176552,-0.937510059650911,-0.2908525762332559,-0.6466574834176552
43022,chck_100M,overlap,RminusC,1619,-0.25317855801140415,-0.10623357469027991,-0.3594121327016841,0.25317855801140415
43022,chck_100M,overlap,VminusC,1619,0.5665456147194138,-0.943494064631235,-0.3769484499118212,-0.5665456147194138
43022,chck_100M,overlap,VminusR,1619,0.819724172730818,-0.8372604899409551,-0.01753631721013712,-0.819724172730818
43022,chck_100M,overlap,RSminusC,1619,-0.7606834763748177,0.027532193045605863,-0.7331512833292118,0.7606834763748177
43022,chck_100M,overlap,RSminusR,1619,-0.5075049183634135,0.13376576773588578,-0.3737391506275277,0.5075049183634135
43022,chck_80M,nonoverlap,RminusC,1465,-0.9538287006321747,0.6700466359851075,-0.28378206464706734,0.9538287006321747
43022,chck_80M,nonoverlap,VminusC,1465,0.6155723326397685,-1.0895902653599838,-0.47401793272021536,-0.6155723326397685
43022,chck_80M,nonoverlap,VminusR,1465,1.5694010332719432,-1.7596369013450912,-0.19023586807314802,-1.5694010332719432
43022,chck_80M,nonoverlap,RSminusC,1465,-0.05241696385336156,-0.502738430801423,-0.5551553946547846,0.05241696385336156
43022,chck_80M,nonoverlap,RSminusR,1465,0.9014117367788133,-1.1727850667865305,-0.2713733300077173,-0.9014117367788133
43022,chck_80M,overlap,RminusC,1619,-0.2764397338180219,-0.0679463702588988,-0.3443861040769207,0.2764397338180219
43022,chck_80M,overlap,VminusC,1619,0.601896493884276,-0.9681952325983051,-0.3662987387140291,-0.601896493884276
43022,chck_80M,overlap,VminusR,1619,0.8783362277022979,-0.9002488623394063,-0.021912634637108422,-0.8783362277022979
43022,chck_80M,overlap,RSminusC,1619,-0.8339028469257521,0.09687361744765441,-0.7370292294780978,0.8339028469257521
43022,chck_80M,overlap,RSminusR,1619,-0.5574631131077302,0.1648199877065532,-0.392643125401177,0.5574631131077302
43022,chck_90M,nonoverlap,RminusC,1465,-0.7030600916549767,0.3790532386235562,-0.32400685303142046,0.7030600916549767
43022,chck_90M,nonoverlap,VminusC,1465,0.6983479905032803,-1.198748854097335,-0.5004008635940546,-0.6983479905032803
43022,chck_90M,nonoverlap,VminusR,1465,1.401408082158257,-1.5778020927208911,-0.17639401056263404,-1.401408082158257
43022,chck_90M,nonoverlap,RSminusC,1465,-0.03668468079351702,-0.547543845313153,-0.5842285261066701,0.03668468079351704
43022,chck_90M,nonoverlap,RSminusR,1465,0.6663754108614597,-0.9265970839367093,-0.26022167307524957,-0.6663754108614597
43022,chck_90M,overlap,RminusC,1619,-0.2631139388053059,-0.12174362868684749,-0.38485756749215344,0.2631139388053059
43022,chck_90M,overlap,VminusC,1619,0.5425926689935432,-0.9444781255709779,-0.40188545657743463,-0.5425926689935432
43022,chck_90M,overlap,VminusR,1619,0.8057066077988492,-0.8227344968841304,-0.017027889085281227,-0.8057066077988492
43022,chck_90M,overlap,RSminusC,1619,-0.7506277711194531,0.014442322308765956,-0.7361854488106871,0.7506277711194531
43022,chck_90M,overlap,RSminusR,1619,-0.4875138323141472,0.13618595099561345,-0.3513278813185337,0.4875138323141472
43122,chck_100M,nonoverlap,RminusC,1465,-1.0843722998197969,0.7636394105983562,-0.32073288922144083,1.0843722998197969
43122,chck_100M,nonoverlap,VminusC,1465,0.9076137768284261,-1.360956779561155,-0.4533430027327287,-0.9076137768284261
43122,chck_100M,nonoverlap,VminusR,1465,1.9919860766482231,-2.124596190159511,-0.13261011351128793,-1.9919860766482231
43122,chck_100M,overlap,RminusC,1619,-0.2674441440561776,-0.07700796171218842,-0.34445210576836605,0.2674441440561776
43122,chck_100M,overlap,VminusC,1619,0.6665947735695016,-0.9918220957121027,-0.32522732214260114,-0.6665947735695016
43122,chck_100M,overlap,VminusR,1619,0.9340389176256791,-0.9148141339999143,0.019224783625764935,-0.9340389176256791
43122,chck_80M,nonoverlap,RminusC,1465,-0.9989896987610951,0.621059062728919,-0.37793063603217614,0.9989896987610951
43122,chck_80M,nonoverlap,VminusC,1465,0.8628858888931826,-1.3386848630358181,-0.47579897414263556,-0.8628858888931826
43122,chck_80M,nonoverlap,VminusR,1465,1.8618755876542779,-1.959743925764737,-0.09786833811045939,-1.8618755876542779
43122,chck_80M,overlap,RminusC,1619,-0.29004853743259634,-0.08576705503293876,-0.3758155924655351,0.29004853743259634
43122,chck_80M,overlap,VminusC,1619,0.6476209765300011,-0.9919196915820844,-0.3442987150520833,-0.6476209765300011
43122,chck_80M,overlap,VminusR,1619,0.9376695139625975,-0.9061526365491457,0.0315168774134518,-0.9376695139625975
43122,chck_90M,nonoverlap,RminusC,1465,-1.0817473037901044,0.741563207386443,-0.34018409640366154,1.0817473037901044
43122,chck_90M,nonoverlap,VminusC,1465,0.8966555011450749,-1.3554883087926415,-0.45883280764756657,-0.8966555011450749
43122,chck_90M,nonoverlap,VminusR,1465,1.9784028049351794,-2.0970515161790844,-0.118648711243905,-1.9784028049351794
43122,chck_90M,overlap,RminusC,1619,-0.3012660333018194,-0.05235509363776349,-0.35362112693958286,0.3012660333018194
43122,chck_90M,overlap,VminusC,1619,0.6786277405847896,-0.986283623570777,-0.30765588298598745,-0.6786277405847896
43122,chck_90M,overlap,VminusR,1619,0.9798937738866089,-0.9339285299330136,0.045965243953595386,-0.9798937738866089
43222,chck_100M,nonoverlap,RminusC,1465,-0.837218566659803,0.41218604657031377,-0.4250325200894892,0.837218566659803
43222,chck_100M,nonoverlap,VminusC,1465,0.8448135474506041,-1.369289606539437,-0.5244760590888331,-0.8448135474506041
43222,chck_100M,nonoverlap,VminusR,1465,1.682032114110407,-1.781475653109751,-0.0994435389993439,-1.682032114110407
43222,chck_100M,overlap,RminusC,1619,-0.6870807983948373,0.18446773643621014,-0.5026130619586271,0.6870807983948373
43222,chck_100M,overlap,VminusC,1619,0.4449726560705051,-0.8798671288298332,-0.434894472759328,-0.4449726560705051
43222,chck_100M,overlap,VminusR,1619,1.1320534544653424,-1.0643348652660434,0.06771858919929906,-1.1320534544653424
43222,chck_80M,nonoverlap,RminusC,1465,-0.8930611892008149,0.4567012510315671,-0.43635993816924784,0.8930611892008149
43222,chck_80M,nonoverlap,VminusC,1465,0.8580421952740528,-1.3854787038531116,-0.5274365085790589,-0.8580421952740528
43222,chck_80M,nonoverlap,VminusR,1465,1.7511033844748678,-1.8421799548846787,-0.09107657040981099,-1.7511033844748678
43222,chck_80M,overlap,RminusC,1619,-0.7456528380850932,0.231467527814143,-0.5141853102709502,0.7456528380850932
43222,chck_80M,overlap,VminusC,1619,0.38685733806902034,-0.8619728496306751,-0.47511551156165477,-0.38685733806902034
43222,chck_80M,overlap,VminusR,1619,1.1325101761541136,-1.093440377444818,0.039069798709295445,-1.1325101761541136
43222,chck_90M,nonoverlap,RminusC,1465,-0.8174750329137529,0.3989007765172151,-0.4185742563965378,0.8174750329137529
43222,chck_90M,nonoverlap,VminusC,1465,0.8427256538402352,-1.3764646498181257,-0.5337389959778903,-0.8427256538402352
43222,chck_90M,nonoverlap,VminusR,1465,1.6602006867539882,-1.7753654263353407,-0.11516473958135262,-1.6602006867539882
43222,chck_90M,overlap,RminusC,1619,-0.6988923784820398,0.19565195297752463,-0.5032404255045151,0.6988923784820398
43222,chck_90M,overlap,VminusC,1619,0.42779386379912643,-0.8792245734496018,-0.45143070965047544,-0.42779386379912643
43222,chck_90M,overlap,VminusR,1619,1.126686242281166,-1.0748765264271265,0.05180971585403969,-1.126686242281166
