domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5049773755656108,629,0.2846153846153846,0.5749542961608776,1094,-0.002611130475997925
social-relations,1548,0.5058139534883721,488,0.3152454780361757,0.6379084967320261,765,0.0012451261281967163
material-dynamics,770,0.42857142857142855,324,0.42077922077922075,0.7363636363636363,440,-0.1462777853012085
physical-relations,818,0.49877750611246946,245,0.2995110024449878,0.5975609756097561,410,-0.0016883909702301025
spatial-relations,490,0.4897959183673469,151,0.3081632653061224,0.604,250,-0.0013959258794784546
physical-interactions,556,0.5269784172661871,146,0.26258992805755393,0.5551330798479087,263,0.006483219563961029
social-properties,328,0.5182926829268293,107,0.32621951219512196,0.6772151898734177,158,-0.05788093060255051
quantitative-properties,314,0.49044585987261147,98,0.31210191082802546,0.6125,160,0.0026286691427230835
social-interactions,294,0.5272108843537415,84,0.2857142857142857,0.60431654676259,139,0.017380893230438232
material-properties,170,0.4588235294117647,71,0.4176470588235294,0.7717391304347826,92,-0.105221688747406
physical-dynamics,120,0.5666666666666667,23,0.19166666666666668,0.4423076923076923,52,0.08755320310592651
