model_arm,checkpoint,block_type,mean_loss,n_rows,n_tokens_masked,n_subword_tokens,eval_time_sec,error
clean,chck_60M,incorpus_admitted_changed,3.7022,300,9230,62424,11.4,
clean,chck_60M,incorpus_unchanged,2.934421,300,9904,66978,11.4,
clean,chck_60M,clean_displaced_same_positions,2.838568,300,9782,66160,11.8,
clean,chck_80M,incorpus_admitted_changed,3.541737,300,9230,62424,11.7,
clean,chck_80M,incorpus_unchanged,2.796581,300,9904,66978,12.4,
clean,chck_80M,clean_displaced_same_positions,2.73526,300,9782,66160,12.9,
clean,chck_100M,incorpus_admitted_changed,3.49535,300,9230,62424,12.4,
clean,chck_100M,incorpus_unchanged,2.755179,300,9904,66978,12.9,
clean,chck_100M,clean_displaced_same_positions,2.699011,300,9782,66160,12.6,
incorpus,chck_60M,incorpus_admitted_changed,3.686713,300,9230,62424,12.8,
incorpus,chck_60M,incorpus_unchanged,2.974282,300,9904,66978,13.3,
incorpus,chck_60M,clean_displaced_same_positions,2.929267,300,9782,66160,13.1,
incorpus,chck_80M,incorpus_admitted_changed,3.467647,300,9230,62424,12.8,
incorpus,chck_80M,incorpus_unchanged,2.807021,300,9904,66978,13.3,
incorpus,chck_80M,clean_displaced_same_positions,2.812446,300,9782,66160,13.5,
incorpus,chck_100M,incorpus_admitted_changed,3.412794,300,9230,62424,13.2,
incorpus,chck_100M,incorpus_unchanged,2.769192,300,9904,66978,13.6,
incorpus,chck_100M,clean_displaced_same_positions,2.780432,300,9782,66160,13.4,
