basin,checkpoint,words,group,numops_group,split_group,view_macro_score_pp,repeat_macro_score_pp,macro_delta_pp_view_minus_repeat,micro_accuracy_delta_view_minus_repeat,pred_option0_frac_delta_view_minus_repeat,pred_not_in_options_frac_delta_view_minus_repeat,n_scored_view,n_scored_repeat
seed43022_first_basin,chck_80M,80000000,all_18_subtasks,all,all,27.983992384550877,23.482805688022648,4.5011866965282294,0.030383480825958736,,,6780,6780
seed43022_first_basin,chck_80M,80000000,ambiref_nonzero_ops,nonzero,ambiref,27.19477498293413,21.23461996563149,5.96015501730264,0.058660763696734924,0.058660763696734924,0.0,1807,1807
seed43022_first_basin,chck_80M,80000000,ambiref_zero_ops,zero,ambiref,28.937007874015748,34.44881889763779,-5.511811023622045,-0.055118110236220486,-0.055118110236220486,0.0,508,508
seed43022_first_basin,chck_80M,80000000,move_contents_nonzero_ops,nonzero,move_contents,25.450159646156177,18.21233550299761,7.237824143158566,0.05786090005844535,0.05786090005844535,0.0,1711,1711
seed43022_first_basin,chck_80M,80000000,move_contents_zero_ops,zero,move_contents,45.93023255813954,54.65116279069767,-8.720930232558132,-0.08720930232558138,-0.08720930232558138,0.0,516,516
seed43022_first_basin,chck_80M,80000000,nonzero_ops,nonzero,all,25.868816225300602,18.667478942600816,7.201337282699786,0.06585226188203855,0.06585226188203855,0.0,5239,5239
seed43022_first_basin,chck_80M,80000000,numops_0,0,all,38.55987318080224,47.559439415131806,-8.999566234329563,-0.09020116807268008,-0.09020116807268008,0.0,1541,1541
seed43022_first_basin,chck_80M,80000000,numops_1,1,all,14.660607418856017,12.744378730361527,1.9162286884944901,0.01883830455259025,0.01883830455259025,0.0,1274,1274
seed43022_first_basin,chck_80M,80000000,numops_2,2,all,22.65297057248688,18.389644334733045,4.263326237753834,0.04272801972062448,0.04272801972062448,0.0,1217,1217
seed43022_first_basin,chck_80M,80000000,numops_3,3,all,26.447185500960355,17.668449455492507,8.778736045467848,0.08790322580645163,0.08790322580645163,0.0,1240,1240
seed43022_first_basin,chck_80M,80000000,numops_4,4,all,32.35784854898802,21.84137794222761,10.516470606760407,0.10638297872340424,0.10638297872340424,0.0,1175,1175
seed43022_first_basin,chck_80M,80000000,numops_5,5,all,33.22546908521176,22.693544250189387,10.531924835022377,0.1051051051051051,0.1051051051051051,0.0,333,333
seed43022_first_basin,chck_80M,80000000,regular_nonzero_ops,nonzero,regular,24.96151404681151,16.555481359173342,8.406032687638167,0.08134805345729226,0.08134805345729226,0.0,1721,1721
seed43022_first_basin,chck_80M,80000000,regular_zero_ops,zero,regular,40.81237911025145,53.578336557059956,-12.765957446808507,-0.12765957446808507,-0.12765957446808507,0.0,517,517
seed43022_first_basin,chck_80M,80000000,split_ambiref,all,ambiref,27.485147131447732,23.436986454299213,4.04816067714852,0.033693304535637125,0.033693304535637125,0.0,2315,2315
seed43022_first_basin,chck_80M,80000000,split_move_contents,all,move_contents,28.863505131486736,24.28547338428095,4.5780317472057845,0.024247867085765595,0.024247867085765595,0.0,2227,2227
seed43022_first_basin,chck_80M,80000000,split_regular,all,regular,27.603324890718167,22.725957225487775,4.877367665230391,0.033065236818588056,0.033065236818588056,0.0,2238,2238
seed43022_first_basin,chck_80M,80000000,zero_ops,zero,all,38.55987318080224,47.559439415131806,-8.999566234329563,-0.09020116807268008,-0.09020116807268008,0.0,1541,1541
seed43022_first_basin,chck_90M,90000000,all_18_subtasks,all,all,28.190451620328744,24.5295757743401,3.6608758459886452,0.02050147492625365,,,6780,6780
seed43022_first_basin,chck_90M,90000000,ambiref_nonzero_ops,nonzero,ambiref,26.557284658956455,21.663510838675947,4.893773820280508,0.04759269507470945,0.04759269507470945,0.0,1807,1807
seed43022_first_basin,chck_90M,90000000,ambiref_zero_ops,zero,ambiref,29.92125984251969,34.44881889763779,-4.527559055118104,-0.04527559055118108,-0.04527559055118108,0.0,508,508
seed43022_first_basin,chck_90M,90000000,move_contents_nonzero_ops,nonzero,move_contents,25.86574159511226,19.25914936629536,6.606592228816901,0.05026300409117476,0.05026300409117476,0.0,1711,1711
seed43022_first_basin,chck_90M,90000000,move_contents_zero_ops,zero,move_contents,44.96124031007752,56.007751937984494,-11.046511627906973,-0.11046511627906974,-0.11046511627906974,0.0,516,516
seed43022_first_basin,chck_90M,90000000,nonzero_ops,nonzero,all,26.154234713073702,19.678424891552833,6.475809821520869,0.057262836419163965,0.057262836419163965,0.0,5239,5239
seed43022_first_basin,chck_90M,90000000,numops_0,0,all,38.37153615660397,48.78533018827642,-10.413794031672445,-0.10447761194029853,-0.10447761194029853,0.0,1541,1541
seed43022_first_basin,chck_90M,90000000,numops_1,1,all,15.602048935904724,13.535688983374198,2.066359952530526,0.020408163265306117,0.020408163265306117,0.0,1274,1274
