domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5,644,0.2914027149321267,0.5828054298642534,1105,-0.0026863515377044678
social-relations,1548,0.5090439276485789,448,0.28940568475452194,0.5894736842105263,760,-0.003972768783569336
physical-relations,818,0.5048899755501223,246,0.30073349633251834,0.6074074074074074,405,0.005343794822692871
material-dynamics,770,0.5155844155844156,201,0.261038961038961,0.5388739946380697,373,0.03816676139831543
physical-interactions,556,0.49640287769784175,177,0.3183453237410072,0.6321428571428571,280,-0.007329672574996948
spatial-relations,490,0.4714285714285714,164,0.3346938775510204,0.6332046332046332,259,-0.006130009889602661
quantitative-properties,314,0.5159235668789809,98,0.31210191082802546,0.6447368421052632,152,-0.009313583374023438
social-properties,328,0.4969512195121951,82,0.25,0.49696969696969695,165,0.047987937927246094
social-interactions,294,0.5102040816326531,78,0.2653061224489796,0.5416666666666666,144,0.03497815132141113
material-properties,170,0.4647058823529412,51,0.3,0.5604395604395604,91,0.03641855716705322
physical-dynamics,120,0.49166666666666664,48,0.4,0.7868852459016393,61,-0.05171215534210205
