arm,target,role,BLiMP,Supplement,EWoK,Entity,COMPS,SuperGLUE,GlobalPIQA,Reading,AoA,Overall,GlobalPIQA_parallel,EWoK_stable_failure_frac_wrong,EWoK_stable_failure,GlobalPIQA_hard_mean_top_minus_correct,GlobalPIQA_hard_rank_counts,Overall_minus_best_compliant,EWoK_score_minus_best_compliant,GlobalPIQA_score_minus_best_compliant,GlobalPIQA_parallel_minus_best_compliant
compact_anchor,fw_compact_fullbatch_seed43022,same-proposition compact recurrence anchor,,,,,,,,,,,,,,,null,,,,
rowblock_breadth,fw_breadth_rowblock_fullbatch_seed43022,whole-sentence independent breadth in row-block layout,,,,,,,,,,,,,,,null,,,,
interleaved_breadth,fw_breadth_interleaved_fullbatch_seed43022,whole-sentence independent breadth interleaved with common source segments,,,,,,,,,,,,,,,null,,,,
