checkpoint,common_columns,common_column_names,compact_minus_breadth_BLiMP,compact_minus_breadth_Supplement,compact_minus_breadth_EWoK,compact_minus_breadth_Entity,compact_minus_breadth_COMPS,compact_minus_breadth_GlobalPIQA,compact_minus_breadth_Reading,compact_minus_breadth_cheap7,compact_minus_legal_ref_cheap7,breadth_minus_legal_ref_cheap7
70M,7,"['BLiMP', 'Supplement', 'EWoK', 'Entity', 'COMPS', 'GlobalPIQA', 'Reading']",-0.35999999999999943,-0.45000000000000284,-2.019999999999996,5.299999999999997,0.44999999999999574,2.0,-0.5399999999999991,0.625714285714281,0.04854285714285567,-0.5771714285714253
80M,0,[],,,,,,,,,,
100M,0,[],,,,,,,,,,
