arm,checkpoint,exists,scores_available,cheap7_complete,cheap7,BLiMP,Supplement,EWoK,Entity,COMPS,GlobalPIQA,Reading,finished_utc,path
compact_view,70M,True,7,True,42.65714285714286,65.62,57.94,49.42,27.74,51.76,38.605000000000004,7.515000000000001,2026-08-30T20:26:12Z,experiments/archive/frontier_consolidation/data/fw_comparison_eval/per_target/compact_view_chck_70M.json
source_breadth_rowblock,70M,True,7,True,42.03142857142858,65.98,58.39,51.44,22.44,51.31,36.605000000000004,8.055,2026-08-30T20:41:19Z,experiments/archive/frontier_consolidation/data/fw_comparison_eval/per_target/source_breadth_chck_70M.json
compact_view,80M,True,4,False,,66.37,59.21,50.17,27.72,,,,,experiments/archive/frontier_consolidation/data/fw_comparison_eval/per_target/compact_view_chck_80M.json
source_breadth_rowblock,80M,False,0,False,,,,,,,,,,experiments/archive/frontier_consolidation/data/fw_comparison_eval/per_target/source_breadth_chck_80M.json
compact_view,100M,False,0,False,,,,,,,,,,experiments/archive/frontier_consolidation/data/fw_comparison_eval/per_target/compact_view_chck_100M.json
source_breadth_rowblock,100M,False,0,False,,,,,,,,,,experiments/archive/frontier_consolidation/data/fw_comparison_eval/per_target/source_breadth_chck_100M.json
