endpoint,globalpiqa_delta_vs_coherent86,globalpiqa_mean,group,nonparallel_correct,nonparallel_delta,nonparallel_total,overall_delta_contribution,parallel_correct,parallel_delta,parallel_total
coherent86,0.0,38.56310679611651,parent,48,0,100,0.0,30,0,103
ordinary64,0.9708737864077648,39.53398058252427,ordinary,48,0,100,0.10787486515641831,32,2,103
ordinary65,0.9708737864077648,39.53398058252427,ordinary,48,0,100,0.10787486515641831,32,2,103
ms64,1.4854368932038824,40.04854368932039,ms,50,2,100,0.16504854368932026,31,1,103
ms65,1.4854368932038824,40.04854368932039,ms,50,2,100,0.16504854368932026,31,1,103
clean64,1.4854368932038824,40.04854368932039,clean,50,2,100,0.16504854368932026,31,1,103
clean65,1.4854368932038824,40.04854368932039,clean,50,2,100,0.16504854368932026,31,1,103
