task,sgcr12x384_k50d64_43022,depth12x384_43022,legal40k8x480_43022,legal16k8x480_43022,inherited16k_non_submission_43022,visible_leader,sgcr_minus_depth12x384_43022,sgcr_minus_legal40k8x480_43022,sgcr_minus_legal16k8x480_43022,sgcr_minus_inherited16k_non_submission_43022,sgcr_minus_visible_leader,burden_disc_over_shared_mean_residual,burden_disc_over_shared_frac_lt50,burden_disc_residual_share
BLiMP,67.69051174603594,67.47509961688662,67.94936507303161,66.3350104082468,66.87232315173485,67.2,0.21541212914931407,-0.258853326995677,1.3555013377891356,0.8181885943010911,0.49051174603593495,,,
Supplement,57.74928087815986,60.13954967329228,60.96556978072759,59.28059307749794,63.27576417952158,56.01,-2.390268795132421,-3.216288902567733,-1.5313121993380818,-5.526483301361722,1.7392808781598603,,,
EWoK,50.52748844708053,50.54719004691065,51.47398439480199,49.83762097731724,53.536575594886855,56.07,-0.019701599830121097,-0.9464959477214592,0.6898674697632856,-3.0090871478063264,-5.542511552919471,1.1362750340158727,0.9844985950885389,0.11765961274199163
Entity,25.4408517009566,27.171427053823486,27.20367425262572,26.19560049841891,27.745741097952372,28.45,-1.730575352866886,-1.762822551669121,-0.7547487974623088,-2.3048893969957724,-3.0091482990433995,1.0287355123794735,5.233865376872995,0.07459027307062506
COMPS,52.89681116588129,52.70234321016695,51.67466312375749,51.8109824000351,51.968828052457084,53.57,0.1944679557143374,1.2221480421237985,1.0858287658461876,0.9279831134242045,-0.6731888341187116,2.5987900215439748,2.922520795506795,0.421139710234526
SuperGLUE,67.08427738184649,68.22750825670133,68.51023725569027,69.17430600796813,71.03604952825312,69.79,-1.1432308748548365,-1.4259598738437802,-2.0900286261216365,-3.9517721464066256,-2.7057226181535157,,,
GlobalPIQA,34.150485436893206,35.63592233009709,34.66504854368932,36.10679611650485,35.62135922330097,39.67,-1.4854368932038824,-0.5145631067961176,-1.9563106796116472,-1.4708737864077648,-5.519514563106796,1.5194709613873472,1.8669243881296869,0.30527773473988024
Reading,7.445677964318796,7.349322294299417,7.822657545982009,7.594698114753101,8.241572282566393,5.42,0.0963556700193795,-0.3769795816632131,-0.14902015043430517,-0.7958943182475968,2.0256779643187963,,,
AoA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Overall,40.331709413463635,41.02759583135309,41.140577774478444,40.703956400082454,42.0331347900748,41.8,-0.6958864178894544,-0.8088683610148095,-0.37224698661881916,-1.7014253766111622,-1.4682905865363622,,,
