family,subtask,sgcr12x384_k50d64_43022,depth12x384_43022,legal40k8x480_43022,legal16k8x480_43022,inherited16k_non_submission_43022,delta_sgcr_minus_depth12x384,delta_sgcr_minus_legal40k8x480
Entity,ambiref_0_ops,22.04724409448819,20.47244094488189,21.062992125984252,27.559055118110237,24.803149606299215,1.5748031496063,0.984251968503937
Entity,ambiref_1_ops,15.88785046728972,15.42056074766355,17.757009345794394,12.383177570093459,14.018691588785046,0.4672897196261694,-1.869158878504674
Entity,ambiref_2_ops,22.276029055690074,25.66585956416465,25.66585956416465,22.033898305084747,23.97094430992736,-3.3898305084745743,-3.3898305084745743
Entity,ambiref_3_ops,26.65036674816626,29.82885085574572,28.361858190709047,23.96088019559902,26.894865525672373,-3.178484107579461,-1.711491442542787
Entity,ambiref_4_ops,33.87096774193548,36.175115207373274,34.7926267281106,25.57603686635945,32.02764976958525,-2.3041474654377936,-0.9216589861751174
Entity,ambiref_5_ops,32.520325203252035,30.89430894308943,30.89430894308943,27.642276422764226,34.146341463414636,1.6260162601626043,1.6260162601626043
Entity,move_contents_0_ops,28.100775193798448,29.26356589147287,33.72093023255814,45.736434108527135,40.116279069767444,-1.1627906976744207,-5.620155038759691
Entity,move_contents_1_ops,15.789473684210526,18.76430205949657,17.848970251716246,14.645308924485127,16.933638443935926,-2.9748283752860427,-2.05949656750572
Entity,move_contents_2_ops,24.06015037593985,26.06516290726817,23.55889724310777,20.050125313283207,20.551378446115287,-2.0050125313283225,0.5012531328320797
Entity,move_contents_3_ops,26.354679802955665,27.339901477832512,27.832512315270936,27.586206896551722,29.55665024630542,-0.985221674876847,-1.4778325123152705
Entity,move_contents_4_ops,24.64589235127479,27.478753541076486,28.611898016997166,24.362606232294617,30.02832861189802,-2.8328611898016973,-3.9660056657223777
Entity,move_contents_5_ops,33.62068965517241,32.758620689655174,40.51724137931034,36.206896551724135,37.93103448275862,0.8620689655172384,-6.896551724137929
Entity,regular_0_ops,23.017408123791103,25.918762088974855,28.239845261121857,39.845261121856865,36.55705996131528,-2.901353965183752,-5.222437137330754
Entity,regular_1_ops,19.804400977995112,18.581907090464547,16.381418092909534,15.89242053789731,19.315403422982886,1.2224938875305646,3.4229828850855775
Entity,regular_2_ops,21.97530864197531,22.469135802469136,21.97530864197531,20.246913580246915,22.22222222222222,-0.4938271604938258,0.0
Entity,regular_3_ops,26.823529411764707,31.764705882352942,27.764705882352942,28.235294117647058,27.764705882352942,-4.9411764705882355,-0.9411764705882355
Entity,regular_4_ops,29.63917525773196,32.98969072164948,31.701030927835053,25.515463917525775,30.670103092783506,-3.350515463917521,-2.0618556701030926
Entity,regular_5_ops,30.851063829787233,37.234042553191486,32.97872340425532,34.04255319148936,31.914893617021278,-6.382978723404253,-2.127659574468087
GlobalPIQA,global_piqa_nonparallel,45.0,47.0,47.0,46.0,,-2.0,-2.0
GlobalPIQA,global_piqa_parallel,23.300970873786408,24.271844660194176,22.330097087378643,26.21359223300971,,-0.9708737864077683,0.9708737864077648
SuperGLUE,boolq,67.52293577981652,66.97247706422019,68.13455657492355,68.13455657492355,67.3394495412844,0.550458715596335,-0.6116207951070294
SuperGLUE,mnli,57.62021189894051,59.27057864710677,58.475957620211894,60.22819885900571,60.57457212713936,-1.650366748166256,-0.8557457212713828
SuperGLUE,mrpc,84.66666666666667,86.3013698630137,86.37873754152824,87.24832214765101,88.50174216027874,-1.6347031963470329,-1.712070874861567
SuperGLUE,multirc,67.61551155115512,68.3993399339934,66.66666666666666,67.07920792079209,68.64686468646865,-0.7838283828382799,0.9488448844884658
SuperGLUE,qqp,72.11757648470306,72.52040269255971,70.26715356525082,71.39703972994027,71.48689582510207,-0.40282620785664847,1.8504229194522424
SuperGLUE,rte,60.431654676258994,62.589928057553955,66.18705035971223,64.74820143884892,67.62589928057554,-2.1582733812949613,-5.755395683453237
SuperGLUE,wsc,59.61538461538461,61.53846153846154,63.46153846153846,65.38461538461539,73.07692307692307,-1.923076923076927,-3.8461538461538467
