variant,row_index,pair_id,source_raw_tokens,view_raw_tokens,source_visible_tokens,view_visible_tokens,source_visible_fraction,view_visible_fraction,both_any_visible,both_full_visible,token_gap_source_to_view_visible
compact,0,compact:frontier_consolidation_fwcompact_medium_046028,30,19,30,19,1.0,1.0,True,True,0
compact,0,compact:frontier_consolidation_fwcompact_medium_030624,28,20,28,20,1.0,1.0,True,True,0
compact,0,compact:frontier_consolidation_fwcompact_medium_035003,43,27,43,27,1.0,1.0,True,True,0
compact,1,compact:frontier_consolidation_fwcompact_medium_031347,29,17,29,17,1.0,1.0,True,True,0
compact,1,compact:frontier_consolidation_fwcompact_medium_015071,38,25,38,25,1.0,1.0,True,True,0
compact,1,compact:frontier_consolidation_fwcompact_medium_056778,29,21,29,21,1.0,1.0,True,True,0
compact,1,compact:frontier_consolidation_fwcompact_medium_005391,35,27,35,27,1.0,1.0,True,True,0
compact,2,compact:frontier_consolidation_fwcompact_medium_023863,26,15,26,15,1.0,1.0,True,True,0
compact,2,compact:frontier_consolidation_fwcompact_medium_037105,43,30,43,30,1.0,1.0,True,True,0
compact,2,compact:frontier_consolidation_fwcompact_medium_012608,23,18,23,18,1.0,1.0,True,True,0
compact,2,compact:frontier_consolidation_fwcompact_medium_013869,43,33,43,33,1.0,1.0,True,True,0
compact,3,compact:frontier_consolidation_fwcompact_medium_035424,30,19,30,19,1.0,1.0,True,True,0
compact,3,compact:frontier_consolidation_fwcompact_medium_009947,11,8,11,8,1.0,1.0,True,True,0
compact,3,compact:frontier_consolidation_fwcompact_medium_014872,45,26,45,26,1.0,1.0,True,True,0
compact,3,compact:frontier_consolidation_fwcompact_medium_004256,23,18,23,18,1.0,1.0,True,True,0
compact,4,compact:frontier_consolidation_fwcompact_medium_019309,62,41,62,41,1.0,1.0,True,True,0
compact,4,compact:frontier_consolidation_fwcompact_medium_014997,41,25,41,25,1.0,1.0,True,True,0
compact,4,compact:frontier_consolidation_fwcompact_medium_010715,25,16,25,16,1.0,1.0,True,True,0
compact,5,compact:frontier_consolidation_fwcompact_medium_049343,32,22,32,22,1.0,1.0,True,True,0
compact,5,compact:frontier_consolidation_fwcompact_medium_032403,24,18,24,18,1.0,1.0,True,True,0
compact,5,compact:frontier_consolidation_fwcompact_medium_004790,24,20,24,20,1.0,1.0,True,True,0
compact,5,compact:frontier_consolidation_fwcompact_medium_023930,38,22,38,22,1.0,1.0,True,True,0
compact,6,compact:frontier_consolidation_fwcompact_medium_032766,21,13,21,13,1.0,1.0,True,True,0
compact,6,compact:frontier_consolidation_fwcompact_medium_028521,59,44,59,44,1.0,1.0,True,True,0
compact,6,compact:frontier_consolidation_fwcompact_medium_000261,38,25,38,25,1.0,1.0,True,True,0
compact,7,compact:frontier_consolidation_fwcompact_medium_046432,61,51,61,51,1.0,1.0,True,True,0
compact,7,compact:frontier_consolidation_fwcompact_medium_029146,32,28,32,28,1.0,1.0,True,True,0
compact,7,compact:frontier_consolidation_fwcompact_medium_012581,34,18,34,18,1.0,1.0,True,True,0
compact,8,compact:frontier_consolidation_fwcompact_medium_014626,22,19,22,19,1.0,1.0,True,True,0
compact,8,compact:frontier_consolidation_fwcompact_medium_058285,17,13,17,13,1.0,1.0,True,True,0
compact,8,compact:frontier_consolidation_fwcompact_medium_046182,19,12,19,12,1.0,1.0,True,True,0
compact,8,compact:frontier_consolidation_fwcompact_medium_050250,35,22,35,22,1.0,1.0,True,True,0
compact,9,compact:frontier_consolidation_fwcompact_medium_034918,54,37,54,37,1.0,1.0,True,True,0
compact,9,compact:frontier_consolidation_fwcompact_medium_048895,39,22,39,22,1.0,1.0,True,True,0
compact,9,compact:frontier_consolidation_fwcompact_medium_030075,43,21,43,21,1.0,1.0,True,True,0
compact,10,compact:frontier_consolidation_fwcompact_medium_058429,37,29,37,29,1.0,1.0,True,True,0
compact,10,compact:frontier_consolidation_fwcompact_medium_017895,34,24,34,24,1.0,1.0,True,True,0
compact,10,compact:frontier_consolidation_fwcompact_medium_054204,20,12,20,12,1.0,1.0,True,True,0
compact,10,compact:frontier_consolidation_fwcompact_medium_028682,35,24,35,24,1.0,1.0,True,True,0
compact,11,compact:frontier_consolidation_fwcompact_medium_033994,40,30,40,30,1.0,1.0,True,True,0
compact,11,compact:frontier_consolidation_fwcompact_medium_036342,38,34,38,34,1.0,1.0,True,True,0
compact,11,compact:frontier_consolidation_fwcompact_medium_012555,23,16,23,16,1.0,1.0,True,True,0
compact,11,compact:frontier_consolidation_fwcompact_medium_058902,18,13,18,13,1.0,1.0,True,True,0
compact,12,compact:frontier_consolidation_fwcompact_medium_029882,30,23,30,23,1.0,1.0,True,True,0
compact,12,compact:frontier_consolidation_fwcompact_medium_014159,32,20,32,20,1.0,1.0,True,True,0
compact,12,compact:frontier_consolidation_fwcompact_medium_004538,27,21,27,21,1.0,1.0,True,True,0
compact,12,compact:frontier_consolidation_fwcompact_medium_035378,27,19,27,19,1.0,1.0,True,True,0
compact,13,compact:frontier_consolidation_fwcompact_medium_043222,25,16,25,16,1.0,1.0,True,True,0
compact,13,compact:frontier_consolidation_fwcompact_medium_053969,56,40,56,40,1.0,1.0,True,True,0
compact,13,compact:frontier_consolidation_fwcompact_medium_014753,27,19,27,19,1.0,1.0,True,True,0
compact,14,compact:frontier_consolidation_fwcompact_medium_010090,42,31,42,31,1.0,1.0,True,True,0
compact,14,compact:frontier_consolidation_fwcompact_medium_050259,34,22,34,22,1.0,1.0,True,True,0
compact,14,compact:frontier_consolidation_fwcompact_medium_011883,34,24,34,24,1.0,1.0,True,True,0
compact,15,compact:frontier_consolidation_fwcompact_medium_056870,31,16,31,16,1.0,1.0,True,True,0
compact,15,compact:frontier_consolidation_fwcompact_medium_016210,22,16,22,16,1.0,1.0,True,True,0
compact,15,compact:frontier_consolidation_fwcompact_medium_016822,24,17,24,17,1.0,1.0,True,True,0
compact,15,compact:frontier_consolidation_fwcompact_medium_007559,33,22,33,22,1.0,1.0,True,True,0
compact,16,compact:frontier_consolidation_fwcompact_medium_041890,29,19,29,19,1.0,1.0,True,True,0
compact,16,compact:frontier_consolidation_fwcompact_medium_020098,22,15,22,15,1.0,1.0,True,True,0
compact,16,compact:frontier_consolidation_fwcompact_medium_012739,27,20,27,20,1.0,1.0,True,True,0
compact,16,compact:frontier_consolidation_fwcompact_medium_046500,37,24,37,24,1.0,1.0,True,True,0
compact,16,compact:frontier_consolidation_fwcompact_medium_043890,32,21,32,21,1.0,1.0,True,True,0
compact,17,compact:frontier_consolidation_fwcompact_medium_045982,23,13,23,13,1.0,1.0,True,True,0
compact,17,compact:frontier_consolidation_fwcompact_medium_033650,26,19,26,19,1.0,1.0,True,True,0
compact,17,compact:frontier_consolidation_fwcompact_medium_048229,25,11,25,11,1.0,1.0,True,True,0
compact,17,compact:frontier_consolidation_fwcompact_medium_031815,42,32,42,32,1.0,1.0,True,True,0
compact,18,compact:frontier_consolidation_fwcompact_medium_012734,38,28,38,28,1.0,1.0,True,True,0
compact,18,compact:frontier_consolidation_fwcompact_medium_033946,26,17,26,17,1.0,1.0,True,True,0
compact,18,compact:frontier_consolidation_fwcompact_medium_035934,26,18,26,18,1.0,1.0,True,True,0
compact,18,compact:frontier_consolidation_fwcompact_medium_042027,40,28,40,28,1.0,1.0,True,True,0
compact,19,compact:frontier_consolidation_fwcompact_medium_049323,44,28,44,28,1.0,1.0,True,True,0
compact,19,compact:frontier_consolidation_fwcompact_medium_009081,32,23,32,23,1.0,1.0,True,True,0
compact,19,compact:frontier_consolidation_fwcompact_medium_033827,27,19,27,19,1.0,1.0,True,True,0
compact,19,compact:frontier_consolidation_fwcompact_medium_002000,31,22,31,22,1.0,1.0,True,True,0
compact,20,compact:frontier_consolidation_fwcompact_medium_043150,37,22,37,22,1.0,1.0,True,True,0
compact,20,compact:frontier_consolidation_fwcompact_medium_020508,23,19,23,19,1.0,1.0,True,True,0
compact,20,compact:frontier_consolidation_fwcompact_medium_011790,18,10,18,10,1.0,1.0,True,True,0
compact,20,compact:frontier_consolidation_fwcompact_medium_025601,17,15,17,15,1.0,1.0,True,True,0
compact,21,compact:frontier_consolidation_fwcompact_medium_001271,43,27,43,27,1.0,1.0,True,True,0
compact,21,compact:frontier_consolidation_fwcompact_medium_029072,19,14,19,14,1.0,1.0,True,True,0
compact,21,compact:frontier_consolidation_fwcompact_medium_052765,28,21,28,21,1.0,1.0,True,True,0
compact,21,compact:frontier_consolidation_fwcompact_medium_021584,34,28,34,28,1.0,1.0,True,True,0
compact,22,compact:frontier_consolidation_fwcompact_medium_034271,25,17,25,17,1.0,1.0,True,True,0
compact,22,compact:frontier_consolidation_fwcompact_medium_035656,23,18,23,18,1.0,1.0,True,True,0
compact,22,compact:frontier_consolidation_fwcompact_medium_045587,40,33,40,33,1.0,1.0,True,True,0
