uid,domain,idx,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,pattern,te430,te431,accuracy_interaction,margin_interaction,A_all_occ,B_all_occ,min_all_occ,A_changed_occ,B_changed_occ,min_changed_occ
agent-properties_1776,agent-properties,1776,make more effort,make less effort,indirect,variable swap,variable swap,0100,1,0,-1,-27.55335235595703,0,0,0,0,0,0
agent-properties_1711,agent-properties,1711,make more effort,make less effort,indirect,variable swap,variable swap,0100,1,0,-1,-27.304649353027344,0,0,0,0,0,0
agent-properties_1775,agent-properties,1775,make more effort,make less effort,indirect,variable swap,variable swap,0100,1,0,-1,-21.823162078857422,0,0,0,0,0,0
agent-properties_429,agent-properties,429,choose,-,indirect,variable swap,variable swap,0100,1,0,-1,-19.946746826171875,480,0,0,54,0,0
agent-properties_1712,agent-properties,1712,make more effort,make less effort,indirect,variable swap,variable swap,0100,1,0,-1,-19.42745590209961,0,0,0,0,0,0
agent-properties_1973,agent-properties,1973,prefer,-,indirect,variable swap,variable swap,0110,1,-1,-2,-18.107257843017578,210,0,0,11,0,0
agent-properties_1984,agent-properties,1984,prefer,-,indirect,variable swap,variable swap,1110,0,-1,-1,-17.520305633544922,210,0,0,11,0,0
agent-properties_1692,agent-properties,1692,make more effort,make less effort,indirect,variable swap,variable swap,1110,0,-1,-1,-17.258514404296875,0,0,0,0,0,0
agent-properties_1771,agent-properties,1771,make more effort,make less effort,indirect,variable swap,variable swap,1110,0,-1,-1,-15.971427917480469,0,0,0,0,0,0
agent-properties_341,agent-properties,341,choose,-,indirect,variable swap,variable swap,0110,1,-1,-2,-14.260946273803711,480,0,0,54,0,0
agent-properties_435,agent-properties,435,choose,-,indirect,variable swap,variable swap,0110,1,-1,-2,-12.796308517456055,480,0,0,54,0,0
agent-properties_1985,agent-properties,1985,prefer,-,indirect,variable swap,variable swap,1110,0,-1,-1,-12.62093734741211,210,0,0,11,0,0
agent-properties_1699,agent-properties,1699,make more effort,make less effort,indirect,variable swap,variable swap,1110,0,-1,-1,-12.231918334960938,0,0,0,0,0,0
physical-interactions_343,physical-interactions,343,push,-,direct,other,variable swap,0100,1,0,-1,-11.730142593383789,693,0,0,10,0,0
agent-properties_1756,agent-properties,1756,make more effort,make less effort,indirect,variable swap,variable swap,0110,1,-1,-2,-11.446226119995117,0,0,0,0,0,0
agent-properties_1965,agent-properties,1965,prefer,-,indirect,variable swap,variable swap,0110,1,-1,-2,-11.35830307006836,210,0,0,11,0,0
agent-properties_433,agent-properties,433,choose,-,indirect,variable swap,variable swap,0100,1,0,-1,-11.275955200195312,480,0,0,54,0,0
agent-properties_1959,agent-properties,1959,prefer,-,indirect,variable swap,variable swap,0110,1,-1,-2,-11.085088729858398,210,0,0,11,0,0
agent-properties_1764,agent-properties,1764,make more effort,make less effort,indirect,variable swap,variable swap,1110,0,-1,-1,-10.936637878417969,0,0,0,0,0,0
physical-interactions_122,physical-interactions,122,collide with,-,indirect,antonym,variable swap,1110,0,-1,-1,-10.634759902954102,4,0,0,0,0,0
agent-properties_1735,agent-properties,1735,make more effort,make less effort,indirect,variable swap,variable swap,0110,1,-1,-2,-10.440645217895508,0,0,0,0,0,0
agent-properties_1087,agent-properties,1087,make more effort,make less effort,indirect,antonym,variable swap,0110,1,-1,-2,-10.367626190185547,0,0,0,0,0,0
agent-properties_1616,agent-properties,1616,make more effort,make less effort,indirect,variable swap,variable swap,0100,1,0,-1,-10.139530181884766,0,0,0,0,0,0
agent-properties_1885,agent-properties,1885,prefer,-,indirect,antonym,variable swap,1110,0,-1,-1,-9.986316680908203,210,0,0,11,0,0
agent-properties_1607,agent-properties,1607,make more effort,make less effort,indirect,variable swap,variable swap,0100,1,0,-1,-9.975494384765625,0,0,0,0,0,0
agent-properties_1975,agent-properties,1975,prefer,-,indirect,variable swap,variable swap,0010,0,-1,-1,-9.34539794921875,210,0,0,11,0,0
agent-properties_1679,agent-properties,1679,make more effort,make less effort,indirect,variable swap,variable swap,0100,1,0,-1,-9.331745147705078,0,0,0,0,0,0
agent-properties_830,agent-properties,830,make more effort,make less effort,indirect,antonym,concept swap,1110,0,-1,-1,-9.298171997070312,0,0,0,0,0,0
agent-properties_982,agent-properties,982,make more effort,make less effort,indirect,antonym,variable swap,1110,0,-1,-1,-9.298171997070312,0,0,0,0,0,0
agent-properties_1615,agent-properties,1615,make more effort,make less effort,indirect,variable swap,variable swap,0100,1,0,-1,-9.265071868896484,0,0,0,0,0,0
agent-properties_340,agent-properties,340,choose,-,indirect,variable swap,variable swap,0100,1,0,-1,-9.019674301147461,480,0,0,54,0,0
agent-properties_1608,agent-properties,1608,make more effort,make less effort,indirect,variable swap,variable swap,0100,1,0,-1,-9.01638412475586,0,0,0,0,0,0
agent-properties_835,agent-properties,835,make more effort,make less effort,indirect,antonym,concept swap,0111,1,0,-1,-8.982551574707031,0,0,0,0,0,0
agent-properties_989,agent-properties,989,make more effort,make less effort,indirect,antonym,variable swap,0111,1,0,-1,-8.982551574707031,0,0,0,0,0,0
agent-properties_1877,agent-properties,1877,prefer,-,indirect,antonym,variable swap,0111,1,0,-1,-8.89775276184082,210,0,0,11,0,0
agent-properties_1024,agent-properties,1024,make more effort,make less effort,indirect,antonym,variable swap,1110,0,-1,-1,-8.651161193847656,0,0,0,0,0,0
agent-properties_1588,agent-properties,1588,make more effort,make less effort,indirect,variable swap,variable swap,0100,1,0,-1,-8.634647369384766,0,0,0,0,0,0
agent-properties_297,agent-properties,297,choose,-,indirect,variable swap,variable swap,0110,1,-1,-2,-8.483491897583008,480,0,0,54,0,0
agent-properties_398,agent-properties,398,choose,-,indirect,variable swap,variable swap,0111,1,0,-1,-8.437068939208984,480,0,0,54,0,0
physical-interactions_396,physical-interactions,396,revolve around,-,direct,variable swap,variable swap,0110,1,-1,-2,-8.178890228271484,6,0,0,1,0,0
agent-properties_1528,agent-properties,1528,make more effort,make less effort,indirect,variable swap,variable swap,0100,1,0,-1,-8.114295959472656,0,0,0,0,0,0
agent-properties_1179,agent-properties,1179,make more effort,make less effort,indirect,variable swap,concept swap,0100,1,0,-1,-7.937917709350586,0,0,0,0,0,0
agent-properties_1457,agent-properties,1457,make more effort,make less effort,indirect,variable swap,variable swap,0100,1,0,-1,-7.937917709350586,0,0,0,0,0,0
agent-properties_309,agent-properties,309,choose,-,indirect,variable swap,variable swap,0111,1,0,-1,-7.896903991699219,480,0,0,54,0,0
agent-properties_852,agent-properties,852,make more effort,make less effort,indirect,antonym,concept swap,0111,1,0,-1,-7.79644775390625,0,0,0,0,0,0
agent-properties_1026,agent-properties,1026,make more effort,make less effort,indirect,antonym,variable swap,0111,1,0,-1,-7.79644775390625,0,0,0,0,0,0
agent-properties_2047,agent-properties,2047,prefer,-,indirect,variable swap,variable swap,0010,0,-1,-1,-7.492074966430664,210,0,0,11,0,0
agent-properties_1116,agent-properties,1116,make more effort,make less effort,indirect,antonym,variable swap,0110,1,-1,-2,-7.450649261474609,0,0,0,0,0,0
agent-properties_1260,agent-properties,1260,make more effort,make less effort,indirect,variable swap,concept swap,0110,1,-1,-2,-7.345697402954102,0,0,0,0,0,0
agent-properties_1622,agent-properties,1622,make more effort,make less effort,indirect,variable swap,variable swap,0110,1,-1,-2,-7.345697402954102,0,0,0,0,0,0
