uid,domain,idx,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,pattern,te430,te431,accuracy_interaction,margin_interaction,A_all_occ,B_all_occ,min_all_occ,A_changed_occ,B_changed_occ,min_changed_occ
social-relations_1220,social-relations,1220,sibling,child,direct,other,concept swap,1110,0,-1,-1,-10.764354705810547,21,2274,21,1,227,1
social-relations_829,social-relations,829,landlord,tenant,indirect,variable swap,concept swap,0110,1,-1,-2,-10.748847961425781,44,22,22,1,1,1
social-relations_869,social-relations,869,landlord,tenant,indirect,variable swap,variable swap,0110,1,-1,-2,-10.748847961425781,44,22,22,1,1,1
agent-properties_2139,agent-properties,2139,see,taste,direct,other,concept swap,1110,0,-1,-1,-10.68545150756836,20338,511,511,223,10,10
social-interactions_66,social-interactions,66,evade,chase,direct,antonym,concept swap,1110,0,-1,-1,-10.449748992919922,15,323,15,0,2,0
social-relations_1163,social-relations,1163,parent,child,indirect,variable swap,variable swap,0010,0,-1,-1,-10.369455337524414,127,2274,127,22,227,22
social-relations_726,social-relations,726,landlord,tenant,direct,variable swap,variable swap,0111,1,0,-1,-10.186485290527344,44,22,22,1,1,1
social-interactions_64,social-interactions,64,evade,chase,direct,antonym,concept swap,1110,0,-1,-1,-10.033147811889648,15,323,15,0,2,0
spatial-relations_106,spatial-relations,106,above,below,indirect,variable swap,concept swap,0111,1,0,-1,-9.972082138061523,1322,692,692,119,100,100
spatial-relations_164,spatial-relations,164,above,below,indirect,variable swap,variable swap,0111,1,0,-1,-9.972082138061523,1322,692,692,119,100,100
social-relations_1087,social-relations,1087,parent,child,indirect,variable swap,concept swap,0110,1,-1,-2,-9.88088607788086,127,2274,127,22,227,22
social-relations_1165,social-relations,1165,parent,child,indirect,variable swap,variable swap,0110,1,-1,-2,-9.88088607788086,127,2274,127,22,227,22
physical-relations_323,physical-relations,323,contain,inside,indirect,variable swap,variable swap,0100,1,0,-1,-9.4759521484375,160,1910,160,56,84,56
social-relations_1064,social-relations,1064,parent,child,indirect,variable swap,concept swap,1110,0,-1,-1,-9.410961151123047,127,2274,127,22,227,22
social-relations_1118,social-relations,1118,parent,child,indirect,variable swap,variable swap,1110,0,-1,-1,-9.410961151123047,127,2274,127,22,227,22
social-interactions_13,social-interactions,13,cooperate,compete,direct,antonym,concept swap,0010,0,-1,-1,-9.384441375732422,46,133,46,1,11,1
social-relations_984,social-relations,984,parent,child,indirect,antonym,concept swap,1110,0,-1,-1,-9.337587356567383,127,2274,127,22,227,22
social-relations_1040,social-relations,1040,parent,child,indirect,antonym,variable swap,1110,0,-1,-1,-9.337587356567383,127,2274,127,22,227,22
social-relations_466,social-relations,466,friend,enemy,direct,antonym,concept swap,0110,1,-1,-2,-9.284439086914062,2391,645,645,16,23,16
quantitative-properties_301,quantitative-properties,301,the same,different,direct,number,concept swap,0110,1,-1,-2,-9.209789276123047,4160,3091,3091,253,281,253
social-relations_549,social-relations,549,friend,stranger,direct,negation,concept swap,0110,1,-1,-2,-9.11271858215332,2391,258,258,16,3,3
material-dynamics_410,material-dynamics,410,rip ,pour,indirect,material,concept swap,0100,1,0,-1,-9.107210159301758,88,319,88,0,1,0
material-dynamics_450,material-dynamics,450,rip ,stir,indirect,material,concept swap,0100,1,0,-1,-9.107210159301758,88,149,88,0,6,0
social-relations_700,social-relations,700,landlord,tenant,direct,variable swap,variable swap,0100,1,0,-1,-9.029521942138672,44,22,22,1,1,1
