lag_intervals,feature,score_delta,n,pearson_r,feature_mean,score_delta_mean
0,family_frac__compact_pair_block,cheap7,11,0.22637540330664263,0.05693691962389342,0.0633766233766234
0,family_frac__compact_pair_block,cheap6_no_GlobalPIQA,11,-0.06158226512162095,0.05693691962389342,0.07462121212121273
0,family_frac__compact_pair_block,cheap5_no_GP_Reading,11,-0.026880604889960583,0.05693691962389342,0.08436363636363611
0,family_frac__compact_pair_block,relation_state,11,-0.06751323234031087,0.05693691962389342,0.03954545454545475
0,family_frac__inherited_qwen_pair,cheap7,11,-0.20135779312299626,0.1632070603934366,0.0633766233766234
0,family_frac__inherited_qwen_pair,cheap6_no_GlobalPIQA,11,0.10087004122091517,0.1632070603934366,0.07462121212121273
0,family_frac__inherited_qwen_pair,cheap5_no_GP_Reading,11,0.07073826886441544,0.1632070603934366,0.08436363636363611
0,family_frac__inherited_qwen_pair,relation_state,11,0.05062369140041601,0.1632070603934366,0.03954545454545475
0,family_frac__official_base,cheap7,11,-0.23099774851301463,0.7798547790112353,0.0633766233766234
0,family_frac__official_base,cheap6_no_GlobalPIQA,11,0.053297565306202443,0.7798547790112353,0.07462121212121273
0,family_frac__official_base,cheap5_no_GP_Reading,11,0.01773544377256005,0.7798547790112353,0.08436363636363611
0,family_frac__official_base,relation_state,11,0.07084267161962055,0.7798547790112353,0.03954545454545475
1,family_frac__compact_pair_block,cheap7,10,0.59918763624816,0.04318422720083837,0.04285714285714306
1,family_frac__compact_pair_block,cheap6_no_GlobalPIQA,10,0.6718259838228974,0.04318422720083837,0.08333333333333356
1,family_frac__compact_pair_block,cheap5_no_GP_Reading,10,0.6761158092165749,0.04318422720083837,0.09420000000000002
1,family_frac__compact_pair_block,relation_state,10,0.4694399028076521,0.04318422720083837,0.06850000000000023
1,family_frac__inherited_qwen_pair,cheap7,10,-0.5705032547208776,0.16554643605411334,0.04285714285714306
1,family_frac__inherited_qwen_pair,cheap6_no_GlobalPIQA,10,-0.6424265614289684,0.16554643605411334,0.08333333333333356
1,family_frac__inherited_qwen_pair,cheap5_no_GP_Reading,10,-0.6555190834046309,0.16554643605411334,0.09420000000000002
1,family_frac__inherited_qwen_pair,relation_state,10,-0.4600482191478868,0.16554643605411334,0.06850000000000023
1,family_frac__official_base,cheap7,10,-0.6031638255234669,0.7912684268110712,0.04285714285714306
1,family_frac__official_base,cheap6_no_GlobalPIQA,10,-0.6757108308032411,0.7912684268110712,0.08333333333333356
1,family_frac__official_base,cheap5_no_GP_Reading,10,-0.6781581659191137,0.7912684268110712,0.09420000000000002
1,family_frac__official_base,relation_state,10,-0.46983843246576484,0.7912684268110712,0.06850000000000023
2,family_frac__compact_pair_block,cheap7,9,-0.23154291599537688,0.04583350415631955,-0.009206349206349293
2,family_frac__compact_pair_block,cheap6_no_GlobalPIQA,9,-0.13229669237428937,0.04583350415631955,0.025740740740741015
2,family_frac__compact_pair_block,cheap5_no_GP_Reading,9,-0.15300524970392754,0.04583350415631955,0.022444444444444243
2,family_frac__compact_pair_block,relation_state,9,-0.4795607906774945,0.04583350415631955,-0.040555555555554984
2,family_frac__inherited_qwen_pair,cheap7,9,0.16694442587682223,0.16519523712564607,-0.009206349206349293
2,family_frac__inherited_qwen_pair,cheap6_no_GlobalPIQA,9,0.05899961198817146,0.16519523712564607,0.025740740740741015
2,family_frac__inherited_qwen_pair,cheap5_no_GP_Reading,9,0.07202506760617564,0.16519523712564607,0.022444444444444243
2,family_frac__inherited_qwen_pair,relation_state,9,0.46109121559737476,0.16519523712564607,-0.040555555555554984
2,family_frac__official_base,cheap7,9,0.24423795221462305,0.7889702476802821,-0.009206349206349293
2,family_frac__official_base,cheap6_no_GlobalPIQA,9,0.14712775954300697,0.7889702476802821,0.025740740740741015
2,family_frac__official_base,cheap5_no_GP_Reading,9,0.1693684913140592,0.7889702476802821,0.022444444444444243
2,family_frac__official_base,relation_state,9,0.48183784159807563,0.7889702476802821,-0.040555555555554984
