family,arch,arm_a,arm_b,checkpoint,seed,group,contrast,n,delta_mean_margin_full_a_minus_b,delta_mean_effect_no_initial_qbox_a_minus_b,delta_mean_effect_no_last_relevant_update_a_minus_b,delta_mean_effect_no_all_relevant_updates_a_minus_b,mean_effect_no_all_relevant_updates_a,mean_effect_no_all_relevant_updates_b,mean_effect_no_initial_qbox_a,mean_effect_no_initial_qbox_b,mean_effect_no_last_relevant_update_a,mean_effect_no_last_relevant_update_b,mean_margin_full_a,mean_margin_full_b
entity_ablation,D,D_VS_43022,D_C_43022,chck_100M,43022,ALL,VminusC,1221,0.6106157291140545,-0.42696830265400937,-0.362540310054993,0.1800632343080617,-1.6381534242775233,-1.818216658585585,-0.24613216681669814,0.18083613583731123,-0.8942350099789227,-0.5316946999239297,1.052869173283952,0.4422534441698974
entity_ablation,D,D_VS_43022,D_C_43022,chck_100M,43022,rel_ge2,VminusC,1205,0.6038346104602103,-0.4292690411024569,-0.35529289381632667,0.19451534491171496,-1.6553201354359937,-1.8498354803477086,-0.2545889288434349,0.17468011225902194,-0.9015239662587395,-0.5462310724424129,1.0442338830826194,0.4403992726224092
entity_ablation,D,D_VS_43022,D_C_43022,chck_100M,43022,rel_ge3,VminusC,716,0.6537120833202115,-0.3477136253811128,-0.4001233863680722,0.31990534154042694,-1.9038366303784389,-2.223741971918866,-0.26598259698412274,0.08173102839699005,-0.9248906612063253,-0.5247672748382531,1.320349171757698,0.6666370884374866
entity_ablation,D,D_VS_43022,D_C_43022,chck_100M,43022,rel_updates_1,VminusC,16,1.1213187277317047,-0.25369393825531006,-0.9083613455295563,-0.9083613455295563,-0.34528549015522003,0.5630758553743362,0.3907677233219147,0.6444616615772247,-0.34528549015522003,0.5630758553743362,1.7032144665718079,0.5818957388401031
entity_ablation,D,D_VS_43022,D_C_43022,chck_100M,43022,rel_updates_2,VminusC,489,0.5308033823052798,-0.5486835148375946,-0.28965151821908774,0.010917722036136501,-1.291439132616381,-1.3023568546525175,-0.23790617549224377,0.31077733934535084,-0.8673101552516405,-0.5776586370325527,0.6399423765563282,0.1091389942510484
entity_ablation,D,D_VS_43022,D_C_43022,chck_100M,43022,rel_updates_3,VminusC,296,0.5144340418581221,-0.16398119873593786,-0.3806714530077737,0.34154663855411327,-1.8134034777664252,-2.1549501163205385,-0.23680594402390556,-0.0728247452879677,-0.9013000211200198,-0.5206285681122461,0.9544873906148447,0.44005334875672253
entity_ablation,D,D_VS_43022,D_C_43022,chck_100M,43022,rel_updates_4,VminusC,326,0.7265317579902754,-0.5462011745416679,-0.48720672792909325,0.3922683371036697,-1.861057590761799,-2.2533259278654687,-0.3161030570787886,0.2300981174628793,-1.0463348173656346,-0.5591280894365414,1.505328732582689,0.7787969745924136
entity_ablation,D,D_VS_43022,D_C_43022,chck_100M,43022,rel_updates_5,VminusC,94,0.8397449166216749,-0.23790359623888707,-0.1593638430250452,0.0007972514375729212,-2.336966205784615,-2.337763457222188,-0.18403599363692263,0.05386760260196442,-0.5779974118192145,-0.4186335687941693,1.8308997078144804,0.9911547911928055
entity_ablation,D,D_VS_43022,D_C_43022,chck_100M,43022,type_ambiref,VminusC,399,0.4188907576682872,-0.2972102954348825,-0.2584275434115776,0.10813440270441799,-1.1429745938843654,-1.2511089965887834,-0.1320472128110422,0.16516308262384027,-0.8028958202304697,-0.5444682768188921,1.275420668131128,0.8565299104628408
entity_ablation,D,D_VS_43022,D_C_43022,chck_100M,43022,type_move_contents,VminusC,381,0.8445469473447074,-0.4976752475881827,-0.3394211517974461,0.1455618331203936,-1.8411138280639499,-1.9866756611843435,-0.26028868266603766,0.23738656492214502,-0.8270367002236875,-0.4876155484262414,0.8472454206837131,0.002698473339005718
entity_ablation,D,D_VS_43022,D_C_43022,chck_100M,43022,type_regular,VminusC,441,0.5819773378691164,-0.4832814519975731,-0.47671126966235866,0.2749490339959426,-1.9108256226544882,-2.185774656650431,-0.33712142783633164,0.1461600241612415,-1.0349309118527945,-0.5582196421904358,1.029160790736713,0.4471834528675966
entity_ablation,D,D_VS_43022,D_C_43022,chck_80M,43022,ALL,VminusC,1221,0.5352586650218658,-0.36094395121914946,-0.2579111945887846,0.12509562106868666,-1.267415181156263,-1.3925108022249497,-0.13055858408984936,0.23038536712930008,-0.706382083219158,-0.4484708886303734,0.8108721576588355,0.2756134926369696
entity_ablation,D,D_VS_43022,D_C_43022,chck_80M,43022,rel_ge2,VminusC,1205,0.5263327112707359,-0.3604426225438652,-0.2502449294219868,0.13784745391226405,-1.2790770892038386,-1.4169245431161026,-0.13788948256939773,0.2225531399744675,-0.7105945891364481,-0.46034965971446135,0.8001702376421062,0.2738375263713702
entity_ablation,D,D_VS_43022,D_C_43022,chck_80M,43022,rel_ge3,VminusC,716,0.5865067025989958,-0.2834770898933018,-0.2981971952876898,0.22895503488457725,-1.470096844805186,-1.6990518796897633,-0.1396660999545838,0.143810989938718,-0.7334231671008318,-0.435225971813142,1.0321534503272125,0.4456467477282166
entity_ablation,D,D_VS_43022,D_C_43022,chck_80M,43022,rel_updates_1,VminusC,16,1.2074945569038391,-0.3987002670764923,-0.8352767899632454,-0.8352767899632454,-0.3891277313232422,0.4461490586400032,0.4215497076511383,0.8202499747276306,-0.3891277313232422,0.4461490586400032,1.6168605089187622,0.4093659520149231
entity_ablation,D,D_VS_43022,D_C_43022,chck_80M,43022,rel_updates_2,VminusC,489,0.4382251902256763,-0.47313653129192945,-0.18003261375768542,0.004446578705359583,-0.9993835411249739,-1.0038301198303334,-0.13528813686838911,0.33784839442354037,-0.6771686958389048,-0.4971360820812194,0.46049747632812627,0.022272286102449967
entity_ablation,D,D_VS_43022,D_C_43022,chck_80M,43022,rel_updates_3,VminusC,296,0.24377984780113443,-0.12118389543045212,-0.2867113538589832,0.2759425212956361,-1.3975547669405066,-1.6734972882361427,-0.11325362284441252,0.007930272586039594,-0.7449299262182133,-0.4582185723592301,0.6290540213923197,0.38527417359118526
entity_ablation,D,D_VS_43022,D_C_43022,chck_80M,43022,rel_updates_4,VminusC,326,0.7908284445436089,-0.4759475666275419,-0.36692917721768825,0.2855356477338111,-1.405089758290835,-1.6906254060246462,-0.18149484812847674,0.2944527184990652,-0.7976099241730625,-0.4306807469553743,1.224805987685736,0.4339775431421271
