family,arch,seed,group,contrast,n,n_checkpoints,late_mean_delta_mean_gain_a_minus_b
rewrite,D,43022,ALL,VminusC,5892,3,-0.3339366834383495
rewrite,D,43022,token_nonoverlap,VminusC,2732,3,0.029807842178306565
rewrite,D,43022,token_overlap,VminusC,3160,3,-0.6484145454588258
