ContextDiff,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
antonym,3374,0.49377593360995853,1089,0.3227622999407232,0.6375878220140515,1708,0.008668124675750732
variable swap,2564,0.5,1010,0.39391575663026523,0.7878315132605305,1282,-0.03400555736152455
material,840,0.5023809523809524,257,0.305952380952381,0.6148325358851675,418,-0.03702479600906372
other,490,0.47551020408163264,171,0.3489795918367347,0.6653696498054474,257,-0.17305386438965797
negation,190,0.5684210526315789,25,0.13157894736842105,0.3048780487804878,82,0.6217580214142799
number,80,0.5375,19,0.2375,0.5135135135135135,37,0.31581368483603
variable_swap,30,0.43333333333333335,16,0.5333333333333333,0.9411764705882353,17,-0.9339757226407528
active-passive,30,0.7,5,0.16666666666666666,0.5555555555555556,9,2.491041712462902
game,20,0.65,4,0.2,0.5714285714285714,7,0.3131754547357559
