group_field,group_value,n,true_nll_advantage_vs_decoy_mean,true_nll_advantage_vs_decoy_p05,true_nll_advantage_vs_decoy_p95,true_reduction_vs_base_mean,true_reduction_vs_base_p05,true_reduction_vs_base_p95
target_kind,content,11,-1.0049017511985519,-5.7358717918396,1.8934361934661865,-1.3570529520511627,-5.054223299026489,0.8275191783905029
overlap_bin,0p4_0p6,9,-0.682086255815294,-6.0055889129638675,3.1630444526672363,-1.2957065105438232,-5.186752414703369,1.3772149562835692
changed_frac_bin,0p2_0p4,6,-0.8069618456065655,-5.589629292488098,2.6359511613845825,-1.117880180478096,-4.581438302993774,1.1041370704770088
changed_frac_bin,0p4_0p6,5,-0.359967041015625,-3.652544689178467,2.4545633316040036,-1.0290444374084473,-3.8540317535400392,1.1120603561401365
