seed,role,token_class,n_min,T,U,N,U_minus_T,T_minus_N,U_minus_N
43022,C,nonoverlap,2732,7.0072837803692805,8.219192791840161,8.526468824675321,1.2119090114708804,-1.5191850443060426,-0.3072760328351624
43022,C,overlap,3160,1.8430455576679534,8.144512986142743,8.346593955225696,6.30146742847479,-6.5035483975577435,-0.20208096908295392
43022,R,nonoverlap,2732,7.455282021455264,7.915482463357968,8.291632665629285,0.4602004419027052,-0.8363506441740224,-0.3761502022713172
43022,R,overlap,3160,1.7510962774559442,7.7846800911551455,8.064166195770747,6.0335838136992015,-6.3130699183148025,-0.27948610461560147
43022,V,nonoverlap,2732,5.828527161992656,7.724125199662324,8.059235250828115,1.8955980376696682,-2.2307080888354593,-0.33511005116579123
43022,V,overlap,3160,0.9068321980556676,7.759528937121609,8.023559818585907,6.852696739065942,-7.116727620530239,-0.26403088146429665
43122,C,nonoverlap,2732,6.953423093540436,8.225382418865578,8.50769853440863,1.271959325325143,-1.5542754408681951,-0.2823161155430522
43122,C,overlap,3160,1.7908147287875673,8.168085345508578,8.388400369460639,6.3772706167210105,-6.5975856406730715,-0.2203150239520616
43122,R,nonoverlap,2732,7.646534536226473,7.875182820462054,8.191030339206414,0.22864828423558056,-0.5444958029799399,-0.3158475187443594
43122,R,overlap,3160,1.726993242225676,7.820916794982119,8.116465165035923,6.0939235527564435,-6.389471922810247,-0.295548370053804
43122,V,nonoverlap,2732,5.5990429155125385,7.7647909938755255,7.976960750135923,2.1657480783629874,-2.3779178346233856,-0.21216975626039827
43122,V,overlap,3160,0.8137163169340762,7.849221491134988,8.031854531894348,7.035505174200911,-7.218138214960271,-0.1826330407593598
43222,C,nonoverlap,2732,7.074444144886949,8.21573739323634,8.435888869154075,1.1412932483493925,-1.361444724267126,-0.2201514759177334
43222,C,overlap,3160,1.7487327134783648,8.225847810869624,8.391143558672944,6.477115097391259,-6.642410845194579,-0.1652957478033198
43222,R,nonoverlap,2732,7.490036715290867,7.781014639281987,8.102592626235293,0.2909779239911188,-0.6125559109444251,-0.3215779869533062
43222,R,overlap,3160,1.963861408369646,7.729032727542632,7.97076777961058,5.765171319172985,-6.006906371240934,-0.24173505206794754
43222,V,nonoverlap,2732,5.706436271032,7.686978337319051,7.923836748037654,1.9805420662870512,-2.217400477005654,-0.23685841071860306
43222,V,overlap,3160,0.8961034586327875,7.7772373300029765,7.932502374366488,6.881133871370189,-7.0363989157337,-0.15526504436351127
