arm,role,seed,checkpoint,n,elapsed_sec,device
D_C_43022,C,43022,chck_80M,5892,4.31,cuda:0
D_C_43022,C,43022,chck_90M,5892,2.68,cuda:0
D_C_43022,C,43022,chck_100M,5892,2.48,cuda:0
D_R_43022,R,43022,chck_80M,5892,2.37,cuda:0
D_R_43022,R,43022,chck_90M,5892,2.31,cuda:0
D_R_43022,R,43022,chck_100M,5892,2.29,cuda:0
D_V_43022,V,43022,chck_80M,5892,2.33,cuda:0
D_V_43022,V,43022,chck_90M,5892,2.31,cuda:0
D_V_43022,V,43022,chck_100M,5892,2.35,cuda:0
D_C_43122,C,43122,chck_80M,5892,2.31,cuda:0
D_C_43122,C,43122,chck_90M,5892,2.29,cuda:0
D_C_43122,C,43122,chck_100M,5892,2.3,cuda:0
D_R_43122,R,43122,chck_80M,5892,2.34,cuda:0
D_R_43122,R,43122,chck_90M,5892,2.28,cuda:0
D_R_43122,R,43122,chck_100M,5892,2.32,cuda:0
D_V_43122,V,43122,chck_80M,5892,2.32,cuda:0
D_V_43122,V,43122,chck_90M,5892,2.39,cuda:0
D_V_43122,V,43122,chck_100M,5892,2.24,cuda:0
D_C_43222,C,43222,chck_80M,5892,2.33,cuda:0
D_C_43222,C,43222,chck_90M,5892,2.31,cuda:0
D_C_43222,C,43222,chck_100M,5892,2.32,cuda:0
D_R_43222,R,43222,chck_80M,5892,2.34,cuda:0
D_R_43222,R,43222,chck_90M,5892,2.28,cuda:0
D_R_43222,R,43222,chck_100M,5892,2.27,cuda:0
D_V_43222,V,43222,chck_80M,5892,2.33,cuda:0
D_V_43222,V,43222,chck_90M,5892,2.32,cuda:0
D_V_43222,V,43222,chck_100M,5892,2.28,cuda:0
