seed,token_class,contrast,n_min,delta_T,delta_U,delta_N,delta_U_minus_T,delta_T_minus_N,delta_U_minus_N
43022,nonoverlap,RminusC,2732,0.4479982410859833,-0.30371032848219315,-0.23483615904603639,-0.7517085695681751,0.6828344001320202,-0.06887416943615476
43022,nonoverlap,VminusC,2732,-1.1787566183766245,-0.49506759217783713,-0.46723357384720643,0.6836890261987878,-0.7115230445294167,-0.027834018330628818
43022,nonoverlap,VminusR,2732,-1.6267548594626078,-0.191357263695644,-0.23239741480117004,1.435397595766963,-1.3943574446614369,0.041040151105525946
43022,overlap,RminusC,3160,-0.09194928021200921,-0.35983289498759774,-0.2824277594549489,-0.2678836147755881,0.19047847924294103,-0.07740513553264755
43022,overlap,VminusC,3160,-0.9362133596122858,-0.38498404902113403,-0.3230341366397891,0.5512293105911521,-0.6131792229724953,-0.06194991238134273
43022,overlap,VminusR,3160,-0.8442640794002766,-0.025151154033536294,-0.04060637718484017,0.8191129253667402,-0.8036577022154363,0.01545522315130482
43122,nonoverlap,RminusC,2732,0.6931114426860372,-0.350199598403524,-0.316668195202217,-1.0433110410895625,1.009779637888255,-0.03353140320130721
43122,nonoverlap,VminusC,2732,-1.3543801780278972,-0.4605914249900529,-0.5307377842727075,0.8937887530378443,-0.8236423937551904,0.07014635928265392
43122,nonoverlap,VminusR,2732,-2.0474916207139344,-0.11039182658652891,-0.21406958907049045,1.9370997941274068,-1.8334220316434457,0.10367776248396113
43122,overlap,RminusC,3160,-0.06382148656189135,-0.347168550526459,-0.2719352044247163,-0.283347063964567,0.2081137178628243,-0.07523334610174243
43122,overlap,VminusC,3160,-0.9770984118534911,-0.31886385437359,-0.35654583756629066,0.6582345574799007,-0.6205525742871991,0.0376819831927018
43122,overlap,VminusR,3160,-0.9132769252915998,0.028304696152869013,-0.08461063314157435,0.9415816214444677,-0.8286662921500234,0.11291532929444423
43222,nonoverlap,RminusC,2732,0.41559257040391806,-0.434722753954353,-0.3332962429187827,-0.8503153243582737,0.7488888133227009,-0.10142651103557279
43222,nonoverlap,VminusC,2732,-1.3680078738549497,-0.5287590559172894,-0.5120521211164215,0.8392488179376587,-0.8559557527385282,-0.016706934800869655
43222,nonoverlap,VminusR,2732,-1.7836004442588678,-0.09403630196293644,-0.17875587819763883,1.6895641422959324,-1.604844566061229,0.08471957623470314
43222,overlap,RminusC,3160,0.21512869489128117,-0.4968150833269922,-0.4203757790623639,-0.7119437782182736,0.6355044739536453,-0.07643930426462775
43222,overlap,VminusC,3160,-0.8526292548455773,-0.44861048086664734,-0.4586411843064555,0.4040187739789296,-0.39398807053912055,0.010030703439808525
43222,overlap,VminusR,3160,-1.0677579497368583,0.04820460246034486,-0.03826540524409161,1.1159625521972032,-1.0294925444927658,0.08647000770443627
