seed,arm,checkpoint,group,n,accuracy_pct,mean_relevant_updates,mean_total_ops,mean_prefix_words,stale_pick_pct_among_wrong_stale_available_not_gold
43022,C,chck_100M,ALL,6780,25.206489675516224,1.9960176991150442,7.359587020648967,120.59041297935103,40.50901378579003
43022,C,chck_100M,rel0_total_ops_0,304,39.14473684210526,0.0,0.0,61.473684210526315,nan
43022,C,chck_100M,rel0_total_ops_1,257,36.57587548638132,0.0,1.0,69.715953307393,nan
43022,C,chck_100M,rel0_total_ops_10,36,36.111111111111114,0.0,10.0,143.72222222222223,nan
43022,C,chck_100M,rel0_total_ops_11,32,34.375,0.0,11.0,148.96875,nan
43022,C,chck_100M,rel0_total_ops_12,30,33.333333333333336,0.0,12.0,157.36666666666667,nan
43022,C,chck_100M,rel0_total_ops_2,212,39.62264150943396,0.0,2.0,77.93867924528301,nan
43022,C,chck_100M,rel0_total_ops_3,172,40.116279069767444,0.0,3.0,85.88372093023256,nan
43022,C,chck_100M,rel0_total_ops_4,131,41.221374045801525,0.0,4.0,93.36641221374046,nan
43022,C,chck_100M,rel0_total_ops_5,104,43.26923076923077,0.0,5.0,100.5673076923077,nan
43022,C,chck_100M,rel0_total_ops_6,88,46.59090909090909,0.0,6.0,107.64772727272727,nan
43022,C,chck_100M,rel0_total_ops_7,66,34.84848484848485,0.0,7.0,117.81818181818181,nan
43022,C,chck_100M,rel0_total_ops_8,63,41.26984126984127,0.0,8.0,127.47619047619048,nan
43022,C,chck_100M,rel0_total_ops_9,46,45.65217391304348,0.0,9.0,134.91304347826087,nan
43022,C,chck_100M,rel_eq0,1541,39.584685269305645,0.0,3.388059701492537,88.73329007138221,nan
43022,C,chck_100M,rel_ge1,5239,20.977285741553732,2.5831265508684864,8.527772475663294,129.96087039511357,40.50901378579003
43022,C,chck_100M,rel_ge2,3916,22.854954034729314,3.1179775280898876,9.274770173646578,136.0349846782431,40.816326530612244
43022,C,chck_100M,rel_ge3,2650,24.566037735849058,3.6520754716981134,9.80188679245283,140.93735849056603,41.30019120458891
43022,C,chck_100M,rel_ge4,1420,25.140845070422536,4.216901408450704,10.112676056338028,143.64225352112675,41.666666666666664
43022,C,chck_100M,rel_updates_0,1541,39.584685269305645,0.0,3.388059701492537,88.73329007138221,nan
43022,C,chck_100M,rel_updates_1,1323,15.419501133786849,1.0,6.316704459561603,111.98185941043084,16.666666666666668
43022,C,chck_100M,rel_updates_2,1266,19.273301737756714,2.0,8.171406003159557,125.77330173775671,40.19607843137255
43022,C,chck_100M,rel_updates_3,1230,23.902439024390244,3.0,9.44308943089431,137.81463414634146,40.758293838862556
43022,C,chck_100M,rel_updates_4,1112,25.359712230215827,4.0,10.02158273381295,142.931654676259,42.857142857142854
43022,C,chck_100M,rel_updates_5,308,24.350649350649352,5.0,10.441558441558442,146.2077922077922,37.3134328358209
43022,C,chck_100M,total_ops_0,304,39.14473684210526,0.0,0.0,61.473684210526315,nan
43022,C,chck_100M,total_ops_1,331,32.93051359516616,0.22356495468277945,1.0,69.66465256797584,nan
43022,C,chck_100M,total_ops_10,733,21.964529331514324,2.8076398362892223,10.0,141.51841746248294,34.81481481481482
43022,C,chck_100M,total_ops_11,828,23.309178743961354,2.9504830917874396,11.0,149.18961352657004,41.84782608695652
43022,C,chck_100M,total_ops_12,919,23.93906420021763,3.115342763873776,12.0,158.37431991294886,37.125748502994014
43022,C,chck_100M,total_ops_2,339,29.793510324483776,0.4424778761061947,2.0,77.53687315634218,42.857142857142854
43022,C,chck_100M,total_ops_3,358,27.094972067039105,0.723463687150838,3.0,85.74022346368714,46.15384615384615
43022,C,chck_100M,total_ops_4,369,25.203252032520325,1.005420054200542,4.0,93.0,37.5
43022,C,chck_100M,total_ops_5,393,22.900763358778626,1.3231552162849873,5.0,101.42493638676845,43.24324324324324
43022,C,chck_100M,total_ops_6,446,24.887892376681613,1.6591928251121075,6.0,109.03363228699551,42.3728813559322
