uid,domain,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,old_instability_pattern,correct_43022,correct_43122,margin_43022,margin_43122,margin_seed_delta_430_minus_431,old_sent_len0,old_sent_len1,new_sent_len0,new_sent_len1,delta_sent_len0_new_minus_old,delta_sent_len1_new_minus_old,mean_sentence_len_delta_new_minus_old,delta_candidate_length_asymmetry_new_minus_old,old_target_len0,old_target_len1,new_target_len0,new_target_len1,target_len_delta_new_minus_old
material-dynamics_112,material-dynamics,break,wrinkle,direct,material,concept swap,0110,0,0,-1.2487316131591797,-0.09009933471679688,-1.1586322784423828,12,11,12,11,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_114,material-dynamics,break,wrinkle,direct,material,concept swap,0110,0,0,-0.713043212890625,-0.032833099365234375,-0.6802101135253906,11,10,12,11,1,1,1.0,0,3,3,3,3,0.0
material-dynamics_116,material-dynamics,break,wrinkle,direct,material,concept swap,0110,0,0,-0.37941741943359375,-0.9627914428710938,0.5833740234375,11,10,11,10,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_118,material-dynamics,break,wrinkle,direct,material,concept swap,0110,0,0,-0.3374176025390625,-0.7090568542480469,0.3716392517089844,11,10,11,10,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_130,material-dynamics,drape,pour,direct,material,concept swap,0110,0,1,-1.1292095184326172,2.7407684326171875,-3.8699779510498047,12,12,12,12,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_134,material-dynamics,drape,pour,direct,material,concept swap,0110,0,1,-2.0533523559570312,0.08176040649414062,-2.135112762451172,12,12,14,14,2,2,2.0,0,5,5,6,6,1.0
material-dynamics_136,material-dynamics,drape,pour,direct,material,concept swap,0110,0,1,-1.8700447082519531,0.6984977722167969,-2.56854248046875,12,12,12,12,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_138,material-dynamics,drape,pour,direct,material,concept swap,0110,0,1,-0.78448486328125,0.6992607116699219,-1.4837455749511719,12,12,12,12,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_152,material-dynamics,drape,stir,direct,material,concept swap,0110,0,1,-1.1292095184326172,2.7407684326171875,-3.8699779510498047,12,12,12,12,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_160,material-dynamics,drape,stir,direct,material,concept swap,0110,0,1,-2.0533523559570312,0.08176040649414062,-2.135112762451172,12,12,14,14,2,2,2.0,0,5,5,6,6,1.0
material-dynamics_164,material-dynamics,drape,stir,direct,material,concept swap,0110,0,1,-1.8700447082519531,0.6984977722167969,-2.56854248046875,12,12,12,12,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_168,material-dynamics,drape,stir,direct,material,concept swap,0110,0,1,-0.78448486328125,0.6992607116699219,-1.4837455749511719,12,12,12,12,0,0,0.0,0,5,5,5,5,0.0
