token_class,n_seed_rows,mean_effect,mean_corr_log1p_OFF_freq,mean_corr_delta_log1p_freq,mean_corr_ALN_log1p_freq
nonoverlap,2,-0.736986256875227,-0.12161880067246494,0.001733222782730688,-0.12219600725864424
overlap,2,3.8986491168893798,-0.007380258140568292,0.01164680345395375,-0.0066100543551401965
