pair_id,target_key,token_class,overlap_bin,target_token_id,target_word,n_checkpoints_ALN,T_ALN,U_ALN,N_ALN,gain_T_vs_N_ALN,gain_U_vs_N_ALN,gain_T_vs_U_ALN,n_checkpoints_OFF,T_OFF,U_OFF,N_OFF,gain_T_vs_N_OFF,gain_U_vs_N_OFF,gain_T_vs_U_OFF,seed,delta_T_ALNminusOFF,delta_U_ALNminusOFF,delta_N_ALNminusOFF,delta_gain_T_vs_N_ALNminusOFF,delta_gain_U_vs_N_ALNminusOFF,delta_gain_T_vs_U_ALNminusOFF,freq_OFF,freq_ALN,delta_freq_ALNminusOFF,log1p_OFF,log1p_ALN,delta_log1p_ALNminusOFF
wikilarge_00e870d0480c25e3f6c8,wikilarge_00e870d0480c25e3f6c8:0,overlap,high,2017,january,3,10.540375073750813,10.956772168477377,11.814422289530436,1.2740472157796223,0.8576501210530599,0.4163970947265625,3,11.241921742757162,11.204876899719238,11.967391967773438,0.725470225016276,0.7625150680541992,-0.03704484303792321,seed43022,-0.7015466690063494,-0.2481047312418614,-0.1529696782430019,0.5485769907633463,0.09513505299886071,0.4534419377644857,22.0,19.0,-3.0,3.1354942159291497,2.995732273553991,-0.13976194237515882
wikilarge_00e870d0480c25e3f6c8,wikilarge_00e870d0480c25e3f6c8:11,nonoverlap,high,2352,kept,3,14.548138618469238,15.355205853780111,15.33880615234375,0.7906675338745117,-0.016399701436360697,0.8070672353108724,3,13.466270446777344,12.82426675160726,12.475354194641113,-0.9909162521362305,-0.3489125569661458,-0.6420036951700846,seed43022,1.0818681716918945,2.5309391021728516,2.8634519577026367,1.7815837860107422,0.3325128555297851,1.449070930480957,1212.0,1230.0,18.0,7.10085190894405,7.115582126184454,0.014730217240403576
wikilarge_00e870d0480c25e3f6c8,wikilarge_00e870d0480c25e3f6c8:3,nonoverlap,high,457,said,3,8.978220621744791,8.687710444132486,8.333910942077637,-0.6443096796671549,-0.3537995020548503,-0.2905101776123047,3,8.6348663965861,8.75176207224528,8.980825424194336,0.34595902760823566,0.22906335194905594,0.11689567565917963,seed43022,0.3433542251586914,-0.06405162811279297,-0.6469144821166992,-0.9902687072753906,-0.5828628540039062,-0.4074058532714843,20992.0,20055.0,-937.0,9.951944327804322,9.90628363983813,-0.04566068796619227
wikilarge_00ed2371f449705b6f23,wikilarge_00ed2371f449705b6f23:3,nonoverlap,low,2020,important,3,19.321041107177734,14.238798459370932,14.511428515116373,-4.80961259206136,0.27263005574544263,-5.082242647806804,3,15.231060981750488,12.514311154683432,11.36621379852295,-3.864847183227539,-1.1480973561604817,-2.716749827067057,seed43022,4.089980125427246,1.7244873046875,3.145214716593424,-0.9447654088338213,1.4207274119059243,-2.3654928207397465,313.0,321.0,8.0,5.749392985908253,5.7745515455444085,0.02515855963615543
wikilarge_00ed2371f449705b6f23,wikilarge_00ed2371f449705b6f23:4,nonoverlap,low,638,part,3,12.627982139587402,16.200938542683918,13.082985877990723,0.4550037384033203,-3.1179526646931968,3.572956403096517,3,15.402989069620768,13.12376340230306,14.07429281870524,-1.3286962509155273,0.950529416402181,-2.2792256673177085,seed43022,-2.7750069300333653,3.0771751403808576,-0.9913069407145176,1.7836999893188477,-4.068482081095378,5.852182070414226,11143.0,10508.0,-635.0,9.318656515459642,9.259987311865597,-0.058669203594044816
wikilarge_00ed2371f449705b6f23,wikilarge_00ed2371f449705b6f23:5,overlap,low,5497,medicine,3,12.954617182413736,13.725127855936686,13.480943044026693,0.5263258616129557,-0.2441848119099935,0.7705106735229492,3,12.68912410736084,12.011726379394531,11.451939900716146,-1.237184206644694,-0.5597864786783854,-0.6773977279663086,seed43022,0.26549307505289654,1.7134014765421544,2.029003143310547,1.7635100682576499,0.31560166676839185,1.4479084014892578,188.0,246.0,58.0,5.241747015059643,5.5093883366279774,0.26764132156833487
wikilarge_00fb0e77f0f8f7a6a420,wikilarge_00fb0e77f0f8f7a6a420:1,nonoverlap,low,1713,idea,3,15.791776021321615,12.388124148050943,12.672650019327799,-3.119126001993815,0.28452587127685547,-3.4036518732706704,3,14.337773640950521,11.853854179382324,11.479247093200684,-2.8585265477498374,-0.3746070861816406,-2.4839194615681968,seed43022,1.4540023803710938,0.5342699686686192,1.1934029261271153,-0.26059945424397757,0.6591329574584961,-0.9197324117024737,353.0,359.0,6.0,5.869296913133774,5.886104031450156,0.016807118316381597
wikilarge_00fb0e77f0f8f7a6a420,wikilarge_00fb0e77f0f8f7a6a420:10,overlap,low,3460,market,3,17.941409428914387,14.9271608988444,14.00080140431722,-3.940608024597168,-0.926359494527181,-3.014248530069987,3,14.925849914550781,14.5097869237264,14.904447873433432,-0.021402041117350234,0.39466094970703125,-0.41606299082438153,seed43022,3.0155595143636056,0.4173739751180001,-0.9036464691162109,-3.919205983479818,-1.3210204442342124,-2.5981855392456055,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.0
wikilarge_00fb0e77f0f8f7a6a420,wikilarge_00fb0e77f0f8f7a6a420:5,nonoverlap,low,457,said,3,15.269254684448242,9.938426971435547,9.52410634358724,-5.745148340861003,-0.4143206278483073,-5.330827713012695,3,9.5104611714681,10.043710390726725,10.099761009216307,0.5892998377482096,0.05605061848958336,0.5332492192586263,seed43022,5.758793512980143,-0.1052834192911778,-0.5756546656290666,-6.334448178609213,-0.4703712463378907,-5.864076932271321,20992.0,20055.0,-937.0,9.951944327804322,9.90628363983813,-0.04566068796619227
wikilarge_010317a91bf8561d95c3,wikilarge_010317a91bf8561d95c3:0,nonoverlap,low,1584,fight,3,11.592968622843424,13.154720624287924,11.124672253926596,-0.4682963689168294,-2.030048370361328,1.5617520014444988,3,10.789016405741373,11.143128077189127,10.64069366455078,-0.14832274119059244,-0.5024344126383463,0.3541116714477539,seed43022,0.8039522171020508,2.0115925470987968,0.48397858937581617,-0.31997362772623694,-1.527613957722982,1.2076403299967449,662.0,630.0,-32.0,6.4967749901858625,6.447305862541213,-0.049469127644649724
wikilarge_010317a91bf8561d95c3,wikilarge_010317a91bf8561d95c3:1,nonoverlap,low,1843,soft,3,14.158649444580078,11.538211822509766,11.956822713216146,-2.201826731363932,0.4186108907063802,-2.6204376220703125,3,9.137097040812174,9.006468454996744,9.649650891621908,0.512553850809733,0.6431824366251627,-0.13062858581542963,seed43022,5.021552403767904,2.5317433675130214,2.3071718215942383,-2.714380582173665,-0.22457154591878253,-2.489809036254883,930.0,957.0,27.0,6.836259277277067,6.86484777797086,0.02858850069379315
wikilarge_010317a91bf8561d95c3,wikilarge_010317a91bf8561d95c3:6,overlap,low,6766,rubber,3,9.454941431681315,9.48140557607015,9.409930864969889,-0.045010566711425774,-0.0714747111002604,0.026464144388834637,3,11.864670435587565,11.923935890197754,12.149665832519531,0.2849953969319661,0.22572994232177732,0.059265454610188804,seed43022,-2.40972900390625,-2.4425303141276036,-2.7397349675496425,-0.3300059636433919,-0.2972046534220377,-0.03280131022135417,195.0,215.0,20.0,5.278114659230517,5.375278407684165,0.0971637484536485
wikilarge_01041aaee4684cb5061c,wikilarge_01041aaee4684cb5061c:1,nonoverlap,low,897,found,3,15.170750935872396,9.543202718098959,12.152376810709635,-3.0183741251627603,2.6091740926106772,-5.6275482177734375,3,12.26058292388916,10.864012082417807,13.925727208455404,1.6651442845662434,3.0617151260375977,-1.3965708414713542,seed43022,2.9101680119832363,-1.3208093643188477,-1.7733503977457694,-4.683518409729004,-0.4525410334269204,-4.230977376302083,4490.0,4393.0,-97.0,8.409830673087738,8.387995252944556,-0.02183542014318185
wikilarge_01041aaee4684cb5061c,wikilarge_01041aaee4684cb5061c:4,overlap,low,1742,green,3,1.714004119237264,10.079918225606283,11.533193270365397,9.819189151128134,1.4532750447591145,8.365914106369019,3,9.666300773620605,12.139077186584473,12.33901309967041,2.6727123260498047,0.19993591308593747,2.472776412963867,seed43022,-7.952296654383342,-2.0591589609781895,-0.8058198293050136,7.146476825078329,1.253339131673177,5.893137693405151,87.0,100.0,13.0,4.477336814478207,4.61512051684126,0.13778370236305282
wikilarge_01041aaee4684cb5061c,wikilarge_01041aaee4684cb5061c:5,nonoverlap,low,2101,line,3,12.525875727335611,17.379173914591473,12.225029627482096,-0.3008460998535156,-5.154144287109375,4.853298187255859,3,12.411355336507162,12.145975748697916,13.535056114196777,1.123700777689616,1.3890803654988606,-0.26537958780924475,seed43022,0.11452039082844934,5.2331981658935565,-1.3100264867146816,-1.4245468775431316,-6.543224652608235,5.1186777750651045,2118.0,2104.0,-14.0,7.6586995582682995,7.652070746116482,-0.0066288121518178755
wikilarge_013b198c2bf6ca68542a,wikilarge_013b198c2bf6ca68542a:13,overlap,high,1935,road,3,0.01962940891583757,11.009648958841959,10.510187149047852,10.490557740132013,-0.4994618097941081,10.990019549926123,3,0.24636219938596085,9.414389928181967,10.426475207010904,10.180113007624945,1.0120852788289387,9.168027728796007,seed43022,-0.2267327904701233,1.5952590306599923,0.0837119420369472,0.3104447325070687,-1.5115470886230469,1.8219918211301156,370.0,371.0,1.0,5.916202062607435,5.918893854273146,0.0026917916657112073
