column,subtask,coherent86_n,coherent86_acc,dense_seed62064_n,dense_seed62064_acc,dense_seed62065_n,dense_seed62065_acc,clean_seed62064_n,clean_seed62064_acc,clean_seed62065_n,clean_seed62065_acc,dense_seed62064_delta_vs_coherent86,dense_seed62065_delta_vs_coherent86,clean_seed62064_delta_vs_coherent86,clean_seed62065_delta_vs_coherent86,clean_seed65_minus_seed64
BLiMP,adjunct_island,928,76.1853448275862,928,75.86206896551724,928,75.75431034482759,928,76.07758620689656,928,76.07758620689656,-0.32327586206896797,-0.4310344827586192,-0.10775862068965125,-0.10775862068965125,0.0
BLiMP,anaphor_gender_agreement,971,82.80123583934089,971,82.49227600411946,971,82.49227600411946,971,82.49227600411946,971,82.28630278063852,-0.30895983522142956,-0.30895983522142956,-0.30895983522142956,-0.5149330587023684,-0.20597322348093883
BLiMP,anaphor_number_agreement,931,85.71428571428571,931,86.78839957035446,931,86.89581095596134,931,86.35875402792696,931,86.25134264232008,1.0741138560687489,1.1815252416756294,0.644468313641255,0.5370569280343744,-0.10741138560688057
BLiMP,animate_subject_passive,895,62.12290502793296,895,61.675977653631286,895,61.787709497206706,895,61.675977653631286,895,61.675977653631286,-0.44692737430167284,-0.33519553072625285,-0.44692737430167284,-0.44692737430167284,0.0
BLiMP,animate_subject_trans,923,67.6056338028169,923,66.08884073672806,923,66.08884073672806,923,66.95557963163597,923,66.52221018418201,-1.5167930660888373,-1.5167930660888373,-0.6500541711809262,-1.0834236186348818,-0.43336944745395556
BLiMP,causative,818,56.23471882640587,818,55.99022004889976,818,55.867970660146696,818,55.74572127139364,818,55.74572127139364,-0.24449877750610938,-0.36674816625917117,-0.48899755501222586,-0.48899755501222586,0.0
BLiMP,complex_NP_island,846,39.2434988179669,846,39.361702127659576,846,39.59810874704492,846,39.479905437352244,846,39.2434988179669,0.11820330969267445,0.35460992907801625,0.2364066193853418,0.0,-0.2364066193853418
BLiMP,coordinate_structure_constraint_complex_left_branch,906,32.33995584988963,906,31.677704194260485,906,31.788079470198674,906,32.450331125827816,906,32.22958057395144,-0.6622516556291416,-0.5518763796909525,0.11037527593818908,-0.11037527593818908,-0.22075055187637815
BLiMP,coordinate_structure_constraint_object_extraction,949,78.71443624868283,949,77.13382507903056,949,76.92307692307692,949,77.3445732349842,949,77.44994731296102,-1.580611169652272,-1.7913593256059102,-1.3698630136986338,-1.2644889357218148,0.10537407797681908
BLiMP,determiner_noun_agreement_1,929,88.91280947255113,929,86.65231431646932,929,86.54467168998923,929,87.51345532831002,929,87.40581270182993,-2.2604951560818165,-2.3681377825619023,-1.3993541442411157,-1.5069967707212015,-0.10764262648008582
BLiMP,determiner_noun_agreement_2,931,97.85177228786252,931,97.20730397422126,931,97.20730397422126,931,97.42212674543502,931,97.42212674543502,-0.644468313641255,-0.644468313641255,-0.42964554242749387,-0.42964554242749387,0.0
BLiMP,determiner_noun_agreement_irregular_1,681,75.77092511013215,681,75.18355359765052,681,75.18355359765052,681,75.33039647577093,681,75.33039647577093,-0.5873715124816385,-0.5873715124816385,-0.4405286343612289,-0.4405286343612289,0.0
BLiMP,determiner_noun_agreement_irregular_2,820,88.17073170731707,820,87.5609756097561,820,87.5609756097561,820,87.92682926829268,820,87.92682926829268,-0.6097560975609753,-0.6097560975609753,-0.2439024390243958,-0.2439024390243958,0.0
BLiMP,determiner_noun_agreement_with_adj_2,941,94.6865037194474,941,94.4739638682253,941,94.4739638682253,941,94.4739638682253,941,94.58023379383634,-0.21253985122210395,-0.21253985122210395,-0.21253985122210395,-0.10626992561105908,0.10626992561104487
BLiMP,determiner_noun_agreement_with_adj_irregular_1,718,87.60445682451254,718,88.16155988857939,718,88.16155988857939,718,87.74373259052925,718,87.88300835654596,0.5571030640668511,0.5571030640668511,0.1392757660167092,0.2785515320334184,0.1392757660167092
BLiMP,determiner_noun_agreement_with_adj_irregular_2,840,88.21428571428571,840,86.9047619047619,840,86.78571428571429,840,86.9047619047619,840,86.9047619047619,-1.3095238095238102,-1.4285714285714164,-1.3095238095238102,-1.3095238095238102,0.0
BLiMP,determiner_noun_agreement_with_adjective_1,933,87.56698821007502,933,86.81672025723472,933,86.70953912111469,933,87.03108252947482,933,86.92390139335477,-0.7502679528403036,-0.8574490889603368,-0.5359056806002087,-0.6430868167202561,-0.10718113612004743
BLiMP,distractor_agreement_relational_noun,788,49.87309644670051,788,46.82741116751269,788,46.7005076142132,788,47.84263959390863,788,47.96954314720812,-3.045685279187815,-3.172588832487307,-2.030456852791879,-1.903553299492387,0.126903553299492
BLiMP,distractor_agreement_relative_clause,871,28.587830080367393,871,29.39150401836969,871,29.506314580941446,871,29.276693455797933,871,29.04707233065442,0.8036739380022979,0.9184845005740527,0.6888633754305395,0.45924225028702637,-0.22962112514351318
BLiMP,drop_argument,920,64.8913043478261,920,63.47826086956522,920,63.369565217391305,920,64.1304347826087,920,64.02173913043478,-1.4130434782608745,-1.5217391304347885,-0.7608695652173907,-0.8695652173913118,-0.10869565217392108
BLiMP,ellipsis_n_bar_1,802,73.31670822942644,802,72.9426433915212,802,72.9426433915212,802,72.56857855361596,802,73.06733167082294,-0.37406483790523737,-0.37406483790523737,-0.7481296758104747,-0.24937655860350105,0.4987531172069737
BLiMP,ellipsis_n_bar_2,828,96.3768115942029,828,97.94685990338164,828,97.94685990338164,828,97.34299516908213,828,97.34299516908213,1.5700483091787305,1.5700483091787305,0.9661835748792242,0.9661835748792242,0.0
BLiMP,existential_there_object_raising,812,73.64532019704434,812,72.9064039408867,812,72.9064039408867,812,73.15270935960591,812,73.39901477832512,-0.738916256157637,-0.738916256157637,-0.49261083743843415,-0.24630541871921707,0.24630541871921707
BLiMP,existential_there_quantifiers_1,930,98.9247311827957,930,98.49462365591398,930,98.49462365591398,930,98.81720430107526,930,98.70967741935483,-0.43010752688171294,-0.43010752688171294,-0.10752688172043179,-0.21505376344086358,-0.10752688172043179
BLiMP,existential_there_quantifiers_2,911,40.944017563117455,911,44.01756311745335,911,43.688254665203075,911,43.3589462129528,911,43.24917672886937,3.073545554335894,2.74423710208562,2.414928649835346,2.305159165751917,-0.10976948408342935
BLiMP,existential_there_subject_raising,924,78.8961038961039,924,77.92207792207792,924,77.81385281385282,924,77.92207792207792,924,78.03030303030303,-0.9740259740259773,-1.0822510822510765,-0.9740259740259773,-0.865800865800864,0.10822510822511333
BLiMP,expletive_it_object_raising,759,67.72068511198945,759,67.45718050065877,759,67.45718050065877,759,67.06192358366272,759,67.19367588932806,-0.2635046113306885,-0.2635046113306885,-0.6587615283267354,-0.5270092226613912,0.13175230566534424
BLiMP,inchoative,855,45.02923976608187,855,44.7953216374269,855,44.67836257309941,855,44.91228070175438,855,44.67836257309941,-0.2339181286549703,-0.350877192982459,-0.1169590643274887,-0.350877192982459,-0.2339181286549703
BLiMP,intransitive,868,57.25806451612903,868,57.37327188940092,868,57.142857142857146,868,57.71889400921659,868,57.6036866359447,0.11520737327188613,-0.11520737327188613,0.4608294930875587,0.3456221198156655,-0.11520737327189323
BLiMP,irregular_past_participle_adjectives,961,91.57127991675338,961,91.67533818938605,961,91.67533818938605,961,91.57127991675338,961,91.67533818938605,0.10405827263267042,0.10405827263267042,0.0,0.10405827263267042,0.10405827263267042
BLiMP,irregular_past_participle_verbs,942,79.83014861995754,942,78.98089171974522,942,78.98089171974522,942,79.51167728237792,942,79.40552016985139,-0.8492569002123247,-0.8492569002123247,-0.31847133757962354,-0.42462845010615524,-0.1061571125265317
BLiMP,irregular_plural_subject_verb_agreement_1,804,72.2636815920398,804,72.51243781094527,804,72.51243781094527,804,72.51243781094527,804,72.51243781094527,0.24875621890546995,0.24875621890546995,0.24875621890546995,0.24875621890546995,0.0
BLiMP,irregular_plural_subject_verb_agreement_2,892,80.71748878923766,892,80.04484304932735,892,79.93273542600897,892,80.4932735426009,892,80.26905829596413,-0.6726457399103083,-0.7847533632286883,-0.22421524663675996,-0.4484304932735341,-0.22421524663677417
BLiMP,left_branch_island_echo_question,947,38.54276663146779,947,36.642027455121436,947,36.536430834213306,947,37.48680042238648,947,37.38120380147835,-1.900739176346356,-2.0063357972544864,-1.055966209081312,-1.1615628299894425,-0.10559662090813049
BLiMP,left_branch_island_simple_question,951,51.20925341745531,951,49.316508937960045,951,49.1062039957939,951,50.36803364879075,951,50.36803364879075,-1.8927444794952635,-2.10304942166141,-0.8412197686645584,-0.8412197686645584,0.0
BLiMP,matrix_question_npi_licensor_present,929,41.65769644779333,929,45.532831001076424,929,45.64047362755651,929,44.56404736275565,929,44.34876210979548,3.8751345532830967,3.9827771797631826,2.9063509149623243,2.6910656620021527,-0.21528525296017165
BLiMP,npi_present_1,909,31.463146314631462,909,29.812981298129813,909,30.033003300330034,909,30.47304730473047,909,30.033003300330034,-1.6501650165016493,-1.4301430143014287,-0.990099009900991,-1.4301430143014287,-0.44004400440043767
BLiMP,npi_present_2,914,34.901531728665205,914,35.55798687089715,914,35.44857768052516,914,34.901531728665205,914,35.12035010940919,0.6564551422319482,0.5470459518599569,0.0,0.21881838074398274,0.21881838074398274
BLiMP,only_npi_licensor_present,882,80.38548752834467,882,77.55102040816327,882,77.43764172335601,882,78.00453514739229,882,78.11791383219955,-2.834467120181401,-2.94784580498866,-2.3809523809523796,-2.2675736961451207,0.11337868480725888
BLiMP,only_npi_scope,837,75.02986857825567,837,75.98566308243727,837,76.10513739545998,837,75.62724014336918,837,75.50776583034647,0.955794504181597,1.0752688172043037,0.5973715651135052,0.4778972520907985,-0.11947431302270672
BLiMP,passive_1,840,77.26190476190476,840,75.95238095238095,840,76.07142857142857,840,76.42857142857143,840,76.30952380952381,-1.3095238095238102,-1.1904761904761898,-0.8333333333333286,-0.952380952380949,-0.1190476190476204
BLiMP,passive_2,903,73.75415282392026,903,73.5326688815061,903,73.20044296788483,903,73.75415282392026,903,73.86489479512736,-0.22148394241416725,-0.5537098560354394,0.0,0.11074197120709073,0.11074197120709073
BLiMP,principle_A_c_command,946,50.7399577167019,946,50.0,946,49.68287526427061,946,50.31712473572939,946,50.10570824524313,-0.7399577167019018,-1.0570824524312883,-0.4228329809725153,-0.634249471458773,-0.21141649048625766
BLiMP,principle_A_case_1,912,99.89035087719299,912,99.89035087719299,912,99.89035087719299,912,99.89035087719299,912,99.89035087719299,0.0,0.0,0.0,0.0,0.0
BLiMP,principle_A_case_2,915,83.82513661202186,915,84.48087431693989,915,84.48087431693989,915,84.15300546448087,915,84.04371584699453,0.6557377049180246,0.6557377049180246,0.3278688524590052,0.2185792349726654,-0.10928961748633981
BLiMP,principle_A_domain_1,914,77.02407002188184,914,73.52297592997812,914,73.7417943107221,914,75.60175054704595,914,75.71115973741794,-3.501094091903724,-3.282275711159741,-1.4223194748358878,-1.3129102844638965,0.10940919037199137
BLiMP,principle_A_domain_2,915,53.442622950819676,915,52.240437158469945,915,52.349726775956285,915,52.89617486338798,915,52.568306010928964,-1.2021857923497308,-1.092896174863391,-0.546448087431699,-0.8743169398907114,-0.3278688524590123
BLiMP,principle_A_domain_3,941,56.748140276301804,941,57.17321997874601,941,57.17321997874601,941,57.385759829968116,941,57.385759829968116,0.4250797024442079,0.4250797024442079,0.6376195536663118,0.6376195536663118,0.0
BLiMP,principle_A_reconstruction,967,41.88210961737332,967,40.847983453981385,967,40.74457083764219,967,41.15822130299897,967,40.641158221303,-1.0341261633919316,-1.1375387797311234,-0.7238883143743493,-1.2409513960703151,-0.5170630816959658
BLiMP,regular_plural_subject_verb_agreement_1,890,75.28089887640449,890,74.49438202247191,890,74.49438202247191,890,75.0561797752809,890,75.0561797752809,-0.7865168539325822,-0.7865168539325822,-0.22471910112359694,-0.22471910112359694,0.0
BLiMP,regular_plural_subject_verb_agreement_2,945,72.80423280423281,945,71.95767195767196,945,71.95767195767196,945,72.5925925925926,945,72.38095238095238,-0.8465608465608483,-0.8465608465608483,-0.21164021164021563,-0.42328042328043125,-0.21164021164021563
BLiMP,sentential_negation_npi_licensor_present,919,99.45593035908597,919,97.60609357997824,919,97.60609357997824,919,98.69423286180631,919,98.4766050054407,-1.8498367791077328,-1.8498367791077328,-0.7616974972796555,-0.9793253536452653,-0.21762785636560977
BLiMP,sentential_negation_npi_scope,871,69.5752009184845,871,69.46039035591275,871,69.46039035591275,871,69.23076923076923,871,69.23076923076923,-0.11481056257174771,-0.11481056257174771,-0.34443168771527155,-0.34443168771527155,0.0
BLiMP,sentential_subject_island,961,32.778355879292405,961,34.33922996878252,961,34.54734651404787,961,33.6108220603538,961,33.50676378772113,1.5608740894901132,1.7689906347554611,0.8324661810613918,0.7284079084287214,-0.10405827263267042
BLiMP,superlative_quantifiers_1,979,96.73135852911133,979,96.62921348314607,979,96.73135852911133,979,96.5270684371808,979,96.62921348314607,-0.10214504596525842,0.0,-0.20429009193053105,-0.10214504596525842,0.10214504596527263
BLiMP,superlative_quantifiers_2,986,82.25152129817444,986,79.41176470588235,986,79.3103448275862,986,80.32454361054766,986,80.73022312373224,-2.8397565922920904,-2.941176470588232,-1.9269776876267741,-1.5212981744421938,0.4056795131845803
BLiMP,tough_vs_raising_1,948,36.60337552742616,948,35.75949367088607,948,35.75949367088607,948,36.28691983122363,948,36.28691983122363,-0.8438818565400865,-0.8438818565400865,-0.31645569620253156,-0.31645569620253156,0.0
BLiMP,tough_vs_raising_2,920,73.3695652173913,920,72.71739130434783,920,72.6086956521739,920,72.93478260869566,920,73.04347826086956,-0.6521739130434696,-0.7608695652173907,-0.43478260869564167,-0.3260869565217348,0.10869565217390686
BLiMP,transitive,868,70.73732718894009,868,69.70046082949308,868,69.70046082949308,868,70.39170506912443,868,70.39170506912443,-1.0368663594470036,-1.0368663594470036,-0.3456221198156584,-0.3456221198156584,0.0
BLiMP,wh_island,960,57.604166666666664,960,58.4375,960,58.020833333333336,960,57.8125,960,57.604166666666664,0.8333333333333357,0.4166666666666714,0.2083333333333357,0.0,-0.2083333333333357
BLiMP,wh_questions_object_gap,859,54.59837019790454,859,56.344586728754365,859,55.9953434225844,859,56.69383003492433,859,56.69383003492433,1.7462165308498214,1.3969732246798543,2.0954598370197886,2.0954598370197886,0.0
BLiMP,wh_questions_subject_gap,898,77.95100222717149,898,76.61469933184856,898,76.94877505567929,898,77.06013363028953,898,77.28285077951003,-1.3363028953229303,-1.0022271714921942,-0.8908685968819583,-0.6681514476614581,0.22271714922050023
BLiMP,wh_questions_subject_gap_long_distance,857,92.18203033838974,857,91.83197199533255,857,91.94865810968494,857,92.29871645274213,857,92.29871645274213,-0.3500583430571851,-0.2333722287047948,0.11668611435239029,0.11668611435239029,0.0
BLiMP,wh_vs_that_no_gap,861,88.73403019744484,861,86.64343786295005,861,86.64343786295005,861,86.7595818815331,861,86.87572590011614,-2.0905923344947865,-2.0905923344947865,-1.9744483159117436,-1.8583042973287007,0.11614401858304291
BLiMP,wh_vs_that_no_gap_long_distance,875,95.2,875,93.82857142857142,875,93.82857142857142,875,94.85714285714286,875,94.85714285714286,-1.3714285714285808,-1.3714285714285808,-0.34285714285714164,-0.34285714285714164,0.0
BLiMP,wh_vs_that_with_gap,919,43.96082698585419,919,45.04896626768226,919,44.613710554951034,919,44.613710554951034,919,44.613710554951034,1.0881392818280702,0.6528835690968435,0.6528835690968435,0.6528835690968435,0.0
BLiMP,wh_vs_that_with_gap_long_distance,910,13.406593406593407,910,14.725274725274724,910,14.505494505494505,910,13.956043956043956,910,13.846153846153847,1.3186813186813175,1.0989010989010985,0.5494505494505493,0.4395604395604398,-0.1098901098901095
Supplement,hypernym,842,49.8812351543943,842,48.93111638954869,842,48.93111638954869,842,49.524940617577194,842,49.6437054631829,-0.9501187648456053,-0.9501187648456053,-0.3562945368171029,-0.23752969121139955,0.11876484560570333
Supplement,qa_congruence_easy,64,70.3125,64,68.75,64,68.75,64,68.75,64,68.75,-1.5625,-1.5625,-1.5625,-1.5625,0.0
Supplement,qa_congruence_tricky,165,49.696969696969695,165,49.09090909090909,165,49.09090909090909,165,49.696969696969695,165,49.696969696969695,-0.606060606060602,-0.606060606060602,0.0,0.0,0.0
Supplement,subject_aux_inversion,3867,80.78613912593742,3867,80.91543832428239,3867,80.8378588052754,3867,80.91543832428239,3867,80.8637186449444,0.12929919834496673,0.051719679337978164,0.12929919834496673,0.07757951900697435,-0.051719679337992375
Supplement,turn_taking,280,67.5,280,67.5,280,67.85714285714286,280,67.5,280,67.5,0.0,0.3571428571428612,0.0,0.0,0.0
EWoK,agent-properties,2210,50.36199095022624,2210,50.13574660633484,2210,50.13574660633484,2210,49.95475113122172,2210,50.0,-0.2262443438914019,-0.2262443438914019,-0.40723981900452344,-0.36199095022624306,0.04524886877828038
EWoK,material-dynamics,770,50.51948051948052,770,54.675324675324674,770,54.935064935064936,770,52.077922077922075,770,52.72727272727273,4.155844155844157,4.415584415584419,1.558441558441558,2.2077922077922096,0.6493506493506516
EWoK,material-properties,170,51.76470588235294,170,51.1764705882353,170,51.1764705882353,170,50.588235294117645,170,50.588235294117645,-0.588235294117645,-0.588235294117645,-1.176470588235297,-1.176470588235297,0.0
EWoK,physical-dynamics,120,52.5,120,50.833333333333336,120,50.833333333333336,120,51.666666666666664,120,51.666666666666664,-1.6666666666666643,-1.6666666666666643,-0.8333333333333357,-0.8333333333333357,0.0
EWoK,physical-interactions,556,48.56115107913669,556,46.94244604316547,556,47.12230215827338,556,48.02158273381295,556,48.201438848920866,-1.6187050359712245,-1.4388489208633146,-0.5395683453237439,-0.3597122302158269,0.179856115107917
EWoK,physical-relations,818,49.877750611246945,818,49.38875305623472,818,49.38875305623472,818,49.1442542787286,818,49.1442542787286,-0.48899755501222586,-0.48899755501222586,-0.7334963325183423,-0.7334963325183423,0.0
EWoK,quantitative-properties,314,48.72611464968153,314,48.40764331210191,314,48.40764331210191,314,49.681528662420384,314,49.044585987261144,-0.31847133757961643,-0.31847133757961643,0.9554140127388564,0.31847133757961643,-0.63694267515924
EWoK,social-interactions,294,54.08163265306123,294,54.76190476190476,294,53.40136054421769,294,53.74149659863946,294,52.72108843537415,0.680272108843532,-0.6802721088435391,-0.34013605442176953,-1.3605442176870781,-1.0204081632653086
