model,temperature,calib_mean_nll_T1,calib_best_mean_nll,qwen_delta_spec_T1,qwen_delta_spec_Tfit,qwen_delta_spec_rank,common_both_T1,common_both_Tfit,common_both_rank,common_delta_swing_T1,common_delta_swing_Tfit,common_delta_rank_swing
coherent86,1.1,3.984628357910193,3.970562728207845,0.0,0.0,0.0,20,20,20,0.0,0.0,0.0
sparse_focus_seed62064,1.1,3.951610244695957,3.945547396173844,0.0016762100618022205,0.00205627047249841,-5.413194444444444,21,21,21,-0.04880701307739541,-0.0450534470308394,2.2390476190476343
densemask_sparselabel_seed62064,1.1,4.020668818443441,4.002054445789411,0.16915153004888758,0.14678872493386735,66.97135416666667,21,21,20,0.6098596606084277,0.5443552198083627,117.79809523809524
dense_focus_seed62064,1.1,4.016431900586646,3.999507721886039,0.17431494841972986,0.15194994646137477,69.8903125,21,21,20,0.6033851211269695,0.5385464426733197,115.20476190476192
dense_focus_seed62065,1.1,4.017249300201925,4.000061088381335,0.17833833291040113,0.15540449084933952,71.86121527777777,21,21,20,0.5960515278577803,0.5318558227590153,116.42809523809525
clean_pres_lambda1_eval_full80,1.1,4.004602551574891,3.988107125002604,0.11859498270761427,0.10074627038440666,42.69649305555556,21,21,20,0.38721974897952294,0.34587322203885923,74.87380952380953
clean_pres_lambda1_train_full80,1.1,4.0111126049206804,3.99142394730678,0.11786207980573334,0.10118413289058177,44.335972222222225,21,21,20,0.5506007315715155,0.4939070497382255,99.60714285714286
pres_lambda1_trainmode_confounded,1.1,4.009554623812437,3.9900269626138303,0.11705130013320338,0.10053548814127376,44.140277777777776,21,21,21,0.5481731672797884,0.4917391726374624,99.52047619047622
