arm,mode,n,accuracy,choice_counts,label_counts,predictions_path
compact_view_70M,parallel,103,26.21359223300971,"{""0"": 24, ""1"": 32, ""2"": 21, ""3"": 26}","{""0"": 25, ""1"": 31, ""2"": 25, ""3"": 22}",experiments/archive/frontier_consolidation/data/fw_comparison_eval/official_outputs/compact_view_chck_70M/GlobalPIQA_parallel/chck_70M/full_compact_view_chck_70M_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
compact_view_70M,nonparallel,100,51.0,"{""0"": 55, ""1"": 45}","{""0"": 46, ""1"": 54}",experiments/archive/frontier_consolidation/data/fw_comparison_eval/official_outputs/compact_view_chck_70M/GlobalPIQA_nonparallel/chck_70M/full_compact_view_chck_70M_GlobalPIQA_nonparallel/zero_shot/mlm/global_piqa_nonparallel/global_piqa_nonparallel/predictions.json
source_breadth_rowblock_70M,parallel,103,26.21359223300971,"{""0"": 21, ""1"": 30, ""2"": 27, ""3"": 25}","{""0"": 25, ""1"": 31, ""2"": 25, ""3"": 22}",experiments/archive/frontier_consolidation/data/fw_comparison_eval/official_outputs/source_breadth_chck_70M/GlobalPIQA_parallel/chck_70M/full_source_breadth_chck_70M_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
source_breadth_rowblock_70M,nonparallel,100,47.0,"{""0"": 53, ""1"": 47}","{""0"": 46, ""1"": 54}",experiments/archive/frontier_consolidation/data/fw_comparison_eval/official_outputs/source_breadth_chck_70M/GlobalPIQA_nonparallel/chck_70M/full_source_breadth_chck_70M_GlobalPIQA_nonparallel/zero_shot/mlm/global_piqa_nonparallel/global_piqa_nonparallel/predictions.json
