category,n,same_correct,same_wrong,breadth_fixes_compact,compact_fixes_breadth,breadth_minus_compact_correct
counting,7,1,5,0,1,-1
object_properties,2,1,1,0,0,0
object_properties_interactions,36,9,21,2,4,-2
"object_properties_interactions, affordances",21,3,13,4,1,3
"object_properties_interactions, spatial",3,1,1,0,1,-1
spatial,22,2,18,1,1,0
"spatial, counting",1,0,0,0,1,-1
time,4,1,2,1,0,1
"time, counting",7,0,6,1,0,1
