pair_id,edit_class,is_transform,bridge_gap1,bridge_skip,bridge_span,bridge_absent,natcomp_gap1,natcomp_skip,natcomp_span,natcomp_absent
compact:frontier_consolidation_fwcompact_medium_013187,deletion_reorder,False,0.9333333333333333,0.06666666666666667,1.0,0.0,1.0,0.0,1.0,0.18181818181818182
compact:frontier_consolidation_fwcompact_medium_054905,verbatim_substring,False,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.125
compact:frontier_consolidation_fwcompact_medium_057265,deletion_reorder,False,1.0,0.0,0.9473684210526315,0.0,0.9166666666666666,0.08333333333333333,0.8947368421052632,0.1111111111111111
compact:frontier_consolidation_fwcompact_medium_029936,deletion_reorder,False,0.8333333333333334,0.16666666666666666,1.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.2857142857142857
compact:frontier_consolidation_fwcompact_medium_021237,verbatim_substring,False,1.0,0.0,1.0,0.0,0.8,0.2,0.9142857142857143,0.2727272727272727
compact:frontier_consolidation_fwcompact_medium_042919,deletion_reorder,False,0.9444444444444444,0.05555555555555555,0.9230769230769231,0.0625,0.9230769230769231,0.07692307692307693,0.6923076923076923,0.15384615384615385
compact:frontier_consolidation_fwcompact_medium_044276,deletion_reorder,False,0.9411764705882353,0.058823529411764705,1.0,0.0,1.0,0.0,0.15789473684210525,0.2222222222222222
compact:frontier_consolidation_fwcompact_medium_034181,verbatim_substring,False,0.9375,0.0625,0.95,0.0,1.0,0.0,0.6,0.1111111111111111
compact:frontier_consolidation_fwcompact_medium_038975,substantive_restructure,True,0.0,1.0,0.3888888888888889,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.375
compact:frontier_consolidation_fwcompact_medium_026050,light_restructure,True,0.8333333333333334,0.16666666666666666,1.0,0.05263157894736842,0.5714285714285714,0.42857142857142855,1.0,0.3333333333333333
compact:frontier_consolidation_fwcompact_medium_013221,light_restructure,True,0.7692307692307693,0.23076923076923078,1.0,0.0,0.75,0.25,0.9444444444444444,0.09090909090909091
compact:frontier_consolidation_fwcompact_medium_024789,light_restructure,True,0.7692307692307693,0.23076923076923078,0.9523809523809523,0.09090909090909091,0.6666666666666666,0.3333333333333333,1.0,0.2
compact:frontier_consolidation_fwcompact_medium_007911,deletion_reorder,False,0.9090909090909091,0.09090909090909091,1.0,0.0,0.75,0.25,0.6666666666666666,0.25
compact:frontier_consolidation_fwcompact_medium_007997,light_restructure,True,0.8181818181818182,0.18181818181818182,0.75,0.0,0.6666666666666666,0.3333333333333333,0.7,0.2222222222222222
compact:frontier_consolidation_fwcompact_medium_017608,deletion_reorder,False,0.9333333333333333,0.06666666666666667,1.0,0.0,1.0,0.0,0.5294117647058824,0.16666666666666666
compact:frontier_consolidation_fwcompact_medium_034711,light_restructure,True,0.9411764705882353,0.058823529411764705,0.7333333333333333,0.0,1.0,0.0,0.7333333333333333,0.14285714285714285
compact:frontier_consolidation_fwcompact_medium_043741,light_restructure,True,0.7,0.3,0.96,0.0,0.5,0.5,0.96,0.2
compact:frontier_consolidation_fwcompact_medium_022350,light_restructure,True,0.7142857142857143,0.2857142857142857,0.9375,0.0,,,0.0625,0.25
compact:frontier_consolidation_fwcompact_medium_031456,light_restructure,True,0.8333333333333334,0.16666666666666666,0.7857142857142857,0.0,1.0,0.0,0.21428571428571427,0.3333333333333333
compact:frontier_consolidation_fwcompact_medium_051855,deletion_reorder,False,0.8181818181818182,0.18181818181818182,0.9375,0.0,1.0,0.0,0.5,0.125
compact:frontier_consolidation_fwcompact_medium_027545,deletion_reorder,False,0.7777777777777778,0.2222222222222222,0.8,0.0,0.75,0.25,0.4666666666666667,0.16666666666666666
