seed,arm,n,T,U,N,T_minus_U,se_T_minus_U,T_minus_N,content_T_minus_U
43022,clean,1125,0.8412547356296116,-4.481175864711116,-4.764210272610099,5.322430600340728,0.08378339960493196,5.605465008239711,5.7606193342083
43022,repeat,1125,1.029904937951824,-4.500847947771032,-4.73633950930971,5.530752885722856,0.08533901332691363,5.766244447261534,5.990588800763102
43022,view,1125,1.2056519479873369,-4.482406562947642,-4.851692584650382,5.6880585109349795,0.0884180810777534,6.057344532637718,6.145448036324267
43022,repeat_split,1125,1.097698432235171,-4.045900214944416,-4.370606817792001,5.143598647179586,0.08171772633678437,5.468305250027172,5.56943396622042
43022,view_split,1125,1.0911270663833954,-4.200873701432545,-4.560749772923491,5.2920007678159395,0.08448170424675709,5.651876839306887,5.721459555523281
43122,clean,1125,0.8196123037397687,-4.396123315684258,-4.694657108721431,5.215735619424026,0.08401245042482317,5.5142694124612,5.636429862223103
43122,repeat,1125,1.1169820760146454,-4.430541965178428,-4.770883150715757,5.547524041193073,0.08705895358052732,5.887865226730402,6.0096484011669355
43122,view,1125,1.2985542406934087,-4.320827857289449,-4.709917079709018,5.619382097982857,0.08485927918466397,6.0084713204024265,6.108950635871625
43122,repeat_split,1125,0.9220872193212729,-4.048166995036165,-4.379616471585264,4.970254214357437,0.07748706110366256,5.301703690906536,5.385976048128077
43122,view_split,1125,1.0323761386532297,-4.0522442332156885,-4.496349475279487,5.084620371868918,0.07880316368931081,5.528725613932717,5.517484565023644
