family,subtask,total,score430,score431,delta431_minus_430,correct430,correct431,both_correct,regressions_430_correct_431_wrong,recoveries_430_wrong_431_correct,net_correct_delta,within_family_equal_subtask_contribution,approx_overall_contribution,same_pred_count,changed_pred_count,metric,results430,results431
BLiMP,adjunct_island,928,65.40948275862068,67.67241379310344,2.2629310344827616,607,628,499,108,129,21,0.03377509006690689,0.003752787785211877,,,,,
BLiMP,anaphor_gender_agreement,971,84.44902162718847,80.74150360453142,-3.707518022657055,820,784,697,123,87,-36,-0.05533608989040381,-0.00614845443226709,,,,,
BLiMP,anaphor_number_agreement,931,90.44038668098818,88.2921589688507,-2.1482277121374835,842,822,756,86,66,-20,-0.03206310018115647,-0.0035625666867951634,,,,,
BLiMP,animate_subject_passive,895,63.24022346368715,63.46368715083799,0.22346368715083997,566,568,511,55,57,2,0.003335278912699104,0.000370586545855456,,,,,
BLiMP,animate_subject_trans,923,74.3228602383532,72.91440953412784,-1.4084507042253591,686,673,606,80,67,-13,-0.02102165230187103,-0.002335739144652337,,,,,
BLiMP,causative,818,58.19070904645477,57.946210268948654,-0.24449877750611648,476,474,401,75,73,-2,-0.0036492354851659177,-0.00040547060946287975,,,,,
BLiMP,complex_NP_island,846,30.969267139479907,33.56973995271868,2.6004728132387704,262,284,175,87,109,22,0.03881302706326523,0.004312558562585026,,,,,
BLiMP,coordinate_structure_constraint_complex_left_branch,906,27.814569536423843,26.26931567328918,-1.5452538631346613,252,238,127,125,111,-14,-0.023063490494547183,-0.002562610054949687,,,,,
BLiMP,coordinate_structure_constraint_object_extraction,949,79.97892518440463,81.45416227608008,1.475237091675453,759,773,679,80,94,14,0.022018464054857505,0.002446496006095278,,,,,
BLiMP,determiner_noun_agreement_1,929,91.49623250807319,88.3745963401507,-3.121636167922489,850,821,796,54,25,-29,-0.04659158459585804,-0.005176842732873116,,,,,
BLiMP,determiner_noun_agreement_2,931,98.38882921589689,96.77765843179377,-1.6111707841031233,916,901,890,26,11,-15,-0.024047325135867513,-0.00267192501509639,,,,,
BLiMP,determiner_noun_agreement_irregular_1,681,75.0367107195301,75.0367107195301,0.0,511,511,459,52,52,0,0.0,0.0,,,,,
BLiMP,determiner_noun_agreement_irregular_2,820,81.46341463414635,81.95121951219512,0.48780487804877737,668,672,637,31,35,4,0.007280669821623543,0.0008089633135137269,,,,,
BLiMP,determiner_noun_agreement_with_adj_2,941,95.00531349628055,93.09245483528161,-1.9128586609989355,894,876,857,37,19,-18,-0.02855012926864083,-0.0031722365854045366,,,,,
BLiMP,determiner_noun_agreement_with_adj_irregular_1,718,86.2116991643454,85.23676880222841,-0.9749303621169929,619,612,581,38,31,-7,-0.014551199434581984,-0.001616799937175776,,,,,
BLiMP,determiner_noun_agreement_with_adj_irregular_2,840,80.35714285714286,81.42857142857143,1.0714285714285694,675,684,626,49,58,9,0.01599147121535178,0.0017768301350390868,,,,,
BLiMP,determiner_noun_agreement_with_adjective_1,933,86.81672025723472,85.53054662379421,-1.2861736334405123,810,798,740,70,58,-12,-0.019196621394634513,-0.0021329579327371683,,,,,
BLiMP,distractor_agreement_relational_noun,788,44.035532994923855,36.6751269035533,-7.360406091370557,347,289,189,158,100,-58,-0.1098568073338889,-0.012206311925987656,,,,,
BLiMP,distractor_agreement_relative_clause,871,35.93570608495982,24.68427095292767,-11.25143513203215,313,215,143,170,72,-98,-0.1679318676422709,-0.018659096404696766,,,,,
BLiMP,drop_argument,920,66.95652173913044,70.54347826086956,3.5869565217391255,616,649,546,70,103,33,0.05353666450356904,0.005948518278174338,,,,,
BLiMP,ellipsis_n_bar_1,802,68.82793017456359,69.32668329177058,0.4987531172069879,552,556,443,109,113,4,0.0074440763762237,0.0008271195973581888,,,,,
BLiMP,ellipsis_n_bar_2,828,96.01449275362319,98.42995169082126,2.4154589371980677,795,815,788,7,27,20,0.03605162592832937,0.004005736214258818,,,,,
BLiMP,existential_there_object_raising,812,74.50738916256158,75.86206896551724,1.3546798029556584,605,616,557,48,59,11,0.02021910153665162,0.0022465668374057352,,,,,
BLiMP,existential_there_quantifiers_1,930,98.9247311827957,99.13978494623656,0.21505376344086358,920,922,915,5,7,2,0.0032097576632964713,0.0003566397403662746,,,,,
BLiMP,existential_there_quantifiers_2,911,26.23490669593853,33.91877058177827,7.683863885839738,239,309,130,109,179,70,0.11468453560954833,0.012742726178838704,,,,,
BLiMP,existential_there_subject_raising,924,71.96969696969697,73.80952380952381,1.8398268398268414,665,682,623,42,59,17,0.02746010208696778,0.003051122454107531,,,,,
BLiMP,expletive_it_object_raising,759,68.51119894598155,67.19367588932806,-1.317523056653485,520,510,458,62,52,-10,-0.019664523233634105,-0.002184947025959345,,,,,
BLiMP,inchoative,855,49.12280701754386,50.994152046783626,1.8713450292397624,420,436,361,59,75,16,0.027930522824474065,0.003103391424941563,,,,,
BLiMP,intransitive,868,55.87557603686636,62.672811059907836,6.797235023041473,485,544,441,44,103,59,0.101451269000619,0.011272363222291,,,,,
BLiMP,irregular_past_participle_adjectives,961,84.39125910509885,91.57127991675338,7.180020811654529,811,880,766,45,114,69,0.107164489726187,0.011907165525131888,,,,,
BLiMP,irregular_past_participle_verbs,942,81.95329087048832,81.104033970276,-0.8492569002123105,772,764,694,78,70,-8,-0.012675476122571798,-0.0014083862358413109,,,,,
BLiMP,irregular_plural_subject_verb_agreement_1,804,75.49751243781094,75.74626865671642,0.24875621890548416,607,609,533,74,76,2,0.0037127793866490173,0.00041253104296100194,,,,,
BLiMP,irregular_plural_subject_verb_agreement_2,892,79.7085201793722,81.50224215246637,1.793721973094165,711,727,657,54,70,16,0.026771969747674103,0.0029746633052971224,,,,,
BLiMP,left_branch_island_echo_question,947,17.634635691657866,27.03273495248152,9.398099260823653,167,256,101,66,155,89,0.14027013822124854,0.01558557091347206,,,,,
BLiMP,left_branch_island_simple_question,951,54.7844374342797,44.26919032597266,-10.515247108307044,521,421,324,197,97,-100,-0.1569439866911499,-0.0174382207434611,,,,,
