target_label,target_selected_dir,target_prev,target_mid,target_next,target_window_string,target_window_role,target_mid_selected_cheap7,target_mid_selected_BLiMP,target_mid_selected_Supplement,target_mid_selected_EWoK,target_mid_selected_Entity,target_mid_selected_COMPS,target_mid_selected_GlobalPIQA,target_mid_selected_Reading,n_common_items,signed_transition_pattern_cosine,signed_transition_pattern_pearson,ref_changed_transitions,same_signed_transition_on_ref_changed_fraction,opposite_on_ref_changed_fraction,other_zero_on_ref_changed_fraction
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_70M,chck_72M,chck_74M,chck_70M->chck_72M->chck_74M,background,42.93857142857143,67.32,60.96,48.6,26.82,52.2,36.635,8.035,170722,0.012505910655092819,0.012503583966246422,17218,0.15919386688349402,0.14118945289812987,0.6996166802183761
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_72M,chck_74M,chck_76M,chck_72M->chck_74M->chck_76M,background,43.45,67.84,62.05,50.14,27.38,52.19,36.605000000000004,7.945,170722,-0.00629660273870076,-0.006304370637727256,17218,0.14566151701707516,0.15431525148100825,0.7000232315019166
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_74M,chck_76M,chck_78M,chck_74M->chck_76M->chck_78M,background,43.581428571428575,68.29,64.06,49.12,26.37,51.95,37.12,8.16,170722,-0.023575284914086166,-0.023579990411633694,17218,0.13904053897084445,0.17028690904867,0.6906725519804855
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_76M,chck_78M,chck_80M,chck_76M->chck_78M->chck_80M,background,43.70214285714286,68.02,62.78,49.04,27.75,52.34,37.605000000000004,8.379999999999999,170722,-0.00369751551182516,-0.0036972005126817324,17218,0.15193402253455687,0.15658032291787663,0.6914856545475665
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_78M,chck_80M,chck_82M,chck_78M->chck_80M->chck_82M,background,43.81214285714286,68.11,62.62,49.24,28.2,52.11,38.105000000000004,8.3,170722,-0.05423018533581909,-0.05423479446960553,17218,0.13044488326170287,0.1940411197583924,0.6755139969799048
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_80M,chck_82M,chck_84M,chck_80M->chck_82M->chck_84M,background,43.95857142857143,68.48,62.94,50.06,28.31,52.19,37.58,8.15,170722,-0.38062511568610347,-0.3806338045763857,17218,0.0,0.4128818678127541,0.587118132187246
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_82M,chck_84M,chck_86M,chck_82M->chck_84M->chck_86M,own_peak_and_fixed_82_84_86,44.12357142857143,68.25,63.48,50.07,28.58,52.21,38.12,8.155,170722,0.9999999999999998,1.0,17218,1.0,0.0,0.0
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_84M,chck_86M,chck_88M,chck_84M->chck_86M->chck_88M,background,43.770714285714284,68.47,62.68,50.14,28.58,52.29,36.135,8.1,170722,-0.3825616420908144,-0.38256669863240733,17218,0.0,0.35033104890231154,0.6496689510976885
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_86M,chck_88M,chck_90M,chck_86M->chck_88M->chck_90M,background,43.71071428571428,68.49,62.83,49.4,29.14,52.24,35.635,8.24,170722,-0.052830114028431165,-0.05282898572531638,17218,0.08003252410268324,0.12219770008131026,0.7977697758160065
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_88M,chck_90M,chck_92M,chck_88M->chck_90M->chck_92M,background,43.27214285714286,68.59,62.89,49.09,28.17,52.24,33.65,8.275,170722,-0.034593049055530616,-0.03459530614783841,17218,0.06301544894877453,0.08752468347078639,0.8494598675804391
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_90M,chck_92M,chck_94M,chck_90M->chck_92M->chck_94M,background,43.36714285714286,68.65,62.85,48.99,27.8,52.32,34.635,8.325,170722,0.01429666928281874,0.01429260945920323,17218,0.05900801486816123,0.05018004413985364,0.8908119409919851
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_92M,chck_94M,chck_96M,chck_92M->chck_94M->chck_96M,background,43.55357142857143,68.67,62.64,49.2,27.12,52.33,36.605000000000004,8.31,170722,-0.009088316143462869,-0.009088204564191646,17218,0.033453362759902426,0.037925426878847715,0.9286212103612499
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_94M,chck_96M,chck_98M,chck_94M->chck_96M->chck_98M,background,43.54571428571429,68.65,62.82,49.29,27.37,52.26,36.105000000000004,8.325,170722,0.007086680528141631,0.007085640955516775,17218,0.018410965268904636,0.015971657567661748,0.9656173771634337
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_96M,chck_98M,chck_100M,chck_96M->chck_98M->chck_100M,background,43.55714285714286,68.62,62.89,49.17,27.49,52.31,36.105000000000004,8.315,170722,-0.014211110796501223,-0.014215221266284675,17218,0.004704379138111279,0.00766639563247764,0.9876292252294111
scale1p25_seed43022_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p25_seed43022_dense_common2M,chck_70M,chck_72M,chck_74M,chck_70M->chck_72M->chck_74M,background,42.63285714285714,65.32,60.67,48.78,26.35,52.02,37.565,7.725,170722,0.0038502866185950394,0.0038480200130523797,17218,0.0807294691601812,0.07492159368103148,0.8443489371587873
scale1p25_seed43022_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p25_seed43022_dense_common2M,chck_72M,chck_74M,chck_76M,chck_72M->chck_74M->chck_76M,background,42.527142857142856,65.39,61.14,50.24,25.67,51.84,35.59,7.82,170722,-0.0012127497429429083,-0.0012165828684897024,17218,0.07207573469624812,0.07381809733999303,0.8541061679637588
scale1p25_seed43022_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p25_seed43022_dense_common2M,chck_74M,chck_76M,chck_78M,chck_74M->chck_76M->chck_78M,background,42.675714285714285,65.52,60.89,49.44,25.82,52.02,37.08,7.96,170722,-0.0024974969503044242,-0.0025076282598902877,17218,0.06237658264606807,0.06574515042397491,0.8718782669299571
scale1p25_seed43022_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p25_seed43022_dense_common2M,chck_76M,chck_78M,chck_80M,chck_76M->chck_78M->chck_80M,background,43.19285714285714,65.98,61.18,50.67,26.41,52.07,38.035,8.005,170722,0.00403064950355903,0.004031233657094784,17218,0.06191195260773609,0.05674294343129283,0.8813451039609711
scale1p25_seed43022_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p25_seed43022_dense_common2M,chck_78M,chck_80M,chck_82M,chck_78M->chck_80M->chck_82M,background,43.167142857142856,65.68,60.71,50.23,26.74,51.71,39.019999999999996,8.08,170722,-0.006915264325560064,-0.006918205911232919,17218,0.047914972702985247,0.056278313392960855,0.8958067139040539
scale1p25_seed43022_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p25_seed43022_dense_common2M,chck_80M,chck_82M,chck_84M,chck_80M->chck_82M->chck_84M,background,43.33142857142857,66.24,60.78,49.52,27.52,52.04,39.035,8.185,170722,0.0010225537899470542,0.001013209033522595,17218,0.046521082587989315,0.04535950749215937,0.9081194099198513
scale1p25_seed43022_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p25_seed43022_dense_common2M,chck_82M,chck_84M,chck_86M,chck_82M->chck_84M->chck_86M,fixed_82_84_86,43.50071428571429,65.95,61.22,50.08,27.25,51.95,40.019999999999996,8.035,170722,0.01641866942058073,0.016415197443581882,17218,0.04977349285631316,0.032059472644906495,0.9181670344987803
scale1p25_seed43022_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p25_seed43022_dense_common2M,chck_84M,chck_86M,chck_88M,chck_84M->chck_86M->chck_88M,own_peak,43.53785714285714,66.34,61.16,49.23,27.72,52.23,40.019999999999996,8.065,170722,-0.005164915404530331,-0.005177781023052565,17218,0.030955976303868045,0.03589267046114531,0.9331513532349867
scale1p25_seed43022_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p25_seed43022_dense_common2M,chck_86M,chck_88M,chck_90M,chck_86M->chck_88M->chck_90M,background,43.26714285714286,66.47,60.92,48.86,27.61,52.36,38.565,8.085,170722,0.0016201333996869018,0.001617095521148466,17218,0.024973864560343825,0.02363805320013939,0.9513880822395168
scale1p25_seed43022_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p25_seed43022_dense_common2M,chck_88M,chck_90M,chck_92M,chck_88M->chck_90M->chck_92M,background,43.31785714285714,66.47,61.4,49.16,27.31,52.27,38.519999999999996,8.095,170722,-0.004020835488375383,-0.004016934693811593,17218,0.016087815077244744,0.01899175281681961,0.9649204321059357
scale1p25_seed43022_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p25_seed43022_dense_common2M,chck_90M,chck_92M,chck_94M,chck_90M->chck_92M->chck_94M,background,43.22642857142857,66.42,60.99,49.32,26.85,52.32,38.519999999999996,8.165000000000001,170722,0.0022987076080218994,0.002301195867282997,17218,0.014113137414333836,0.012719247299337903,0.9731676152863282
scale1p25_seed43022_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p25_seed43022_dense_common2M,chck_92M,chck_94M,chck_96M,chck_92M->chck_94M->chck_96M,background,43.24214285714286,66.31,61.31,49.22,26.75,52.35,38.519999999999996,8.235,170722,-0.00035202751934657853,-0.00035154132294358927,17218,0.009234522011848066,0.009408758276222558,0.9813567197119294
scale1p25_seed43022_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p25_seed43022_dense_common2M,chck_94M,chck_96M,chck_98M,chck_94M->chck_96M->chck_98M,background,43.17071428571428,66.36,61.69,49.11,26.93,52.34,37.535,8.23,170722,-0.00172892048027812,-0.0017285423530576183,17218,0.005052851666860263,0.005691717969566732,0.989255430363573
scale1p25_seed43022_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p25_seed43022_dense_common2M,chck_96M,chck_98M,chck_100M,chck_96M->chck_98M->chck_100M,background,43.34571428571428,66.35,61.66,48.91,26.96,52.3,39.019999999999996,8.219999999999999,170722,0.0012722792115656839,0.0012732482852382176,17218,0.0019746776629109074,0.0016842838889534208,0.9963410384481357
scale1p75_seed43122_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43122_dense_common2M,chck_70M,chck_72M,chck_74M,chck_70M->chck_72M->chck_74M,background,43.33,65.76,62.02,52.42,25.47,51.1,38.55,7.99,170722,-0.00200603898954099,-0.0020091930128237293,17218,0.06760367057730282,0.07050760831687769,0.8618887211058195
scale1p75_seed43122_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43122_dense_common2M,chck_72M,chck_74M,chck_76M,chck_72M->chck_74M->chck_76M,background,43.47142857142857,66.1,61.62,51.98,26.79,51.58,38.105000000000004,8.125,170722,0.002702819247436474,0.00269114602363356,17218,0.06766174933209432,0.06388663027064699,0.8684516203972587
scale1p75_seed43122_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43122_dense_common2M,chck_74M,chck_76M,chck_78M,chck_74M->chck_76M->chck_78M,background,43.84928571428571,66.21,61.57,52.83,26.73,51.6,40.065,7.94,170722,-0.0018248111597554222,-0.0018296984218068705,17218,0.05604599837379486,0.05842722732024625,0.8855267743059588
scale1p75_seed43122_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43122_dense_common2M,chck_76M,chck_78M,chck_80M,chck_76M->chck_78M->chck_80M,background,43.723571428571425,66.53,61.44,52.97,26.3,51.55,39.065,8.21,170722,0.0003352480509541412,0.0003326172827347851,17218,0.050121965385062146,0.049715414101521666,0.9001626205134162
scale1p75_seed43122_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43122_dense_common2M,chck_78M,chck_80M,chck_82M,chck_78M->chck_80M->chck_82M,background,43.62571428571429,66.83,60.76,51.67,27.82,51.4,38.59,8.31,170722,0.0001542217755690645,0.0001548437777229523,17218,0.04425601115112092,0.04408177488674643,0.9116622139621327
scale1p75_seed43122_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43122_dense_common2M,chck_80M,chck_82M,chck_84M,chck_80M->chck_82M->chck_84M,background,43.58428571428571,66.67,61.19,51.81,27.21,51.38,38.58,8.25,170722,-0.0037329696341953287,-0.0037353436173455153,17218,0.03322104774073644,0.03705424555697526,0.9297247067022884
scale1p75_seed43122_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43122_dense_common2M,chck_82M,chck_84M,chck_86M,chck_82M->chck_84M->chck_86M,fixed_82_84_86,43.72642857142857,66.83,61.96,52.12,25.82,51.43,39.565,8.36,170722,0.0022361432329228333,0.0022336372812845895,17218,0.030549425020327564,0.028458589847833664,0.9409919851318388
scale1p75_seed43122_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43122_dense_common2M,chck_84M,chck_86M,chck_88M,chck_84M->chck_86M->chck_88M,background,43.627857142857145,66.91,61.8,52.13,25.78,51.43,39.09,8.254999999999999,170722,0.005417036351601921,0.005416224497871521,17218,0.02683238471367174,0.022186084330351956,0.9509815309559763
scale1p75_seed43122_dense,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43122_dense_common2M,chck_86M,chck_88M,chck_90M,chck_86M->chck_88M->chck_90M,own_peak,43.909285714285716,66.98,61.34,52.28,25.9,51.46,41.035,8.370000000000001,170722,-0.0024416331141437113,-0.0024415305353577476,17218,0.017597862701823674,0.019456382855151586,0.9629457544430248
