seed,overlap_bin,token_class,contrast,estimand,n_pairs,mean_difference,se_pair_difference,fraction_positive,sign
43022,ALL,ALL,VminusC,gain_T_vs_N,1200,0.1731833321926266,0.0339845552506967,0.5766666666666667,+
43022,ALL,ALL,RminusC,gain_T_vs_N,1200,-0.0058596790361944,0.0320827400354747,0.5066666666666667,-
43022,ALL,ALL,VminusR,gain_T_vs_N,1200,0.1790430112288211,0.0308186029474287,0.5758333333333333,+
43022,ALL,nonoverlap,VminusC,gain_T_vs_N,1200,0.0485248563434126,0.0356412755726437,0.5408333333333334,+
43022,ALL,nonoverlap,RminusC,gain_T_vs_N,1200,-0.2072626248663032,0.03669168822176,0.4475,-
43022,ALL,nonoverlap,VminusR,gain_T_vs_N,1200,0.2557874812097159,0.036284077102215,0.6075,+
43022,ALL,overlap,VminusC,gain_T_vs_N,1200,0.2978418080418406,0.0576059521801707,0.5791666666666667,+
43022,ALL,overlap,RminusC,gain_T_vs_N,1200,0.1955432667939143,0.052308961723938,0.57,+
43022,ALL,overlap,VminusR,gain_T_vs_N,1200,0.1022985412479263,0.0492801078624467,0.5333333333333333,+
43122,ALL,ALL,VminusC,gain_T_vs_N,1200,0.1576459845001328,0.0329999000995648,0.5441666666666667,+
43122,ALL,ALL,RminusC,gain_T_vs_N,1200,-0.0438685872293616,0.034241691992613,0.4766666666666667,-
43122,ALL,ALL,VminusR,gain_T_vs_N,1200,0.2015145717294944,0.0319542622547512,0.5583333333333333,+
43122,ALL,nonoverlap,VminusC,gain_T_vs_N,1200,0.0602202875846867,0.0357144208930409,0.52,+
43122,ALL,nonoverlap,RminusC,gain_T_vs_N,1200,-0.2492958352443464,0.0383799816027892,0.4416666666666666,-
43122,ALL,nonoverlap,VminusR,gain_T_vs_N,1200,0.3095161228290332,0.0360508734824309,0.5858333333333333,+
43122,ALL,overlap,VminusC,gain_T_vs_N,1200,0.2550716814155789,0.0528657777934558,0.5466666666666666,+
43122,ALL,overlap,RminusC,gain_T_vs_N,1200,0.1615586607856231,0.0543309468458546,0.5475,+
43122,ALL,overlap,VminusR,gain_T_vs_N,1200,0.0935130206299557,0.0528843829732005,0.5025,+
43222,ALL,ALL,VminusC,gain_T_vs_N,1200,0.0730506475650377,0.0324834472966045,0.5291666666666667,+
43222,ALL,ALL,RminusC,gain_T_vs_N,1200,-0.1124044823428377,0.0309836236720267,0.4641666666666666,-
43222,ALL,ALL,VminusR,gain_T_vs_N,1200,0.1854551299078755,0.0325842348423157,0.56,+
43222,ALL,nonoverlap,VminusC,gain_T_vs_N,1200,-0.0139016316708228,0.0366132651951663,0.4991666666666666,-
43222,ALL,nonoverlap,RminusC,gain_T_vs_N,1200,-0.1948328277640717,0.0335570522764752,0.4333333333333333,-
43222,ALL,nonoverlap,VminusR,gain_T_vs_N,1200,0.1809311960932488,0.0363792733635025,0.5433333333333333,+
43222,ALL,overlap,VminusC,gain_T_vs_N,1200,0.1600029268008984,0.0548340761422658,0.5233333333333333,+
43222,ALL,overlap,RminusC,gain_T_vs_N,1200,-0.0299761369216038,0.0527362200015546,0.51,-
43222,ALL,overlap,VminusR,gain_T_vs_N,1200,0.1899790637225022,0.0539953393212687,0.5258333333333334,+
