contrast,n,mean,se_pair,frac_positive,family,group,value
HMminusC,2000,0.48371976378261966,0.04045496570417574,0.6085,copy,ALL,gain
HMminusR,2000,-0.01585928207803413,0.03669041930442262,0.5025,copy,ALL,gain
HMminusV,2000,0.1566130070723017,0.03795400250618936,0.526,copy,ALL,gain
HMminusRS,2000,0.6842239365391597,0.041107704248267686,0.6385,copy,ALL,gain
HMminusVS,2000,0.3840607183155223,0.04151621486142503,0.5685,copy,ALL,gain
RminusC,2000,0.49957904586065377,0.039670084994953114,0.627,copy,ALL,gain
VminusC,2000,0.32710675671031797,0.03854700327424973,0.5775,copy,ALL,gain
RSminusC,2000,-0.20050417275654012,0.03494125853978436,0.4585,copy,ALL,gain
VSminusC,2000,0.0996590454670973,0.03682476768245861,0.539,copy,ALL,gain
HMminusC,1000,0.5284455751402863,0.061483725136743064,0.603,copy,span_1,gain
HMminusR,1000,0.006715444032442843,0.05419984431040502,0.529,copy,span_1,gain
HMminusV,1000,0.10077280261092701,0.05671436432070379,0.505,copy,span_1,gain
HMminusRS,1000,0.7837372386879442,0.06211207930860318,0.627,copy,span_1,gain
HMminusVS,1000,0.4088528434192375,0.06319508867141695,0.563,copy,span_1,gain
RminusC,1000,0.5217301311078435,0.0604506885725398,0.609,copy,span_1,gain
VminusC,1000,0.42767277252935937,0.059074206081155274,0.575,copy,span_1,gain
RSminusC,1000,-0.25529166354765787,0.0523376225081246,0.455,copy,span_1,gain
VSminusC,1000,0.11959273172104877,0.055609136118047076,0.532,copy,span_1,gain
HMminusC,1000,0.438993952424953,0.052556329280214815,0.614,copy,span_4,gain
HMminusR,1000,-0.0384340081885111,0.04945811475528883,0.476,copy,span_4,gain
HMminusV,1000,0.21245321153367633,0.05039116835110316,0.547,copy,span_4,gain
HMminusRS,1000,0.5847106343903753,0.05368106932247954,0.65,copy,span_4,gain
HMminusVS,1000,0.3592685932118071,0.05384733841665231,0.574,copy,span_4,gain
RminusC,1000,0.47742796061346404,0.051376993722655404,0.645,copy,span_4,gain
VminusC,1000,0.22654074089127657,0.04933048727213053,0.58,copy,span_4,gain
RSminusC,1000,-0.14571668196542237,0.04624214663355154,0.462,copy,span_4,gain
VSminusC,1000,0.07972535921314583,0.04828129385152558,0.546,copy,span_4,gain
