condition_code,overlap_bin,token_class,records
N,high,nonoverlap,800
N,high,overlap,400
N,low,nonoverlap,800
N,low,overlap,400
N,medium,nonoverlap,800
N,medium,overlap,400
T,high,nonoverlap,800
T,high,overlap,400
T,low,nonoverlap,800
T,low,overlap,400
T,medium,nonoverlap,800
T,medium,overlap,400
U,high,nonoverlap,800
U,high,overlap,400
U,low,nonoverlap,800
U,low,overlap,400
U,medium,nonoverlap,800
U,medium,overlap,400
