group,contrast,role_a,role_b,n,delta_accuracy_pct,acc_a,acc_b,mean_relevant_updates,mean_total_ops,mean_prefix_words
ALL,SHUFminusOFF,SHUF,OFF,6780,-1.4749262536873147,20.42772861356932,21.902654867256636,1.9960176991150442,7.359587020648967,120.59041297935103
rel0_total_ops_0,SHUFminusOFF,SHUF,OFF,304,0.9868421052631575,25.986842105263158,25.0,0.0,0.0,61.473684210526315
rel0_total_ops_1,SHUFminusOFF,SHUF,OFF,257,-5.4474708171206245,21.011673151750973,26.459143968871597,0.0,1.0,69.715953307393
rel0_total_ops_10,SHUFminusOFF,SHUF,OFF,36,2.777777777777782,19.444444444444446,16.666666666666664,0.0,10.0,143.72222222222223
rel0_total_ops_11,SHUFminusOFF,SHUF,OFF,32,0.0,21.875,21.875,0.0,11.0,148.96875
rel0_total_ops_12,SHUFminusOFF,SHUF,OFF,30,3.333333333333333,10.0,6.666666666666667,0.0,12.0,157.36666666666667
rel0_total_ops_2,SHUFminusOFF,SHUF,OFF,212,-0.9433962264150964,17.452830188679243,18.39622641509434,0.0,2.0,77.93867924528301
rel0_total_ops_3,SHUFminusOFF,SHUF,OFF,172,1.7441860465116292,20.930232558139537,19.186046511627907,0.0,3.0,85.88372093023256
rel0_total_ops_4,SHUFminusOFF,SHUF,OFF,131,1.52671755725191,22.137404580152673,20.610687022900763,0.0,4.0,93.36641221374046
rel0_total_ops_5,SHUFminusOFF,SHUF,OFF,104,-0.9615384615384599,16.346153846153847,17.307692307692307,0.0,5.0,100.5673076923077
rel0_total_ops_6,SHUFminusOFF,SHUF,OFF,88,9.090909090909093,28.40909090909091,19.318181818181817,0.0,6.0,107.64772727272727
rel0_total_ops_7,SHUFminusOFF,SHUF,OFF,66,6.060606060606059,27.27272727272727,21.21212121212121,0.0,7.0,117.81818181818181
rel0_total_ops_8,SHUFminusOFF,SHUF,OFF,63,-4.761904761904761,11.11111111111111,15.873015873015872,0.0,8.0,127.47619047619048
rel0_total_ops_9,SHUFminusOFF,SHUF,OFF,46,4.34782608695652,26.08695652173913,21.73913043478261,0.0,9.0,134.91304347826087
rel_eq0,SHUFminusOFF,SHUF,OFF,1541,0.2595717066839711,21.479558728098638,21.219987021414667,0.0,3.388059701492537,88.73329007138221
rel_ge1,SHUFminusOFF,SHUF,OFF,5239,-1.9851116625310148,20.118343195266274,22.10345485779729,2.5831265508684864,8.527772475663294,129.96087039511357
rel_ge2,SHUFminusOFF,SHUF,OFF,3916,-1.9662921348314626,21.195097037793666,23.161389172625128,3.1179775280898876,9.274770173646578,136.0349846782431
rel_ge3,SHUFminusOFF,SHUF,OFF,2650,-2.0,21.81132075471698,23.81132075471698,3.6520754716981134,9.80188679245283,140.93735849056603
rel_ge4,SHUFminusOFF,SHUF,OFF,1420,-3.0985915492957723,23.028169014084508,26.12676056338028,4.216901408450704,10.112676056338028,143.64225352112675
rel_updates_0,SHUFminusOFF,SHUF,OFF,1541,0.2595717066839711,21.479558728098638,21.219987021414667,0.0,3.388059701492537,88.73329007138221
rel_updates_1,SHUFminusOFF,SHUF,OFF,1323,-2.0408163265306136,16.93121693121693,18.972033257747544,1.0,6.316704459561603,111.98185941043084
rel_updates_2,SHUFminusOFF,SHUF,OFF,1266,-1.8957345971563981,19.90521327014218,21.80094786729858,2.0,8.171406003159557,125.77330173775671
