role,checkpoint,pair_id,target_key,overlap_bin,token_class,surface_word_class,target_word,target_token_id,N,T,U,gain_T_vs_U,gain_T_vs_N,gain_U_vs_N
OFF,chck_100M,wikilarge_00e870d0480c25e3f6c8,wikilarge_00e870d0480c25e3f6c8:0,high,overlap,overlap,january,2017,12.464778900146484,9.337114334106445,10.732542037963867,1.3954277038574219,3.127664566040039,1.7322368621826172
OFF,chck_100M,wikilarge_00e870d0480c25e3f6c8,wikilarge_00e870d0480c25e3f6c8:11,high,nonoverlap,nonoverlap,kept,2352,11.798762321472168,12.58784294128418,11.903361320495605,-0.6844816207885742,-0.7890806198120117,-0.1045989990234375
OFF,chck_100M,wikilarge_00e870d0480c25e3f6c8,wikilarge_00e870d0480c25e3f6c8:3,high,nonoverlap,nonoverlap,said,457,8.73292350769043,6.887356281280518,7.778456687927246,0.8911004066467285,1.845567226409912,0.9544668197631836
OFF,chck_100M,wikilarge_00ed2371f449705b6f23,wikilarge_00ed2371f449705b6f23:3,low,nonoverlap,nonoverlap,important,2020,11.451871871948242,13.180612564086914,13.143790245056152,-0.03682231903076172,-1.7287406921386719,-1.6919183731079102
OFF,chck_100M,wikilarge_00ed2371f449705b6f23,wikilarge_00ed2371f449705b6f23:4,low,nonoverlap,nonoverlap,part,638,15.921939849853516,14.905479431152344,15.151288986206055,0.24580955505371094,1.0164604187011719,0.7706508636474609
OFF,chck_100M,wikilarge_00ed2371f449705b6f23,wikilarge_00ed2371f449705b6f23:5,low,overlap,overlap,medicine,5497,13.15451717376709,13.646824836730957,13.466883659362793,-0.17994117736816406,-0.4923076629638672,-0.3123664855957031
OFF,chck_100M,wikilarge_00fb0e77f0f8f7a6a420,wikilarge_00fb0e77f0f8f7a6a420:1,low,nonoverlap,nonoverlap,idea,1713,11.50060749053955,12.049100875854492,10.668928146362305,-1.3801727294921875,-0.5484933853149414,0.8316793441772461
OFF,chck_100M,wikilarge_00fb0e77f0f8f7a6a420,wikilarge_00fb0e77f0f8f7a6a420:10,low,overlap,overlap,market,3460,17.47843360900879,17.611770629882812,16.561996459960938,-1.049774169921875,-0.13333702087402344,0.9164371490478516
OFF,chck_100M,wikilarge_00fb0e77f0f8f7a6a420,wikilarge_00fb0e77f0f8f7a6a420:5,low,nonoverlap,nonoverlap,said,457,11.408618927001953,13.439399719238281,10.858831405639648,-2.580568313598633,-2.030780792236328,0.5497875213623047
OFF,chck_100M,wikilarge_010317a91bf8561d95c3,wikilarge_010317a91bf8561d95c3:0,low,nonoverlap,nonoverlap,fight,1584,9.092060089111328,10.068440437316895,9.975753784179688,-0.09268665313720703,-0.9763803482055664,-0.8836936950683594
OFF,chck_100M,wikilarge_010317a91bf8561d95c3,wikilarge_010317a91bf8561d95c3:1,low,nonoverlap,nonoverlap,soft,1843,9.08092975616455,10.285198211669922,9.881006240844727,-0.4041919708251953,-1.204268455505371,-0.8000764846801758
OFF,chck_100M,wikilarge_010317a91bf8561d95c3,wikilarge_010317a91bf8561d95c3:6,low,overlap,overlap,rubber,6766,12.594076156616211,13.38278579711914,12.381967544555664,-1.0008182525634766,-0.7887096405029297,0.21210861206054688
OFF,chck_100M,wikilarge_01041aaee4684cb5061c,wikilarge_01041aaee4684cb5061c:1,low,nonoverlap,nonoverlap,found,897,14.178009033203125,14.119441986083984,11.778312683105469,-2.3411293029785156,0.058567047119140625,2.3996963500976562
OFF,chck_100M,wikilarge_01041aaee4684cb5061c,wikilarge_01041aaee4684cb5061c:4,low,overlap,overlap,green,1742,13.912056922912598,12.557527542114258,13.429330825805664,0.8718032836914062,1.3545293807983398,0.4827260971069336
OFF,chck_100M,wikilarge_01041aaee4684cb5061c,wikilarge_01041aaee4684cb5061c:5,low,nonoverlap,nonoverlap,line,2101,14.23716926574707,14.546016693115234,12.966536521911621,-1.5794801712036133,-0.30884742736816406,1.2706327438354492
OFF,chck_100M,wikilarge_013b198c2bf6ca68542a,wikilarge_013b198c2bf6ca68542a:13,high,overlap,overlap,road,1935,11.780034065246582,1.4532127380371094,11.886302947998047,10.433090209960938,10.326821327209473,-0.10626888275146484
OFF,chck_100M,wikilarge_013b198c2bf6ca68542a,wikilarge_013b198c2bf6ca68542a:3,high,nonoverlap,nonoverlap,deal,2006,12.8766450881958,13.738520622253418,13.105368614196777,-0.6331520080566406,-0.8618755340576172,-0.22872352600097656
OFF,chck_100M,wikilarge_013b198c2bf6ca68542a,wikilarge_013b198c2bf6ca68542a:7,high,nonoverlap,nonoverlap,including,2435,10.868688583374023,11.57281494140625,10.496455192565918,-1.076359748840332,-0.7041263580322266,0.37223339080810547
OFF,chck_100M,wikilarge_017089608da0d2887c82,wikilarge_017089608da0d2887c82:0,medium,nonoverlap,nonoverlap,discovered,3230,15.774446487426758,15.315054893493652,14.914361953735352,-0.4006929397583008,0.45939159393310547,0.8600845336914062
