role,n_checkpoints,n,gain,repeated_nll,unrepeated_nll
OFF,3,2000.0,2.329915645196035,1.2873369888736723,3.617252634069707
SHUF,3,2000.0,2.1083507279677502,1.4102354562372719,3.518586184205022
