role,overlap_bin,token_class,n_pairs,mean_gain_T_vs_U,mean_gain_T_vs_N,mean_gain_U_vs_N,se_pair_gain_T_vs_U,se_pair_gain_T_vs_N,se_pair_gain_U_vs_N
OFF,ALL,ALL,1200,1.1490424656805893,1.185493386124985,0.03645092044439581,0.043836521615825706,0.045765371262171915,0.020128268772129383
OFF,ALL,nonoverlap,1200,-0.1777578507694933,-0.16469368159770967,0.013064169171783662,0.022876777523708255,0.026012904147475875,0.023310669087100753
OFF,ALL,overlap,1200,2.475842782130672,2.5356804538476796,0.059837671717007955,0.08536231343441762,0.08797159633209742,0.032581687108537254
OFF,high,ALL,400,1.3052167449581125,1.3521369517035782,0.046920206745465605,0.07730081343392285,0.08148285194547175,0.03272764632286575
OFF,high,nonoverlap,400,-0.2274452817440033,-0.18729533831278483,0.040149943431218464,0.04005545762274741,0.04626418455247724,0.03991217772411724
OFF,high,overlap,400,2.8378787716602285,2.8915692417199415,0.053690470059712725,0.15337832415273098,0.15684414459660276,0.0494318775323237
OFF,low,ALL,400,0.8779801671455304,0.9502636715521414,0.07228350440661113,0.06876065777320686,0.07148791439360205,0.03635965856651051
OFF,low,nonoverlap,400,-0.11521973212560019,-0.09064867079257966,0.02457106133302053,0.04059639233414415,0.04494983943095051,0.04147070353969594
OFF,low,overlap,400,1.871180066416661,1.9911760138968626,0.11999594748020172,0.1310085582723028,0.13628338596548126,0.06117482050919811
OFF,medium,ALL,400,1.2639304849381248,1.2540795351192355,-0.009850949818889298,0.07945854737542626,0.08295015313044131,0.03527545351816967
OFF,medium,nonoverlap,400,-0.19060853843887646,-0.21613703568776452,-0.025528497248888015,0.03796384200489812,0.04367582866437019,0.03964588065292801
OFF,medium,overlap,400,2.7184695083151262,2.724296105926235,0.005826597611109413,0.15330845172078264,0.15915707467728293,0.05789467010832368
SHUF,ALL,ALL,1200,0.8231737258243892,0.8882784698779385,0.06510474405354924,0.0352943243722568,0.03762866583397793,0.01892259887268027
SHUF,ALL,nonoverlap,1200,-0.10108517289161682,-0.051427009801069894,0.04965816309054693,0.017635523208424615,0.02358221856085255,0.02133762592131225
SHUF,ALL,overlap,1200,1.7474326245403953,1.8279839495569468,0.08055132501655154,0.0682945521286006,0.07106650409195182,0.03037596371356137
SHUF,high,ALL,400,0.8999461134150625,0.9646677309150498,0.06472161749998728,0.06193237061322128,0.06703645332819133,0.030058490824281397
SHUF,high,nonoverlap,400,-0.12937092622121177,-0.07048421541849771,0.058886710802714036,0.02916002222738314,0.035685892707928844,0.031159930379841723
SHUF,high,overlap,400,1.9292631530513367,1.9998196772485972,0.07055652419726054,0.12209186398145708,0.12991996604607112,0.048434937048717305
SHUF,low,ALL,400,0.608205027282238,0.7140597370763619,0.10585470979412398,0.052503920116732675,0.05842384010907799,0.03607641151839132
SHUF,low,nonoverlap,400,-0.06907411773999532,0.02505011151234309,0.0941242292523384,0.03290583556122314,0.04460481525050788,0.041749813473095206
SHUF,low,overlap,400,1.2854841723044714,1.403069362640381,0.11758519033590951,0.09914726789427496,0.10319998319384852,0.05733584615030324
SHUF,medium,ALL,400,0.9613700367758672,0.9861079416424036,0.02473790486653646,0.06664018634145909,0.06871405995192306,0.031770063325245505
SHUF,medium,nonoverlap,400,-0.1048104747136434,-0.10884692549705505,-0.004036450783411662,0.029349744902003715,0.041451711347668806,0.0370310216112957
SHUF,medium,overlap,400,2.0275505482653777,2.081062808781862,0.053512260516484576,0.12817330751999517,0.1312984228574693,0.051627936986495516
