checkpoint,device,elapsed_sec,records,role
chck_80M,cuda:0,20.21,32500,OFF
chck_90M,cuda:0,18.76,32500,OFF
chck_100M,cuda:0,18.96,32500,OFF
chck_80M,cuda:0,19.57,32500,SHUF
chck_90M,cuda:0,19.32,32500,SHUF
chck_100M,cuda:0,11.57,32500,SHUF
