tokenizer,arm,charged_words_total,active_tokens_total,active_ratio_vs_current_row256,mask_prob,expected_target_ratio_vs_current_row256,hidden_word_fraction,steps_total_stage_reset,mean_active_tokens_per_update,role
legal40k,current_row256_truncate_mask015,100000000,137061620,1.0,0.15,1.0,0.0128664,2530,54174.55335968379,measured current baseline
legal40k,current_prefix_64x3_128x4_256x3_do_not_use_as_leader_factor,100000000,86639145,0.6321182034766553,0.15,0.6321182034766553,0.368585,2530,34244.72134387352,existing prefix path; not a clean leader-factor test
legal40k,U256_chunked_visibility_mask015,100000000,139426440,1.0172536994674366,0.15,1.0172536994674366,0.0,2530,55109.264822134384,experience utilization at fixed sequence length
legal40k,U256_chunked_visibility_targetmatched,100000000,139426440,1.0172536994674366,0.14745584123068767,1.0,0.0,2530,55109.264822134384,experience utilization without extra expected target count
legal40k,U64_128_256_chunked_order_mask015,100000000,139426440,1.0172536994674366,0.15,1.0172536994674366,0.0,2530,55109.264822134384,length ordering after recovered visibility
legal40k,U64_128_256_chunked_order_targetmatched,100000000,139426440,1.0172536994674366,0.14745584123068767,1.0,0.0,2530,55109.264822134384,length ordering after recovered visibility without extra expected target count
legal40k,U64x7_256x3_chunked_order_mask015,100000000,139426440,1.0172536994674366,0.15,1.0172536994674366,0.0,2530,55109.264822134384,longer early local-context order after recovered visibility
minfreq25,current_row256_truncate_mask015,100000000,138713400,1.0,0.15,1.0,0.0144873,2530,54827.43083003953,measured current baseline
minfreq25,current_prefix_64x3_128x4_256x3_do_not_use_as_leader_factor,100000000,87141062,0.6282094015430376,0.15,0.6282094015430376,0.3737813,2530,34443.107509881425,existing prefix path; not a clean leader-factor test
minfreq25,U256_chunked_visibility_mask015,100000000,141385120,1.0192607203053201,0.15,1.0192607203053201,0.0,2530,55883.44664031621,experience utilization at fixed sequence length
minfreq25,U256_chunked_visibility_targetmatched,100000000,141385120,1.0192607203053201,0.14716548672165783,1.0,0.0,2530,55883.44664031621,experience utilization without extra expected target count
minfreq25,U64_128_256_chunked_order_mask015,100000000,141385120,1.0192607203053201,0.15,1.0192607203053201,0.0,2530,55883.44664031621,length ordering after recovered visibility
minfreq25,U64_128_256_chunked_order_targetmatched,100000000,141385120,1.0192607203053201,0.14716548672165783,1.0,0.0,2530,55883.44664031621,length ordering after recovered visibility without extra expected target count
minfreq25,U64x7_256x3_chunked_order_mask015,100000000,141385120,1.0192607203053201,0.15,1.0192607203053201,0.0,2530,55883.44664031621,longer early local-context order after recovered visibility
