arm,pair_id,category,match_level,pair_cost,target_class,target_token_len,target_freq_bin_a,target_freq_bin_b,distance_bin_a,distance_bin_b,target_norm_a,target_norm_b,pivot_norm_a,pivot_norm_b,true_m,true_m_a,true_m_b,tperm_m,cperm_m
compact,p0000000,temporal,0,3.03,content,1,101-250,101-250,3-4,1,trips,mister,when,when,18.01171749830246,14.968749701976776,3.0429677963256836,-2.005859851837158,8.240234375
compact,p0000001,spatial,0,0.0,content,1,1001+,1001+,2,2,blue,silver,onto,onto,12.187500040978193,3.875,8.312500040978193,-8.406250040978193,-11.156250451691449
compact,p0000002,temporal,0,2.0,content,1,501-1000,1001+,2,2,forth,heard,when,when,13.5400390625,5.290038585662842,8.250000476837158,2.309814453125,-1.7812495231628418
compact,p0000003,spatial,0,1.01,verbish,1,1001+,1001+,3-4,3-4,seemed,called,against,against,6.968750476837158,3.71875,3.250000476837158,-0.3476567268371582,-1.0624990463256836
compact,p0000004,causal_connector,0,7.05,verbish,1,501-1000,1001+,2,5-8,loved,going,because,because,20.57812511920929,9.15625,11.42187511920929,10.203125,4.298827767372131
compact,p0000005,temporal,0,2.02,verbish,1,1001+,1001+,1,3-4,even,children,when,when,10.109375238418579,2.875,7.234375238418579,5.63671875,0.203125
compact,p0000006,causal_connector,0,3.01,content,1,501-1000,251-500,2,3-4,quiet,babies,if,if,0.4609375,2.804687023162842,-2.343749523162842,0.98974609375,5.09375
compact,p0000007,spatial,0,1.01,content,1,1001+,1001+,1,2,already,feet,within,within,13.144530773162842,1.9375,11.207030773162842,5.847655773162842,5.46484375
compact,p0000008,temporal,0,4.0,content,2,1001+,251-500,1,1,best,to-day,after,after,8.257812738418579,6.265624761581421,1.9921879768371582,-4.691406726837158,3.75640869140625
compact,p0000009,spatial,0,0.0,adjectival,1,501-1000,501-1000,2,2,various,native,against,against,20.59375069104135,6.812500238418579,13.781250452622771,-5.382812976837158,-8.656249761581421
compact,p0000010,spatial,0,6.02,capitalized,1,1001+,251-500,1,3-4,church,catholic,through,through,15.15625037625432,8.531250335276127,6.625000040978193,-2.2265625,-3.562499523162842
compact,p0000011,temporal,0,4.02,capitalized,1,251-500,501-1000,5-8,3-4,rome,jesus,after,after,2.90625,3.9375,-1.03125,-2.05859375,-1.1484375
compact,p0000012,causal_connector,0,5.03,content,1,1001+,501-1000,3-4,5-8,can,brain,if,if,22.104371070861816,15.448120832443237,6.656250238418579,2.0927734375,7.50390625
compact,p0000013,temporal,0,6.02,verbish,1,501-1000,101-250,1,3-4,fighting,beaten,until,until,6.124999761581421,2.812499761581421,3.3125,-5.3515625,-6.28125
compact,p0000014,temporal,0,4.02,verbish,1,101-250,251-500,5-8,3-4,beaten,gained,until,until,4.875000476837158,4.500000476837158,0.375,-0.59375,0.4296875
compact,p0000015,temporal,0,5.05,content,2,1001+,1001+,5-8,1,number,you're,when,when,21.382811546325684,10.896483898162842,10.486327648162842,0.6816411018371582,-0.2343759536743164
compact,p0000016,temporal,0,6.06,content,1,1001+,1001+,1,5-8,number,keep,when,when,21.593749821186066,14.906250298023224,6.687499523162842,5.742188453674316,-1.6933603286743164
compact,p0000017,spatial,0,0.0,content,1,1001+,1001+,5-8,5-8,will,mommy,across,across,15.671875655651093,2.437500238418579,13.234375417232513,-6.44921875,-12.421874046325684
