contrast,n,mean,se,frac_positive,family,group,value
HMminusC,1221,-0.1745931894195282,0.0917020946738793,0.4963144963144963,entity_ablation,ALL,margin_full
HMminusR,1221,0.12715867264671726,0.07036605603864284,0.5266175266175266,entity_ablation,ALL,margin_full
HMminusV,1221,-0.697118041361091,0.0648394844210819,0.37346437346437344,entity_ablation,ALL,margin_full
RminusC,1221,-0.30175186206624544,0.08798743757203038,0.47092547092547093,entity_ablation,ALL,margin_full
VminusC,1221,0.5225248519415628,0.10067380873840034,0.5593775593775594,entity_ablation,ALL,margin_full
HMminusC,1221,-0.08506547878189975,0.033779605896637026,0.4488124488124488,entity_ablation,ALL,effect_no_initial_qbox
HMminusR,1221,-0.11652941111329795,0.03631684517169176,0.47911547911547914,entity_ablation,ALL,effect_no_initial_qbox
HMminusV,1221,0.5048159915682334,0.02859997134753687,0.7264537264537264,entity_ablation,ALL,effect_no_initial_qbox
RminusC,1221,0.03146393233139822,0.03834764508482949,0.46601146601146604,entity_ablation,ALL,effect_no_initial_qbox
VminusC,1221,-0.5898814703501332,0.03772590619781168,0.29975429975429974,entity_ablation,ALL,effect_no_initial_qbox
HMminusC,1221,0.07966790476586613,0.04211687936184746,0.5061425061425061,entity_ablation,ALL,effect_no_last_relevant_update
HMminusR,1221,0.0815885861412122,0.03761010332518332,0.5167895167895168,entity_ablation,ALL,effect_no_last_relevant_update
HMminusV,1221,0.3535224093892618,0.05224001892016004,0.5733005733005733,entity_ablation,ALL,effect_no_last_relevant_update
RminusC,1221,-0.0019206813753460655,0.04871062991257262,0.49385749385749383,entity_ablation,ALL,effect_no_last_relevant_update
VminusC,1221,-0.2738545046233957,0.0584310282124336,0.46027846027846026,entity_ablation,ALL,effect_no_last_relevant_update
HMminusC,1221,-0.014703292830855093,0.06911375607074016,0.49795249795249796,entity_ablation,ALL,effect_no_all_relevant_updates
HMminusR,1221,0.7691090094822339,0.07475885589699208,0.6101556101556102,entity_ablation,ALL,effect_no_all_relevant_updates
HMminusV,1221,-0.16243901012204495,0.06234321952532678,0.447993447993448,entity_ablation,ALL,effect_no_all_relevant_updates
RminusC,1221,-0.7838123023130891,0.0891823406958582,0.4045864045864046,entity_ablation,ALL,effect_no_all_relevant_updates
VminusC,1221,0.1477357172911899,0.07108636216580135,0.5364455364455365,entity_ablation,ALL,effect_no_all_relevant_updates
HMminusC,716,-0.16754458510114004,0.12753385630945924,0.5223463687150838,entity_ablation,rel_ge3,margin_full
HMminusR,716,0.15675197963670476,0.09040692389370786,0.5335195530726257,entity_ablation,rel_ge3,margin_full
HMminusV,716,-0.8480097547284496,0.08434613507561864,0.3477653631284916,entity_ablation,rel_ge3,margin_full
RminusC,716,-0.32429656473784474,0.11442447410227845,0.47067039106145253,entity_ablation,rel_ge3,margin_full
VminusC,716,0.6804651696273095,0.13696805129303627,0.5754189944134078,entity_ablation,rel_ge3,margin_full
HMminusC,716,-0.07596496818500469,0.0423059767308182,0.43435754189944137,entity_ablation,rel_ge3,effect_no_initial_qbox
HMminusR,716,-0.02519452037182212,0.025508085381485555,0.49860335195530725,entity_ablation,rel_ge3,effect_no_initial_qbox
HMminusV,716,0.4072643549526648,0.0316229612956882,0.7220670391061452,entity_ablation,rel_ge3,effect_no_initial_qbox
RminusC,716,-0.05077044781318257,0.04263097185034789,0.43435754189944137,entity_ablation,rel_ge3,effect_no_initial_qbox
VminusC,716,-0.4832293231376694,0.04196844327056979,0.29329608938547486,entity_ablation,rel_ge3,effect_no_initial_qbox
HMminusC,716,0.1261508187384898,0.049644764584930653,0.520949720670391,entity_ablation,rel_ge3,effect_no_last_relevant_update
HMminusR,716,-0.01612014466032968,0.03732935159673522,0.4888268156424581,entity_ablation,rel_ge3,effect_no_last_relevant_update
HMminusV,716,0.41184843174100366,0.06637254885977809,0.5642458100558659,entity_ablation,rel_ge3,effect_no_last_relevant_update
RminusC,716,0.14227096339881948,0.05326009191615545,0.5293296089385475,entity_ablation,rel_ge3,effect_no_last_relevant_update
VminusC,716,-0.2856976130025139,0.07568003208821547,0.4692737430167598,entity_ablation,rel_ge3,effect_no_last_relevant_update
HMminusC,716,0.09086607009505428,0.09604899160154301,0.5125698324022346,entity_ablation,rel_ge3,effect_no_all_relevant_updates
HMminusR,716,0.6940482056964609,0.09488559065403786,0.5935754189944135,entity_ablation,rel_ge3,effect_no_all_relevant_updates
HMminusV,716,-0.17151337536658876,0.08623111268642968,0.4399441340782123,entity_ablation,rel_ge3,effect_no_all_relevant_updates
RminusC,716,-0.6031821356014067,0.11770057358371276,0.4329608938547486,entity_ablation,rel_ge3,effect_no_all_relevant_updates
VminusC,716,0.26237944546164305,0.10020974311270574,0.5600558659217877,entity_ablation,rel_ge3,effect_no_all_relevant_updates
