contrast,n,mean,se,frac_positive,family,group,value
HMminusC,5892,0.2937639309908958,0.030932024305292297,0.5298710115410726,rewrite,ALL,gain
HMminusR,5892,0.7859872905888441,0.03127895384962991,0.6055668703326544,rewrite,ALL,gain
HMminusV,5892,-0.31888424298112245,0.026076777565711133,0.4382213170400543,rewrite,ALL,gain
HMminusRS,5892,0.7249240574774045,0.029758906517744238,0.6332315003394433,rewrite,ALL,gain
HMminusVS,5892,0.6277006144292453,0.030260583475575645,0.6113374066530889,rewrite,ALL,gain
RminusC,5892,-0.49222335959794833,0.030198043925461424,0.4243041412084182,rewrite,ALL,gain
VminusC,5892,0.6126481739720183,0.03391373234308198,0.5795994568906992,rewrite,ALL,gain
RSminusC,5892,-0.43116012648650864,0.027592222204702716,0.40852002715546504,rewrite,ALL,gain
VSminusC,5892,-0.3339366834383495,0.028148979028023286,0.4258316361167685,rewrite,ALL,gain
HMminusC,5892,-0.7429437480163922,0.02830680669210831,0.296673455532926,rewrite,ALL,true_source_nll
HMminusR,5892,-0.9013570998794195,0.02853652835291472,0.38153428377460963,rewrite,ALL,true_source_nll
HMminusV,5892,0.3057319644377425,0.021550732489751298,0.5891038696537678,rewrite,ALL,true_source_nll
HMminusRS,5892,-0.5134267931888135,0.02663549408480644,0.296673455532926,rewrite,ALL,true_source_nll
HMminusVS,5892,-0.29248906188353546,0.02567951911947899,0.34758995247793617,rewrite,ALL,true_source_nll
RminusC,5892,0.1584133518630272,0.02668446817101402,0.42192803801765105,rewrite,ALL,true_source_nll
VminusC,5892,-1.0486757124541346,0.031712346114517787,0.2542430414120842,rewrite,ALL,true_source_nll
RSminusC,5892,-0.22951695482757864,0.024058289675799514,0.5159538357094365,rewrite,ALL,true_source_nll
VSminusC,5892,-0.45045468613285683,0.02525345247850304,0.45553292600135775,rewrite,ALL,true_source_nll
HMminusC,5892,-0.4491798170254964,0.022717950651725414,0.3957909029192125,rewrite,ALL,unrelated_source_nll
HMminusR,5892,-0.11536980929057533,0.018772049832490614,0.46130346232179226,rewrite,ALL,unrelated_source_nll
HMminusV,5892,-0.013152278543379975,0.01887983509881367,0.4937202987101154,rewrite,ALL,unrelated_source_nll
HMminusRS,5892,0.21149726428859092,0.02129451433884307,0.5622878479293958,rewrite,ALL,unrelated_source_nll
HMminusVS,5892,0.33521155254570983,0.021826379431158248,0.5855397148676171,rewrite,ALL,unrelated_source_nll
RminusC,5892,-0.3338100077349211,0.021424893983401586,0.4300746775288527,rewrite,ALL,unrelated_source_nll
VminusC,5892,-0.4360275384821164,0.023277184539727314,0.4076714188730482,rewrite,ALL,unrelated_source_nll
RSminusC,5892,-0.6606770813140874,0.02229736085215568,0.35098438560760353,rewrite,ALL,unrelated_source_nll
