family,role,checkpoint,group,n,mean_gain,mean_intact_nll,mean_control_nll,mean_true_source_nll,mean_unrelated_source_nll,mean_margin_full,mean_effect_no_initial_qbox,mean_effect_no_last_relevant_update,mean_effect_no_all_relevant_updates
rewrite,RS,chck_80M,ALL,5892,0.785677165885564,,,8.652992366024693,9.438669531910255,,,,
rewrite,RS,chck_80M,token_nonoverlap,2732,0.6351608941181512,,,8.919991350409576,9.555152244527727,,,,
rewrite,RS,chck_80M,token_overlap,3160,0.9158070565401754,,,8.42215653522105,9.337963591761227,,,,
rewrite,RS,chck_90M,ALL,5892,0.8194550323955719,,,8.42896104121969,9.248416073615262,,,,
rewrite,RS,chck_90M,token_nonoverlap,2732,0.6610205105422705,,,8.742270712883895,9.403291223426166,,,,
rewrite,RS,chck_90M,token_overlap,3160,0.9564307012889959,,,8.158086983312534,9.11451768460153,,,,
rewrite,V,chck_100M,ALL,5892,1.1575519555910299,,,7.573535940286786,8.731087895877817,,,,
rewrite,V,chck_100M,token_nonoverlap,2732,0.7968469062822804,,,8.056563733470126,8.853410639752406,,,,
rewrite,V,chck_100M,token_overlap,3160,1.4694020172085942,,,7.155930898838405,8.625332916047,,,,
rewrite,V,chck_60M,ALL,5892,0.590388941667716,,,8.771175999545921,9.361564941213638,,,,
rewrite,V,chck_60M,token_nonoverlap,2732,0.2516569238630605,,,9.152561237487403,9.404218161350462,,,,
rewrite,V,chck_60M,token_overlap,3160,0.8832420659216145,,,8.441446736869933,9.324688802791547,,,,
rewrite,V,chck_70M,ALL,5892,0.9744272395331116,,,8.301260515915967,9.275687755449079,,,,
rewrite,V,chck_70M,token_nonoverlap,2732,0.6940613794379143,,,8.648098192225438,9.342159571663352,,,,
rewrite,V,chck_70M,token_overlap,3160,1.2168194957926304,,,8.001399588169932,9.21821908396256,,,,
rewrite,V,chck_80M,ALL,5892,1.0875850800938212,,,7.880654889015381,8.968239969109202,,,,
rewrite,V,chck_80M,token_nonoverlap,2732,0.7842951703974828,,,8.29622282188162,9.080517992279104,,,,
rewrite,V,chck_80M,token_overlap,3160,1.34979648303382,,,7.521372739461404,8.871169222495224,,,,
rewrite,V,chck_90M,ALL,5892,1.148249484922355,,,7.616111714248745,8.7643611991711,,,,
rewrite,V,chck_90M,token_nonoverlap,2732,0.7912675558888022,,,8.089001487433299,8.880269043322102,,,,
rewrite,V,chck_90M,token_overlap,3160,1.4568806969855406,,,7.207271568571465,8.664152265557005,,,,
entity,C,chck_100M,ALL,1221,,,,,,0.15293151926154686,0.0762747505665997,-0.2609095078428489,-0.18912105400185425
entity,C,chck_100M,rel_ge2,1205,,,,,,0.14956844782928214,0.07603944505398699,-0.25992809519233545,-0.1871864336654853
entity,C,chck_100M,rel_ge3,716,,,,,,0.13753083281676862,0.07218431061206583,-0.2747965571600632,-0.24022196108402485
entity,C,chck_100M,rel_updates_1,16,,,,,,0.40621283650398254,0.09399619698524475,-0.3348221480846405,-0.3348221480846405
entity,C,chck_100M,rel_updates_2,489,,,,,,0.16719407635476205,0.08168418178285314,-0.23815750466290184,-0.10953114198516971
