family,group,contrast,role_a,role_b,n_checkpoints,n_a,n_b,late_mean_delta_mean_gain_a_minus_b,late_sd_delta_mean_gain_a_minus_b,positive_checkpoints_mean_gain,negative_checkpoints_mean_gain,late_mean_delta_mean_intact_nll_a_minus_b,late_sd_delta_mean_intact_nll_a_minus_b,positive_checkpoints_mean_intact_nll,negative_checkpoints_mean_intact_nll,late_mean_delta_mean_control_nll_a_minus_b,late_sd_delta_mean_control_nll_a_minus_b,positive_checkpoints_mean_control_nll,negative_checkpoints_mean_control_nll,late_mean_delta_mean_true_source_nll_a_minus_b,late_sd_delta_mean_true_source_nll_a_minus_b,positive_checkpoints_mean_true_source_nll,negative_checkpoints_mean_true_source_nll,late_mean_delta_mean_unrelated_source_nll_a_minus_b,late_sd_delta_mean_unrelated_source_nll_a_minus_b,positive_checkpoints_mean_unrelated_source_nll,negative_checkpoints_mean_unrelated_source_nll,late_mean_delta_mean_margin_full_a_minus_b,late_sd_delta_mean_margin_full_a_minus_b,positive_checkpoints_mean_margin_full,negative_checkpoints_mean_margin_full,late_mean_delta_mean_effect_no_initial_qbox_a_minus_b,late_sd_delta_mean_effect_no_initial_qbox_a_minus_b,positive_checkpoints_mean_effect_no_initial_qbox,negative_checkpoints_mean_effect_no_initial_qbox,late_mean_delta_mean_effect_no_last_relevant_update_a_minus_b,late_sd_delta_mean_effect_no_last_relevant_update_a_minus_b,positive_checkpoints_mean_effect_no_last_relevant_update,negative_checkpoints_mean_effect_no_last_relevant_update,late_mean_delta_mean_effect_no_all_relevant_updates_a_minus_b,late_sd_delta_mean_effect_no_all_relevant_updates_a_minus_b,positive_checkpoints_mean_effect_no_all_relevant_updates,negative_checkpoints_mean_effect_no_all_relevant_updates
rewrite,ALL,VminusC,V,C,5,5892,5892,0.10578752162601379,0.07314749722690769,4,1,,,,,,,,,-0.550159189435834,0.07810356234728114,0,5,-0.44437166780981946,0.09987429866948265,0,5,,,,,,,,,,,,,,,,
rewrite,ALL,VminusR,V,R,5,5892,5892,0.4271915480555196,0.22497662727841547,5,0,,,,,,,,,-0.9325861616324422,0.47744992793170626,0,5,-0.5053946135769223,0.282292185596735,0,5,,,,,,,,,,,,,,,,
rewrite,ALL,CminusR,C,R,5,5892,5892,0.32140402642950583,0.17887615134391105,5,0,,,,,,,,,-0.38242697219660826,0.42463660047018936,1,4,-0.061022945767102856,0.2467840494499765,2,3,,,,,,,,,,,,,,,,
rewrite,ALL,RSminusV,RS,V,5,5892,5892,-0.3221592143946817,0.05835755538454769,0,5,,,,,,,,,0.7030769045154257,0.20541802192455288,5,0,0.3809176901207433,0.1661926429535245,5,0,,,,,,,,,,,,,,,,
rewrite,token_nonoverlap,RminusC,R,C,5,2732,2732,-0.3982749963836474,0.12142988559537092,0,5,,,,,,,,,0.49243503383975773,0.3437643649601364,4,1,0.09416003745611015,0.2273951109624056,3,2,,,,,,,,,,,,,,,,
rewrite,token_nonoverlap,RSminusC,RS,C,5,2732,2732,-0.10144853994228478,0.10544743723949605,0,5,,,,,,,,,0.060299488862820994,0.10129138045917135,4,1,-0.04114905107946356,0.19290094070701533,3,2,,,,,,,,,,,,,,,,
rewrite,token_nonoverlap,RminusRS,R,RS,5,2732,2732,-0.29682645644136263,0.22634711135961744,1,4,,,,,,,,,0.43213554497693674,0.2940703068938974,5,0,0.13530908853557372,0.14121517727440008,4,1,,,,,,,,,,,,,,,,
rewrite,token_nonoverlap,RSminusR,RS,R,5,2732,2732,0.29682645644136263,0.22634711135961744,4,1,,,,,,,,,-0.43213554497693674,0.2940703068938974,0,5,-0.13530908853557372,0.14121517727440008,1,4,,,,,,,,,,,,,,,,
rewrite,token_nonoverlap,VminusC,V,C,5,2732,2732,0.06659204327824526,0.11312306163939974,4,1,,,,,,,,,-0.5115715773462555,0.08895107103755337,0,5,-0.4449795340680101,0.08448899353004667,0,5,,,,,,,,,,,,,,,,
rewrite,token_nonoverlap,VminusR,V,R,5,2732,2732,0.46486703966189263,0.2239170274389583,5,0,,,,,,,,,-1.004006611186013,0.4196474179316099,0,5,-0.5391395715241203,0.24316701093623816,0,5,,,,,,,,,,,,,,,,
rewrite,token_nonoverlap,CminusR,C,R,5,2732,2732,0.3982749963836474,0.12142988559537092,5,0,,,,,,,,,-0.49243503383975773,0.3437643649601364,1,4,-0.09416003745611015,0.2273951109624056,2,3,,,,,,,,,,,,,,,,
rewrite,token_nonoverlap,RSminusV,RS,V,5,2732,2732,-0.16804058322053006,0.05952116886834357,0,5,,,,,,,,,0.5718710662090765,0.15923624092260028,5,0,0.4038304829885465,0.15795870381655397,5,0,,,,,,,,,,,,,,,,
rewrite,token_overlap,RminusC,R,C,5,3160,3160,-0.2549446941780139,0.23236777761426614,1,4,,,,,,,,,0.28731873662411384,0.49552811255048135,3,2,0.03237404244609969,0.26360096933672306,3,2,,,,,,,,,,,,,,,,
rewrite,token_overlap,RSminusC,RS,C,5,3160,3160,-0.315729304642617,0.05023895662188427,0,5,,,,,,,,,0.23299144736573627,0.26233912361059414,4,1,-0.08273785727688007,0.22945594650255463,2,3,,,,,,,,,,,,,,,,
rewrite,token_overlap,RminusRS,R,RS,5,3160,3160,0.06078461046460306,0.18455521876880066,2,3,,,,,,,,,0.05432728925837758,0.38280131234051085,3,2,0.11511189972297978,0.24089800668229502,4,1,,,,,,,,,,,,,,,,
rewrite,token_overlap,RSminusR,RS,R,5,3160,3160,-0.06078461046460306,0.18455521876880066,3,2,,,,,,,,,-0.05432728925837758,0.38280131234051085,2,3,-0.11511189972297978,0.24089800668229502,1,4,,,,,,,,,,,,,,,,
rewrite,token_overlap,VminusC,V,C,5,3160,3160,0.13967424531148956,0.050500537223004675,5,0,,,,,,,,,-0.5835203781158109,0.08894128972579654,0,5,-0.4438461328043214,0.11619002011989153,0,5,,,,,,,,,,,,,,,,
rewrite,token_overlap,VminusR,V,R,5,3160,3160,0.3946189394895035,0.23412309833735526,4,1,,,,,,,,,-0.8708391147399247,0.5325358656098711,0,5,-0.4762201752504211,0.316341615861384,0,5,,,,,,,,,,,,,,,,
rewrite,token_overlap,CminusR,C,R,5,3160,3160,0.2549446941780139,0.23236777761426614,4,1,,,,,,,,,-0.28731873662411384,0.49552811255048135,2,3,-0.03237404244609969,0.26360096933672306,2,3,,,,,,,,,,,,,,,,
rewrite,token_overlap,RSminusV,RS,V,5,3160,3160,-0.45540354995410653,0.07675154729106086,0,5,,,,,,,,,0.8165118254815471,0.2453796099892385,5,0,0.36110827552744135,0.1760942887066164,5,0,,,,,,,,,,,,,,,,
entity,ALL,RminusC,R,C,5,1221,1221,,,,,,,,,,,,,,,,,,,,,0.1660926777842004,0.0639933702689324,5,0,0.04760252533146439,0.05044523553513632,4,1,-0.11553751975175887,0.041281065790537655,0,5,-0.08524081238364704,0.04886388212863044,0,5
entity,ALL,RSminusC,RS,C,5,1221,1221,,,,,,,,,,,,,,,,,,,,,0.14995343202845568,0.05021817425546095,5,0,-0.005536743952152085,0.028683907022435128,3,2,0.006353559169878642,0.017282981199167942,4,1,-0.023078170611563514,0.039007486871588344,2,3
entity,ALL,RminusRS,R,RS,5,1221,1221,,,,,,,,,,,,,,,,,,,,,0.016139245755744706,0.02633684798853355,4,1,0.05313926928361647,0.02392940780852365,5,0,-0.12189107892163752,0.028999546706875944,0,5,-0.062162641772083534,0.012051110221390195,0,5
entity,ALL,RSminusR,RS,R,5,1221,1221,,,,,,,,,,,,,,,,,,,,,-0.016139245755744706,0.02633684798853355,1,4,-0.05313926928361647,0.02392940780852365,0,5,0.12189107892163752,0.028999546706875944,5,0,0.062162641772083534,0.012051110221390195,5,0
