family,group,contrast,checkpoint,role_a,role_b,n_a,n_b,mean_mean_gain_a,mean_mean_gain_b,delta_mean_gain_a_minus_b,mean_mean_intact_nll_a,mean_mean_intact_nll_b,delta_mean_intact_nll_a_minus_b,mean_mean_control_nll_a,mean_mean_control_nll_b,delta_mean_control_nll_a_minus_b,mean_mean_true_source_nll_a,mean_mean_true_source_nll_b,delta_mean_true_source_nll_a_minus_b,mean_mean_unrelated_source_nll_a,mean_mean_unrelated_source_nll_b,delta_mean_unrelated_source_nll_a_minus_b,mean_mean_margin_full_a,mean_mean_margin_full_b,delta_mean_margin_full_a_minus_b,mean_mean_effect_no_initial_qbox_a,mean_mean_effect_no_initial_qbox_b,delta_mean_effect_no_initial_qbox_a_minus_b,mean_mean_effect_no_last_relevant_update_a,mean_mean_effect_no_last_relevant_update_b,delta_mean_effect_no_last_relevant_update_a_minus_b,mean_mean_effect_no_all_relevant_updates_a,mean_mean_effect_no_all_relevant_updates_b,delta_mean_effect_no_all_relevant_updates_a_minus_b
copy,ALL,RminusC,chck_60M,R,C,4000,4000,0.43540837198495863,0.2617514119744301,0.17365696001052855,5.800646483778953,5.571381368204952,0.22926511557400175,6.236054855763912,5.8331327801793815,0.40292207558453086,,,,,,,,,,,,,,,,,,
copy,ALL,RminusC,chck_70M,R,C,4000,4000,0.4460612555295229,0.3625490178260952,0.0835122377034277,5.7236269392818215,4.791870601396076,0.9317563378857452,6.169688194811344,5.154419619222171,1.0152685755891726,,,,,,,,,,,,,,,,,,
copy,ALL,RminusC,chck_80M,R,C,4000,4000,0.36419747933745383,0.47747348228388,-0.11327600294642615,5.755540559738875,4.213195323822089,1.5423452359167857,6.119738039076328,4.690668806105968,1.4290692329703596,,,,,,,,,,,,,,,,,,
copy,ALL,RminusC,chck_90M,R,C,4000,4000,0.33514501313865186,0.5245989203406498,-0.18945390720199795,5.76493842702359,4.069137222823687,1.6958012041999027,6.1000834401622415,4.593736143164337,1.5063472969979044,,,,,,,,,,,,,,,,,,
copy,ALL,RminusC,chck_100M,R,C,4000,4000,0.3280692169740796,0.5260619512926787,-0.19799273431859915,5.771707483939826,4.0503161807755825,1.7213913031642436,6.099776700913906,4.576378132068261,1.5233985688456446,,,,,,,,,,,,,,,,,,
copy,ALL,RSminusC,chck_60M,RS,C,4000,4000,0.3237601530700922,0.2617514119744301,0.06200874109566212,5.92551397138834,5.571381368204952,0.35413260318338846,6.249274124458432,5.8331327801793815,0.41614134427905025,,,,,,,,,,,,,,,,,,
copy,ALL,RSminusC,chck_70M,RS,C,4000,4000,0.24560272104106842,0.3625490178260952,-0.1169462967850268,5.68861446950864,4.791870601396076,0.8967438681125639,5.934217190549709,5.154419619222171,0.7797975713275376,,,,,,,,,,,,,,,,,,
copy,ALL,RSminusC,chck_80M,RS,C,4000,4000,0.29669422159250824,0.47747348228388,-0.18077926069137173,5.148552638658322,4.213195323822089,0.9353573148362333,5.445246860250831,4.690668806105968,0.7545780541448623,,,,,,,,,,,,,,,,,,
copy,ALL,RSminusC,chck_90M,RS,C,4000,4000,0.3258064881516621,0.5245989203406498,-0.19879243218898773,4.9063691506898035,4.069137222823687,0.8372319278661164,5.232175638841465,4.593736143164337,0.6384394956771278,,,,,,,,,,,,,,,,,,
copy,ALL,RSminusC,chck_100M,RS,C,4000,4000,0.33019862610194833,0.5260619512926787,-0.1958633251907304,4.865292392804287,4.0503161807755825,0.8149762120287045,5.195491018906235,4.576378132068261,0.619112886837974,,,,,,,,,,,,,,,,,,
