grad_decile_low_to_high,mean_log1p_norm_delta2,mean_log1p_norm_delta2_within_tensor_shuffle_null,mean_log1p_norm_grad2,n,route
1,0.5070149824551264,0.5048016966916262,0.005556180168959445,12164,scale1p75_100M_stock_minus_step35_100M
2,0.5264717360528847,0.5095574350520795,0.02457534008235565,12164,scale1p75_100M_stock_minus_step35_100M
3,0.5240657741244881,0.5135711175229143,0.05303569064855047,12164,scale1p75_100M_stock_minus_step35_100M
4,0.5188855207831323,0.5103710403570902,0.09326051161690337,12164,scale1p75_100M_stock_minus_step35_100M
5,0.5108045782258507,0.5099344215521674,0.15006858082497368,12164,scale1p75_100M_stock_minus_step35_100M
6,0.5066496065418014,0.5067314201295974,0.23032149950955622,12164,scale1p75_100M_stock_minus_step35_100M
7,0.5171053403422183,0.5072054763421259,0.3489571332328808,12164,scale1p75_100M_stock_minus_step35_100M
8,0.510328452898557,0.5159581269627762,0.5333877022732484,12164,scale1p75_100M_stock_minus_step35_100M
9,0.50611245462267,0.5121736824416145,0.847521206700304,12164,scale1p75_100M_stock_minus_step35_100M
10,0.49019750391411315,0.5012444355639805,1.6947226581488029,12164,scale1p75_100M_stock_minus_step35_100M
1,0.4755438739517539,0.4837538794952875,0.0055005479885083435,12164,u256_100M_minus_step35_100M
2,0.5177274777738405,0.5161288811517686,0.024447774644791028,12164,u256_100M_minus_step35_100M
3,0.5166136689356003,0.5153208005566954,0.052866295640029454,12164,u256_100M_minus_step35_100M
4,0.5180101974877352,0.5067110356163712,0.09314833752399349,12164,u256_100M_minus_step35_100M
5,0.5146588201394575,0.5046838108338886,0.15042194690394856,12164,u256_100M_minus_step35_100M
6,0.5139241469934461,0.5107943355924122,0.23109189497747337,12164,u256_100M_minus_step35_100M
7,0.5126075236676809,0.5138291314438457,0.3497701517745132,12164,u256_100M_minus_step35_100M
8,0.5195406671796035,0.5154957295353956,0.5347141330079866,12164,u256_100M_minus_step35_100M
9,0.5177657929635702,0.5097809496274384,0.8484083496252199,12164,u256_100M_minus_step35_100M
10,0.4977183569926196,0.508652147570218,1.6869678824934196,12164,u256_100M_minus_step35_100M
1,0.5211534876721584,0.5107360451177972,0.005429465334262262,12164,reference_100M_minus_step35_80M_normal_late_movement
2,0.5424696227239539,0.5307952754700964,0.024218806892508486,12164,reference_100M_minus_step35_80M_normal_late_movement
3,0.5461691277474189,0.5182637558191548,0.052557889121593475,12164,reference_100M_minus_step35_80M_normal_late_movement
4,0.5276107592120566,0.5305929987155319,0.09276155138003007,12164,reference_100M_minus_step35_80M_normal_late_movement
5,0.5359462861778876,0.5349342574451987,0.14927098206901326,12164,reference_100M_minus_step35_80M_normal_late_movement
6,0.5240280828897846,0.5246016492591774,0.22926331331309657,12164,reference_100M_minus_step35_80M_normal_late_movement
7,0.5154473991930886,0.5274846011106517,0.3473788094644051,12164,reference_100M_minus_step35_80M_normal_late_movement
8,0.5164077151075864,0.5321262554499757,0.5341476650270965,12164,reference_100M_minus_step35_80M_normal_late_movement
9,0.5128045642229235,0.5284285970170463,0.8505018427061509,12164,reference_100M_minus_step35_80M_normal_late_movement
10,0.5054237883745228,0.5242402925392772,1.6956310515751065,12164,reference_100M_minus_step35_80M_normal_late_movement
