delta2_mean,delta2_rel_to_ref2,delta2_sum,grad2_mean,grad2_sum,group,n_params,route,tensor
0.0005996509144703548,0.348304425453821,4715.8466796875,2.8121035332636286e-06,22.11528205871582,embeddings,7864320,scale1p75_100M_stock_minus_step35_100M,deberta.embeddings.word_embeddings.weight
0.0009865342908435399,0.8570383011686795,909.1900024414062,3.584121198703845e-06,3.303126096725464,layer6_ffn_output,921600,scale1p75_100M_stock_minus_step35_100M,deberta.encoder.layer.6.intermediate.dense.weight
0.0009771366251839532,0.8451062572579351,900.5291137695312,1.440449928243955e-05,13.275186538696289,layer7_ffn_output,921600,scale1p75_100M_stock_minus_step35_100M,deberta.encoder.layer.7.intermediate.dense.weight
0.0009700103600819906,0.8356477772985259,893.9615478515625,5.1061338227656155e-06,4.705812931060791,layer5_ffn_output,921600,scale1p75_100M_stock_minus_step35_100M,deberta.encoder.layer.5.intermediate.dense.weight
0.0009574956364101834,0.829347796033343,882.427978515625,6.231982260942459e-06,5.74339485168457,layer4_ffn_output,921600,scale1p75_100M_stock_minus_step35_100M,deberta.encoder.layer.4.intermediate.dense.weight
0.0009186972512139214,0.8089541936860133,846.67138671875,6.3889892771840096e-06,5.888092517852783,layer3_ffn_output,921600,scale1p75_100M_stock_minus_step35_100M,deberta.encoder.layer.3.intermediate.dense.weight
0.0008784614668952094,0.786250763766106,809.590087890625,6.670497564805878e-06,6.147530555725098,layer2_ffn_output,921600,scale1p75_100M_stock_minus_step35_100M,deberta.encoder.layer.2.intermediate.dense.weight
0.003107697698805067,1.0190630989278142,716.0135498046875,4.70660602837193e-10,0.00010844020289368927,layer6_attention,230400,scale1p75_100M_stock_minus_step35_100M,deberta.encoder.layer.6.attention.self.pos_key_proj.weight
0.0007456007930967543,0.7306620950778838,687.1456909179688,2.480843880524238e-06,2.2863457202911377,layer1_ffn_output,921600,scale1p75_100M_stock_minus_step35_100M,deberta.encoder.layer.1.intermediate.dense.weight
0.0006993208328882853,0.8367053871245484,644.4940795898438,3.0283236669169534e-06,2.790903091430664,layer7_ffn_output,921600,scale1p75_100M_stock_minus_step35_100M,deberta.encoder.layer.7.output.dense.weight
0.0006660006443659465,0.8581862653986746,613.7861938476562,3.2871164795425204e-06,3.0294065475463867,layer6_ffn_output,921600,scale1p75_100M_stock_minus_step35_100M,deberta.encoder.layer.6.output.dense.weight
0.0025705554750230578,0.8361975198593767,592.2559814453125,2.8724643799351825e-10,6.61815793137066e-05,layer5_attention,230400,scale1p75_100M_stock_minus_step35_100M,deberta.encoder.layer.5.attention.self.pos_key_proj.weight
0.0025344893667433,0.9649581787245545,583.9463500976562,6.401100765490103e-10,0.00014748136163689196,layer6_attention,230400,scale1p75_100M_stock_minus_step35_100M,deberta.encoder.layer.6.attention.self.pos_query_proj.weight
0.0006315188275443183,0.8110217509064189,582.0077514648438,3.1166039924654696e-06,2.8722622394561768,layer5_ffn_output,921600,scale1p75_100M_stock_minus_step35_100M,deberta.encoder.layer.5.output.dense.weight
0.0006133801407284206,0.801602316630721,565.2911376953125,4.411733502315151e-06,4.065853595733643,layer4_ffn_output,921600,scale1p75_100M_stock_minus_step35_100M,deberta.encoder.layer.4.output.dense.weight
0.0006066710419125027,0.6654497348386036,559.1080322265625,1.1574740832050642e-06,1.066728115081787,layer0_ffn_output,921600,scale1p75_100M_stock_minus_step35_100M,deberta.encoder.layer.0.intermediate.dense.weight
0.0005820482307010227,0.77450026393502,536.4156494140625,4.4002249423000545e-06,4.0552473068237305,layer3_ffn_output,921600,scale1p75_100M_stock_minus_step35_100M,deberta.encoder.layer.3.output.dense.weight
0.002316281000773112,0.7348099955770221,533.671142578125,2.660959176460488e-09,0.0006130849942564964,layer7_attention,230400,scale1p75_100M_stock_minus_step35_100M,deberta.encoder.layer.7.attention.self.pos_key_proj.weight
0.002245413992140028,0.8777617771308481,517.3433837890625,4.2137031641686916e-10,9.708372090244666e-05,layer5_attention,230400,scale1p75_100M_stock_minus_step35_100M,deberta.encoder.layer.5.attention.self.pos_query_proj.weight
0.0021834762891133628,0.6988821493664157,503.07293701171875,5.8268106941896905e-09,0.0013424971839413047,layer1_attention,230400,scale1p75_100M_stock_minus_step35_100M,deberta.encoder.layer.1.attention.self.pos_key_proj.weight
