arm,pair_id,category,match_level,pair_cost,target_class,target_token_len,target_freq_bin_a,target_freq_bin_b,distance_bin_a,distance_bin_b,target_norm_a,target_norm_b,pivot_norm_a,pivot_norm_b,true_m,true_m_a,true_m_b,tperm_m,cperm_m
compact,p0005340,comparative,1,2.1,content,1,51-100,51-100,2,1,insult,kisses,than,more,9.945861339569092,5.13710880279541,4.808752536773682,-1.1434526443481445,-0.6450080871582031
compact,p0005341,comparative,0,0.0,content,1,51-100,51-100,1,1,cheaper,unions,than,most,11.477495670318604,6.4071245193481445,5.070371150970459,2.9786410331726074,-3.253652572631836
compact,p0005342,comparative,0,0.0,content,1,101-250,101-250,1,1,beast,stronger,greater,than,11.176810264587402,1.7253923416137695,9.451417922973633,-2.7869787216186523,-1.2197751998901367
compact,p0005343,comparative,0,0.0,content,1,101-250,101-250,1,1,delicate,stronger,more,than,10.594801187515259,0.7030396461486816,9.891761541366577,2.517670154571533,6.634542465209961
compact,p0005344,comparative,0,0.022,content,1,101-250,101-250,1,1,connect,demand,better,greater,7.247494697570801,2.86923885345459,4.378255844116211,-3.907931327819824,2.650096893310547
compact,p0005345,comparative,0,0.0,content,1,101-250,101-250,3-4,3-4,interfere,tend,better,longer,13.70024299621582,5.390669345855713,8.309573650360107,-6.659523963928223,6.4317626953125
compact,p0005346,comparative,0,0.0,content,1,101-250,101-250,1,1,louder,farther,than,than,1.5230917930603027,3.8103580474853516,-2.287266254425049,7.774440765380859,-0.3846778869628906
compact,p0005347,comparative,0,0.0,content,1,101-250,101-250,1,1,stronger,sales,than,higher,17.838014125823975,12.47734785079956,5.360666275024414,-2.516967296600342,-2.290717363357544
compact,p0005348,comparative,0,0.0,content,1,101-250,101-250,1,1,unfortunate,confident,more,than,1.0258255004882812,-0.2313671112060547,1.257192611694336,3.2206802368164062,3.7264604568481445
compact,p0005349,comparative,0,0.0,content,1,251-500,251-500,1,1,commission,younger,better,than,22.335439205169678,7.641565322875977,14.693873882293701,5.607690811157227,1.1988601684570312
compact,p0005350,comparative,1,2.1,content,1,251-500,251-500,2,1,impact,workers,than,more,6.489302635192871,1.928985595703125,4.560317039489746,5.410637855529785,4.584909439086914
compact,p0005351,comparative,0,0.0,content,1,501-1000,501-1000,1,1,journey,further,longer,than,13.290212869644165,5.835100889205933,7.455111980438232,7.376687526702881,12.613332748413086
