ContextDiff,n,lost_correct,gained_correct,net_correct_gain_b_minus_a,added_stable_failure,removed_stable_failure,net_stable_failure_b_minus_a,lost_frac,gain_frac
antonym,3374,196,217,21,176,216,-40,0.058091286307053944,0.06431535269709543
variable swap,2564,95,109,14,91,111,-20,0.037051482059282374,0.04251170046801872
negation,190,8,19,11,4,22,-18,0.042105263157894736,0.1
material,840,48,52,4,57,70,-13,0.05714285714285714,0.06190476190476191
other,490,36,30,-6,35,24,11,0.07346938775510205,0.061224489795918366
game,20,1,4,3,0,4,-4,0.05,0.2
number,80,6,4,-2,6,3,3,0.075,0.05
variable_swap,30,0,2,2,1,1,0,0.0,0.06666666666666667
active-passive,30,2,2,0,0,0,0,0.06666666666666667,0.06666666666666667
