component,official_fixed_subtask_exact_delta,payload_delta,n_subtasks,n_items,bootstrap,pair_name,official_fixed_split_exact_delta,raw_unrounded_delta,raw_unrounded_a,raw_unrounded_b,bootstrap_raw_unrounded
BLiMP,0.14054738743210193,0.14000000000000057,67,59875,"{""ci_2p5"": 0.06338601983103045, ""ci_50"": 0.14286174738625032, ""ci_97p5"": 0.21877642601943675, ""fraction_gt_0"": 1.0, ""fraction_lt_0"": 0.0, ""mean"": 0.14219301747845353, ""n_boot"": 600, ""std"": 0.039271772619226}",clean64_vs_exact_MS,,,,,
Supplement,0.19553612596148653,0.20000000000000284,5,5218,"{""ci_2p5"": -0.12638196221259745, ""ci_50"": 0.17914682735457466, ""ci_97p5"": 0.5415392174914782, ""fraction_gt_0"": 0.8766666666666667, ""fraction_lt_0"": 0.12166666666666667, ""mean"": 0.19448278910018937, ""n_boot"": 600, ""std"": 0.17639012831950704}",clean64_vs_exact_MS,,,,,
EWoK,-0.1300396326343411,-0.13000000000000256,11,7618,"{""ci_2p5"": -0.5919936767309184, ""ci_50"": -0.13219095064377, ""ci_97p5"": 0.32818509145586044, ""fraction_gt_0"": 0.29, ""fraction_lt_0"": 0.71, ""mean"": -0.1340062871719303, ""n_boot"": 600, ""std"": 0.24331708893052206}",clean64_vs_exact_MS,,,,,
Entity,0.007425604250764504,0.00999999999999801,18,6780,"{""ci_2p5"": -0.27067610840605816, ""ci_50"": 0.008550065497592615, ""ci_97p5"": 0.2821365006259649, ""fraction_gt_0"": 0.5216666666666666, ""fraction_lt_0"": 0.47833333333333333, ""mean"": 0.013179650545833275, ""n_boot"": 600, ""std"": 0.14643736091829956}",clean64_vs_exact_MS,,,,,
COMPS,0.011653830563437374,0.00999999999999801,4,91028,"{""ci_2p5"": -0.1194123067846174, ""ci_50"": 0.013416081918631643, ""ci_97p5"": 0.14224412722899088, ""fraction_gt_0"": 0.575, ""fraction_lt_0"": 0.425, ""mean"": 0.010690921303015192, ""n_boot"": 600, ""std"": 0.06673600846021978}",clean64_vs_exact_MS,,,,,
GlobalPIQA,,0.0,2,203,"{""ci_2p5"": 0.0, ""ci_50"": 0.0, ""ci_97p5"": 0.0, ""fraction_gt_0"": 0.0, ""fraction_lt_0"": 0.0, ""mean"": 0.0, ""n_boot"": 600, ""std"": 0.0}",clean64_vs_exact_MS,0.0,,,,
Reading,,0.004999999999999005,,1726,,clean64_vs_exact_MS,,0.006167789517521172,"{""Reading_eye_unrounded"": 10.692245119901923, ""Reading_self_paced_unrounded"": 5.705227922562872, ""Reading_unrounded"": 8.198736521232398}","{""Reading_eye_unrounded"": 10.660094026972473, ""Reading_self_paced_unrounded"": 5.7250434364572795, ""Reading_unrounded"": 8.192568731714877}","{""ci_2p5"": -0.040360592095626924, ""ci_50"": 0.0066918722706299505, ""ci_97p5"": 0.05521868180257477, ""fraction_gt_0"": 0.625, ""fraction_lt_0"": 0.375, ""mean"": 0.006687977139668897, ""n_boot"": 200, ""std"": 0.02499840850320551}"
BLiMP,0.10180358923310717,0.09999999999999432,67,59875,"{""ci_2p5"": 0.02351876199299426, ""ci_50"": 0.10390917857707295, ""ci_97p5"": 0.17790502543411102, ""fraction_gt_0"": 0.9916666666666667, ""fraction_lt_0"": 0.008333333333333333, ""mean"": 0.10146850592927047, ""n_boot"": 600, ""std"": 0.039599460513836955}",clean65_vs_exact_MS_training_seed_replication_context,,,,,
Supplement,0.20894515921502907,0.21000000000000085,5,5218,"{""ci_2p5"": -0.08922100984297276, ""ci_50"": 0.20232601308496562, ""ci_97p5"": 0.6157471675649884, ""fraction_gt_0"": 0.8933333333333333, ""fraction_lt_0"": 0.10666666666666667, ""mean"": 0.21538539496664522, ""n_boot"": 600, ""std"": 0.18055561318981467}",clean65_vs_exact_MS_training_seed_replication_context,,,,,
EWoK,-0.2305753254714656,-0.23000000000000398,11,7618,"{""ci_2p5"": -0.7044468911169387, ""ci_50"": -0.22900294197071347, ""ci_97p5"": 0.29311957520728493, ""fraction_gt_0"": 0.195, ""fraction_lt_0"": 0.805, ""mean"": -0.22586398996379706, ""n_boot"": 600, ""std"": 0.251306035332082}",clean65_vs_exact_MS_training_seed_replication_context,,,,,
Entity,0.05633071247687653,0.05999999999999872,18,6780,"{""ci_2p5"": -0.22188163393885046, ""ci_50"": 0.06295348251171379, ""ci_97p5"": 0.3556349612371693, ""fraction_gt_0"": 0.66, ""fraction_lt_0"": 0.34, ""mean"": 0.06095953789373118, ""n_boot"": 600, ""std"": 0.15085686537263407}",clean65_vs_exact_MS_training_seed_replication_context,,,,,
COMPS,-0.011176166736558732,-0.00999999999999801,4,91028,"{""ci_2p5"": -0.14370510032953118, ""ci_50"": -0.01032796704641744, ""ci_97p5"": 0.10994686934314762, ""fraction_gt_0"": 0.43166666666666664, ""fraction_lt_0"": 0.5683333333333334, ""mean"": -0.01287892257048461, ""n_boot"": 600, ""std"": 0.06688730371148313}",clean65_vs_exact_MS_training_seed_replication_context,,,,,
